person,trial,beta,numFix
1,1,1.6,35
1,3,1.6,3
2,3,1.6,7
2,8,1.6,9
2,13,1.6,22
1,18,1.6,3
1,20,1.6,12
1,21,1.6,6
5,21,1.6,11
3,22,1.6,3
5,22,1.6,8
7,22,1.6,10
9,22,1.6,97
3,23,1.6,71
9,23,1.6,4
6,25,1.6,32
2,26,1.6,9
3,26,1.6,17
7,26,1.6,113
4,27,1.6,53
1,28,1.6,4
5,29,1.6,17
6,29,1.6,127
2,30,1.6,120
4,30,1.6,24
7,30,1.6,14
9,30,1.6,1
2,31,1.6,4
5,31,1.6,13
9,31,1.6,7
1,32,1.6,11
9,32,1.6,1
5,34,1.6,5
9,34,1.6,2
5,35,1.6,2
6,35,1.6,9
2,36,1.6,9
4,36,1.6,7
9,36,1.6,13
9,37,1.6,1
2,38,1.6,8
3,38,1.6,14
9,38,1.6,12
1,39,1.6,13
2,40,1.6,12
5,40,1.6,1
6,40,1.6,8
3,41,1.6,14
4,41,1.6,4
9,41,1.6,90
1,42,1.6,6
2,42,1.6,3
4,42,1.6,14
7,42,1.6,2
3,43,1.6,9
7,43,1.6,8
2,45,1.6,7
6,45,1.6,84
1,46,1.6,3
2,46,1.6,17
4,46,1.6,2
7,47,1.6,6
9,47,1.6,18
2,48,1.6,24
3,48,1.6,21
4,48,1.6,11
6,48,1.6,6
9,48,1.6,76
1,49,1.6,23
3,49,1.6,11
4,49,1.6,5
5,49,1.6,21
7,49,1.6,9
3,50,1.6,19
7,50,1.6,65
2,51,1.6,3
4,51,1.6,20
5,51,1.6,6
1,54,1.6,11
4,54,1.6,7
6,54,1.6,10
3,55,1.6,75
4,55,1.6,36
6,55,1.6,24
1,56,1.6,24
6,56,1.6,5
6,57,1.6,6
9,57,1.6,67
3,58,1.6,5
4,58,1.6,4
9,58,1.6,4
7,59,1.6,5
3,60,1.6,9
4,60,1.6,70
9,60,1.6,15
3,61,1.6,145
7,62,1.6,5
4,63,1.6,55
6,63,1.6,10
7,63,1.6,4
