person,trial,beta,numFix
2,21,1.6,2
5,21,1.6,13
2,22,1.6,29
5,23,1.6,1
5,24,1.6,12
4,26,1.6,7
5,26,1.6,10
4,27,1.6,5
5,28,1.6,5
2,29,1.6,36
4,29,1.6,15
5,29,1.6,1
5,30,1.6,3
2,31,1.6,9
4,31,1.6,6
2,34,1.6,11
4,34,1.6,1
2,35,1.6,18
5,35,1.6,2
4,38,1.6,4
4,39,1.6,1
5,39,1.6,3
2,40,1.6,3
4,40,1.6,8
4,41,1.6,2
5,42,1.6,19
4,45,1.6,7
4,46,1.6,7
2,49,1.6,4
2,51,1.6,13
4,51,1.6,6
4,52,1.6,9
5,52,1.6,13
4,53,1.6,28
5,54,1.6,1
4,55,1.6,14
4,57,1.6,16
4,58,1.6,3
5,61,1.6,4
5,62,1.6,17
4,63,1.6,5
5,64,1.6,25
5,66,1.6,155
5,67,1.6,151
2,68,1.6,2
2,69,1.6,3
2,71,1.6,3
5,72,1.6,6
2,73,1.6,6
4,74,1.6,26
5,74,1.6,20
2,75,1.6,2
2,76,1.6,3
5,77,1.6,17
4,79,1.6,23
4,81,1.6,16
2,83,1.6,6
2,84,1.6,9
2,86,1.6,12
4,88,1.6,40
2,89,1.6,19
5,90,1.6,9
4,94,1.6,11
5,94,1.6,18
2,97,1.6,6
4,97,1.6,3
2,99,1.6,15
4,99,1.6,3
5,100,1.6,4
2,101,1.6,93
4,101,1.6,5
5,101,1.6,7
2,102,1.6,4
4,102,1.6,3
5,102,1.6,1
4,104,1.6,7
4,105,1.6,24
5,105,1.6,2
2,108,1.6,5
4,108,1.6,1
5,109,1.6,2
2,111,1.6,9
4,111,1.6,4
5,112,1.6,9
2,113,1.6,12
5,114,1.6,5
4,115,1.6,4
4,116,1.6,2
2,118,1.6,94
4,118,1.6,5
5,118,1.6,5
5,120,1.6,14
4,121,1.6,2
4,123,1.6,1
4,124,1.6,3
5,124,1.6,11
5,126,1.6,1
2,129,1.6,14
5,130,1.6,2
5,131,1.6,2
2,132,1.6,20
4,133,1.6,1
2,134,1.6,5
4,135,1.6,10
5,136,1.6,1
2,137,1.6,3
5,137,1.6,4
2,138,1.6,11
2,143,1.6,4
4,143,1.6,3
5,143,1.6,26
4,146,1.6,11
2,147,1.6,3
4,147,1.6,2
5,147,1.6,6
2,148,1.6,4
5,148,1.6,9
5,150,1.6,10
4,151,1.6,16
2,153,1.6,2
5,153,1.6,6
4,155,1.6,6
2,156,1.6,21
4,158,1.6,3
2,159,1.6,15
5,159,1.6,21
4,161,1.6,30
2,162,1.6,4
5,162,1.6,3
4,163,1.6,5
