participantNumber, trialNum, TargetPresent, beta, seed, x, y, RT
2, 1, 1, 1.6, 9, 867, 538, 0.826
2, 2, 1, 1.6, 51, 453, 362, 7.820
2, 3, 1, 1.7, 189, 344, 448, 1.074
2, 4, 0, 1.65, 155, NaN, NaN, -1.000
2, 5, 1, 1.65, 89, 671, 858, 0.996
2, 6, 1, 1.65, 139, 376, 310, 2.633
2, 7, 1, 1.7, 187, 197, 733, 0.911
2, 8, 1, 1.65, 122, 193, 503, 1.497
2, 9, 1, 1.6, 59, 322, 374, 13.059
2, 10, 0, 1.6, 75, NaN, NaN, -1.000
2, 11, 1, 1.6, 66, 433, 877, 2.227
2, 12, 1, 1.65, 119, 859, 463, 1.269
2, 13, 1, 1.7, 163, 785, 683, 0.864
2, 14, 1, 1.6, 42, 763, 275, 2.337
2, 15, 1, 1.6, 56, 238, 246, 4.563
2, 16, 1, 1.7, 208, 154, 394, 0.775
2, 17, 1, 1.65, 113, 419, 486, 0.936
2, 18, 1, 1.65, 104, 895, 526, 1.702
2, 19, 1, 1.7, 164, 637, 574, 0.741
2, 20, 1, 1.6, 34, 444, 232, 0.877
2, 21, 1, 1.65, 144, 461, 177, 1.209
2, 22, 1, 1.65, 109, 632, 117, 0.613
2, 23, 1, 1.65, 84, 583, 647, 0.790
2, 24, 1, 1.65, 111, 687, 206, 0.554
2, 25, 1, 1.65, 116, 612, 166, 0.910
2, 26, 0, 1.6, 78, NaN, NaN, 2.264
2, 27, 0, 1.6, 79, NaN, NaN, -1.000
2, 28, 1, 1.65, 132, 742, 289, 0.661
2, 29, 1, 1.6, 31, 306, 678, 1.270
2, 30, 0, 1.65, 158, NaN, NaN, -1.000
2, 31, 1, 1.6, 37, 215, 389, 4.010
2, 32, 1, 1.7, 223, 466, 927, 1.846
2, 33, 0, 1.7, 236, NaN, NaN, -1.000
2, 34, 1, 1.7, 177, 790, 322, 0.875
2, 35, 1, 1.65, 131, 314, 115, 1.234
2, 36, 1, 1.7, 207, 418, 418, 0.577
2, 37, 1, 1.7, 175, 470, 721, 0.517
2, 38, 1, 1.7, 165, 250, 842, 2.449
2, 39, 1, 1.7, 206, 526, 219, 0.601
2, 40, 1, 1.7, 169, 676, 188, 0.502
2, 41, 1, 1.65, 114, 931, 611, 0.781
2, 42, 1, 1.7, 196, 698, 682, 0.577
2, 43, 1, 1.7, 172, 703, 694, 0.489
2, 44, 1, 1.7, 166, 270, 772, 1.844
2, 45, 1, 1.7, 215, 198, 457, 2.542
2, 46, 1, 1.65, 107, 879, 344, 1.353
2, 47, 1, 1.65, 92, 734, 524, 1.439
2, 48, 1, 1.6, 12, 852, 515, 0.829
2, 49, 1, 1.6, 52, 158, 692, 1.066
2, 50, 0, 1.7, 237, NaN, NaN, -1.000
2, 51, 1, 1.6, 32, 292, 481, 1.025
2, 52, 0, 1.7, 232, NaN, NaN, -1.000
2, 53, 1, 1.6, 18, 388, 881, 1.676
2, 54, 1, 1.65, 137, 736, 583, 0.781
2, 55, 1, 1.6, 5, 421, 916, 0.901
2, 56, 1, 1.6, 22, 838, 677, 1.028
2, 57, 1, 1.7, 218, 632, 702, 0.534
2, 58, 1, 1.7, 220, 528, 621, 0.494
2, 59, 1, 1.65, 81, 430, 772, 0.514
2, 60, 1, 1.7, 168, 617, 620, 0.568
2, 61, 1, 1.65, 88, 407, 424, 0.924
2, 62, 1, 1.7, 205, 623, 181, 0.551
2, 63, 1, 1.6, 41, 745, 422, 1.401
2, 64, 1, 1.6, 40, 220, 659, 2.494
2, 65, 0, 1.7, 239, NaN, NaN, -1.000
2, 66, 1, 1.6, 58, 451, 349, 2.647
2, 67, 1, 1.65, 94, 191, 718, 1.931
2, 68, 1, 1.65, 85, 241, 562, 1.513
2, 69, 1, 1.6, 4, 181, 416, 4.721
2, 70, 1, 1.65, 100, 269, 612, 0.659
2, 71, 0, 1.65, 151, NaN, NaN, -1.000
2, 72, 0, 1.6, 80, NaN, NaN, -1.000
2, 73, 0, 1.6, 71, NaN, NaN, -1.000
2, 74, 1, 1.65, 102, 443, 650, 0.635
2, 75, 1, 1.65, 142, 535, 956, 1.357
2, 76, 1, 1.65, 95, 721, 497, 0.637
2, 77, 1, 1.6, 47, 380, 589, 1.713
2, 78, 1, 1.65, 86, 672, 402, 0.553
2, 79, 1, 1.6, 62, 244, 662, 4.222
2, 80, 0, 1.65, 153, NaN, NaN, 4.524
2, 81, 1, 1.6, 61, 470, 891, 46.740
2, 82, 1, 1.6, 15, 199, 699, 1.246
2, 83, 1, 1.7, 217, 631, 678, 0.648
2, 84, 1, 1.7, 195, 656, 236, 0.815
2, 85, 1, 1.65, 136, 404, 534, 0.531
2, 86, 1, 1.65, 103, 617, 260, 2.617
2, 87, 1, 1.65, 120, 455, 636, 0.565
2, 88, 1, 1.6, 55, 280, 261, 2.011
2, 89, 0, 1.6, 74, NaN, NaN, -1.000
2, 90, 1, 1.7, 201, 609, 340, 0.670
2, 91, 1, 1.6, 7, 279, 204, 2.780
2, 92, 0, 1.7, 235, NaN, NaN, -1.000
2, 93, 1, 1.6, 45, 860, 644, 3.092
2, 94, 1, 1.7, 227, 807, 634, 0.492
2, 95, 1, 1.65, 140, 873, 778, 0.757
2, 96, 1, 1.7, 167, 676, 220, 0.524
2, 97, 1, 1.7, 210, 919, 331, 0.740
2, 98, 1, 1.6, 14, 312, 195, 36.244
2, 99, 1, 1.65, 124, 322, 623, 0.922
2, 100, 1, 1.7, 192, 744, 409, 0.791
2, 101, 1, 1.7, 219, 523, 732, 0.721
2, 102, 1, 1.7, 211, 752, 421, 0.531
2, 103, 1, 1.7, 171, 553, 639, 0.497
2, 104, 1, 1.7, 188, 141, 535, 0.953
2, 105, 1, 1.7, 173, 318, 798, 0.564
2, 106, 1, 1.7, 184, 383, 545, 0.483
2, 107, 0, 1.6, 76, NaN, NaN, -1.000
2, 108, 1, 1.65, 121, 254, 362, 0.871
2, 109, 1, 1.6, 17, 155, 715, 3.487
2, 110, 1, 1.65, 145, 719, 869, 0.700
2, 111, 0, 1.65, 152, NaN, NaN, -1.000
2, 112, 1, 1.6, 2, 842, 456, 5.303
2, 113, 1, 1.65, 133, 269, 726, 12.177
2, 114, 1, 1.6, 25, 745, 317, 1.580
2, 115, 1, 1.65, 126, 252, 602, 0.842
2, 116, 1, 1.7, 212, 410, 518, 0.569
2, 117, 1, 1.6, 36, 543, 656, 0.759
2, 118, 1, 1.6, 60, 403, 606, 3.129
2, 119, 1, 1.7, 185, 186, 514, 0.852
2, 120, 1, 1.7, 176, 389, 284, 0.518
2, 121, 1, 1.65, 127, 350, 412, 1.024
2, 122, 1, 1.7, 183, 673, 913, 0.746
2, 123, 1, 1.6, 11, 698, 389, 1.038
2, 124, 1, 1.65, 99, 369, 562, 2.974
2, 125, 1, 1.7, 191, 140, 546, 0.628
2, 126, 1, 1.7, 162, 511, 298, 0.740
2, 127, 1, 1.6, 35, 594, 779, 0.985
2, 128, 1, 1.6, 49, 735, 710, 0.903
2, 129, 1, 1.65, 110, 811, 835, 0.714
2, 130, 1, 1.65, 83, 636, 749, 0.595
2, 131, 0, 1.7, 231, NaN, NaN, -1.000
2, 132, 1, 1.65, 97, 375, 144, 1.240
2, 133, 1, 1.6, 24, 350, 547, 0.869
2, 134, 1, 1.65, 150, 535, 120, 0.662
2, 135, 1, 1.65, 125, 180, 636, 1.566
2, 136, 1, 1.6, 54, 124, 462, 5.958
2, 137, 1, 1.7, 214, 715, 473, 0.782
2, 138, 1, 1.7, 180, 430, 219, 0.557
2, 139, 1, 1.6, 63, 441, 912, 4.632
2, 140, 1, 1.7, 225, 668, 792, 0.530
2, 141, 1, 1.65, 148, 384, 889, 0.927
