strategy, trial, beta, x,y, n 
stochastic, 1, 1.600, 1, 513, 513 
stochastic, 1, 1.600, 2, 396, 765 
stochastic, 1, 1.600, 3, 482, 738 
stochastic, 1, 1.600, 4, 451, 956 
optimal, 1, 1.600, 1, 513, 513 
optimal, 1, 1.600, 2, 749, 759 
optimal, 1, 1.600, 3, 745, 262 
optimal, 1, 1.600, 4, 265, 736 
optimal, 1, 1.600, 5, 237, 273 
optimal, 1, 1.600, 6, 738, 762 
optimal, 1, 1.600, 7, 691, 249 
optimal, 1, 1.600, 8, 267, 787 
optimal, 1, 1.600, 9, 273, 229 
optimal, 1, 1.600, 10, 817, 485 
optimal, 1, 1.600, 11, 213, 545 
optimal, 1, 1.600, 12, 685, 833 
optimal, 1, 1.600, 13, 758, 172 
optimal, 1, 1.600, 14, 254, 208 
optimal, 1, 1.600, 15, 261, 821 
optimal, 1, 1.600, 16, 833, 806 
optimal, 1, 1.600, 17, 791, 216 
optimal, 1, 1.600, 18, 242, 213 
optimal, 1, 1.600, 19, 218, 828 
optimal, 1, 1.600, 20, 451, 956 
stochastic, 2, 1.600, 1, 513, 512 
stochastic, 2, 1.600, 2, 524, 458 
stochastic, 2, 1.600, 3, 907, 364 
stochastic, 2, 1.600, 4, 849, 130 
stochastic, 2, 1.600, 5, 505, 232 
stochastic, 2, 1.600, 6, 746, 228 
stochastic, 2, 1.600, 7, 604, 284 
stochastic, 2, 1.600, 8, 312, 518 
stochastic, 2, 1.600, 9, 181, 826 
stochastic, 2, 1.600, 10, 1009, 821 
stochastic, 2, 1.600, 11, 271, 771 
stochastic, 2, 1.600, 12, 136, 884 
stochastic, 2, 1.600, 13, 159, 304 
stochastic, 2, 1.600, 14, 60, 718 
stochastic, 2, 1.600, 15, 86, 155 
stochastic, 2, 1.600, 16, 560, 123 
stochastic, 2, 1.600, 17, 300, 106 
stochastic, 2, 1.600, 18, 862, 153 
stochastic, 2, 1.600, 19, 582, 79 
stochastic, 2, 1.600, 20, 338, 61 
stochastic, 2, 1.600, 21, 40, 6 
stochastic, 2, 1.600, 22, 116, 56 
stochastic, 2, 1.600, 23, 451, 155 
stochastic, 2, 1.600, 24, 312, 195 
optimal, 2, 1.600, 1, 512, 512 
optimal, 2, 1.600, 2, 749, 759 
optimal, 2, 1.600, 3, 745, 262 
optimal, 2, 1.600, 4, 265, 736 
optimal, 2, 1.600, 5, 237, 273 
optimal, 2, 1.600, 6, 738, 762 
optimal, 2, 1.600, 7, 691, 249 
optimal, 2, 1.600, 8, 267, 787 
optimal, 2, 1.600, 9, 273, 229 
optimal, 2, 1.600, 10, 817, 485 
optimal, 2, 1.600, 11, 213, 545 
optimal, 2, 1.600, 12, 685, 833 
optimal, 2, 1.600, 13, 758, 172 
optimal, 2, 1.600, 14, 254, 208 
optimal, 2, 1.600, 15, 312, 195 
stochastic, 3, 1.600, 1, 513, 513 
stochastic, 3, 1.600, 2, 620, 460 
stochastic, 3, 1.600, 3, 610, 538 
stochastic, 3, 1.600, 4, 413, 429 
stochastic, 3, 1.600, 5, 363, 424 
stochastic, 3, 1.600, 6, 595, 486 
stochastic, 3, 1.600, 7, 557, 398 
stochastic, 3, 1.600, 8, 600, 630 
stochastic, 3, 1.600, 9, 364, 881 
stochastic, 3, 1.600, 10, 460, 847 
stochastic, 3, 1.600, 11, 609, 826 
stochastic, 3, 1.600, 12, 382, 532 
stochastic, 3, 1.600, 13, 488, 460 
stochastic, 3, 1.600, 14, 257, 762 
stochastic, 3, 1.600, 15, 701, 816 
stochastic, 3, 1.600, 16, 913, 916 
stochastic, 3, 1.600, 17, 720, 917 
stochastic, 3, 1.600, 18, 536, 895 
stochastic, 3, 1.600, 19, 434, 714 
stochastic, 3, 1.600, 20, 180, 811 
stochastic, 3, 1.600, 21, 320, 758 
stochastic, 3, 1.600, 22, 506, 614 
stochastic, 3, 1.600, 23, 180, 808 
stochastic, 3, 1.600, 24, 136, 916 
stochastic, 3, 1.600, 25, 2, 950 
stochastic, 3, 1.600, 26, 134, 776 
stochastic, 3, 1.600, 27, 449, 912 
stochastic, 3, 1.600, 28, 412, 890 
stochastic, 3, 1.600, 29, 422, 903 
stochastic, 3, 1.600, 30, 830, 861 
stochastic, 3, 1.600, 31, 465, 890 
stochastic, 3, 1.600, 32, 127, 613 
stochastic, 3, 1.600, 33, 554, 878 
stochastic, 3, 1.600, 34, 737, 960 
stochastic, 3, 1.600, 35, 801, 880 
stochastic, 3, 1.600, 36, 921, 913 
stochastic, 3, 1.600, 37, 741, 841 
