participantNumber, trialNum, TargetPresent, beta, seed, x, y, RT
2, 1, 1, 1.7, 155, 859, 463, 0.758
2, 2, 1, 1.7, 133, 823, 86, 0.721
2, 3, 1, 1.6, 6, 181, 416, 1.899
2, 4, 0, 1.7, 56, NaN, NaN, -1.000
2, 5, 1, 1.65, 95, 710, 666, 0.746
2, 6, 0, 1.65, 34, NaN, NaN, -1.000
2, 7, 1, 1.65, 84, 470, 891, 5.718
2, 8, 1, 1.6, 15, 698, 389, 2.113
2, 9, 1, 1.7, 158, 254, 362, 0.638
2, 10, 1, 1.7, 148, 931, 611, 1.230
2, 11, 1, 1.65, 104, 241, 562, 1.540
2, 12, 1, 1.65, 62, 860, 644, 2.063
2, 13, 1, 1.6, 20, 311, 555, 5.891
2, 14, 1, 1.65, 77, 825, 931, 1.103
2, 15, 0, 1.6, 55, NaN, NaN, -1.000
2, 16, 1, 1.7, 125, 721, 497, 0.577
2, 17, 1, 1.7, 130, 269, 612, 2.029
2, 18, 1, 1.65, 80, 865, 179, 1.594
2, 19, 0, 1.6, 19, NaN, NaN, -1.000
2, 20, 0, 1.65, 31, NaN, NaN, -1.000
2, 21, 1, 1.7, 147, 419, 486, 0.637
2, 22, 1, 1.7, 41, 155, 715, 0.743
2, 23, 1, 1.65, 23, 867, 538, 1.201
2, 24, 1, 1.65, 30, 311, 555, 0.987
2, 25, 1, 1.7, 139, 366, 511, 0.459
2, 26, 1, 1.6, 14, 208, 689, 2.541
2, 27, 1, 1.65, 110, 381, 436, 0.923
2, 28, 0, 1.7, 180, NaN, NaN, -1.000
2, 29, 0, 1.65, 116, NaN, NaN, -1.000
2, 30, 1, 1.6, 35, 897, 756, 48.571
2, 31, 1, 1.6, 41, 594, 779, 0.876
2, 32, 0, 1.6, 20, NaN, NaN, 2.157
2, 33, 1, 1.65, 67, 377, 647, 2.484
2, 34, 1, 1.65, 85, 957, 271, 1.844
2, 35, 1, 1.7, 153, 436, 385, 0.624
2, 36, 1, 1.6, 26, 838, 677, 2.967
2, 37, 0, 1.7, 59, NaN, NaN, -1.000
2, 38, 1, 1.6, 10, 204, 619, 1.848
2, 39, 1, 1.65, 27, 727, 440, 0.926
2, 40, 1, 1.6, 4, 631, 811, 2.795
2, 41, 0, 1.6, 51, NaN, NaN, -1.000
2, 42, 1, 1.6, 42, 543, 656, 0.708
2, 43, 0, 1.7, 60, NaN, NaN, -1.000
2, 44, 1, 1.65, 25, 698, 389, 0.819
2, 45, 1, 1.6, 48, 745, 422, 1.827
2, 46, 1, 1.6, 30, 859, 582, 4.462
2, 47, 1, 1.65, 22, 456, 955, 1.753
2, 48, 1, 1.6, 47, 220, 659, 7.153
2, 49, 0, 1.65, 115, NaN, NaN, -1.000
