participantNumber, trialNum, TargetPresent, beta, seed, r, phi, respose
6, 1, 1, 1.6, 3, 200, 315, 0
6, 2, 1, 1.7, 24, 400, 315, 0
6, 3, 1, 1.65, 16, 400, 90, 0
6, 4, 1, 1.7, 22, 250, 90, 0
6, 5, 1, 1.7, 25, 50, 90, 1
6, 6, 1, 1.7, 29, 300, 315, 0
6, 7, 0, 1.65, 219, NaN, NaN, 1
6, 8, 1, 1.7, 29, 150, 90, 1
6, 9, 1, 1.65, 13, 100, 180, 1
6, 10, 0, 1.65, 197, NaN, NaN, 0
6, 11, 1, 1.7, 21, 50, 225, 1
6, 12, 1, 1.6, 9, 150, 270, 0
6, 13, 1, 1.65, 19, 350, 90, 1
6, 14, 1, 1.6, 9, 100, 135, 1
6, 15, 1, 1.6, 6, 350, 315, 0
6, 16, 1, 1.6, 1, 100, 225, 1
6, 17, 1, 1.7, 25, 250, 225, 1
6, 18, 1, 1.65, 12, 200, 180, 1
6, 19, 1, 1.6, 8, 200, 315, 0
6, 20, 1, 1.65, 10, 200, 270, 1
6, 21, 0, 1.6, 77, NaN, NaN, 0
6, 22, 1, 1.65, 11, 400, 180, 0
6, 23, 1, 1.65, 17, 300, 180, 1
6, 24, 0, 1.65, 127, NaN, NaN, 0
6, 25, 1, 1.7, 28, 200, 180, 1
6, 26, 1, 1.7, 26, 300, 270, 1
6, 27, 0, 1.6, 89, NaN, NaN, 0
6, 28, 0, 1.65, 165, NaN, NaN, 0
6, 29, 1, 1.65, 20, 250, 180, 1
6, 30, 1, 1.6, 5, 200, 0, 0
6, 31, 1, 1.6, 7, 300, 135, 1
6, 32, 1, 1.6, 5, 200, 180, 1
6, 33, 1, 1.65, 16, 100, 135, 1
6, 34, 1, 1.65, 11, 200, 180, 1
6, 35, 1, 1.6, 3, 200, 0, 1
6, 36, 1, 1.65, 14, 100, 0, 1
6, 37, 1, 1.6, 1, 250, 315, 0
6, 38, 1, 1.65, 18, 150, 135, 1
6, 39, 1, 1.7, 30, 300, 225, 1
6, 40, 1, 1.7, 23, 300, 45, 0
6, 41, 1, 1.7, 19, 150, 225, 1
6, 42, 1, 1.6, 5, 50, 90, 0
6, 43, 1, 1.65, 10, 100, 135, 1
6, 44, 1, 1.6, 3, 300, 270, 0
6, 45, 1, 1.6, 10, 250, 180, 0
6, 46, 1, 1.7, 22, 150, 225, 1
6, 47, 1, 1.6, 7, 150, 180, 1
6, 48, 1, 1.7, 21, 350, 0, 0
6, 49, 1, 1.6, 9, 250, 0, 1
6, 50, 1, 1.7, 27, 150, 225, -1
6, 51, 1, 1.7, 30, 400, 0, -1
6, 52, 1, 1.65, 15, 200, 45, 1
6, 53, 1, 1.7, 29, 150, 0, 1
6, 54, 1, 1.6, 2, 300, 180, 0
6, 55, 1, 1.65, 17, 200, 90, 0
6, 56, 1, 1.6, 8, 350, 45, 0
6, 57, 1, 1.6, 6, 250, 315, 1
6, 58, 1, 1.6, 4, 100, 180, 0
6, 59, 1, 1.65, 18, 50, 90, 1
6, 60, 1, 1.6, 6, 100, 0, 0
6, 61, 1, 1.6, 8, 300, 135, 0
6, 62, 1, 1.65, 11, 250, 135, 1
6, 63, 1, 1.7, 24, 250, 135, 1
6, 64, 1, 1.6, 4, 250, 45, 0
6, 65, 1, 1.65, 18, 200, 90, 1
6, 66, 0, 1.6, 58, NaN, NaN, -1
6, 67, 1, 1.6, 5, 400, 90, 0
6, 68, 1, 1.6, 8, 400, 90, 0
6, 69, 0, 1.6, 84, NaN, NaN, 0
6, 70, 1, 1.6, 6, 50, 225, 1
6, 71, 1, 1.7, 25, 400, 135, 1
6, 72, 1, 1.7, 23, 200, 135, 1
