Data properties:
 
Recording date: 02/05/2008
Recording time : 11:28:29:906 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: AM
Recording: AM3
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

31	ShowSlide	4	1	0	Image: fixcross.jpg
2030	ShowSlide	4	2	0	Image: RMS=0.9_beta=1.6_r=100_seed=11.png
2905	Keyboard	3	32	0	Space
2921	ShowSlide	4	3	0	Image: fixcross.jpg
4921	ShowSlide	4	4	0	Image: RMS=1.1_beta=1.6_r=100_seed=17.png
5976	Keyboard	3	32	0	Space
5983	ShowSlide	4	5	0	Image: fixcross.jpg
7983	ShowSlide	4	6	0	Image: RMS=1.1_beta=1.7_r=100_seed=46.png
8728	Keyboard	3	32	0	Space
8733	ShowSlide	4	7	0	Image: fixcross.jpg
10733	ShowSlide	4	8	0	Image: RMS=1.1_beta=1.65_r=100_seed=25.png
11384	Keyboard	3	32	0	Space
11389	ShowSlide	4	9	0	Image: fixcross.jpg
13389	ShowSlide	4	10	0	Image: RMS=1.1_beta=1.65_r=350_seed=30.png
16552	Keyboard	3	32	0	Space
16561	ShowSlide	4	11	0	Image: fixcross.jpg
18561	ShowSlide	4	12	0	Image: RMS=0.9_beta=1.6_r=225_seed=12.png
20088	Keyboard	3	32	0	Space
20094	ShowSlide	4	13	0	Image: fixcross.jpg
22092	ShowSlide	4	14	0	Image: RMS=1.1_beta=1.65_r=100_seed=36.png
22744	Keyboard	3	32	0	Space
22749	ShowSlide	4	15	0	Image: fixcross.jpg
24749	ShowSlide	4	16	0	Image: RMS=1.1_beta=1.6_r=225_seed=13.png
26488	Keyboard	3	32	0	Space
26498	ShowSlide	4	17	0	Image: fixcross.jpg
28499	ShowSlide	4	18	0	Image: RMS=0.9_beta=1.6_r=225_seed=13.png
29608	Keyboard	3	32	0	Space
29623	ShowSlide	4	19	0	Image: fixcross.jpg
31623	ShowSlide	4	20	0	Image: RMS=0.9_beta=1.7_r=350_seed=59.png
32504	Keyboard	3	32	0	Space
32514	ShowSlide	4	21	0	Image: fixcross.jpg
34514	ShowSlide	4	22	0	Image: RMS=1.1_beta=1.65_r=100_seed=24.png
35480	Keyboard	3	32	0	Space
35482	ShowSlide	4	23	0	Image: fixcross.jpg
37483	ShowSlide	4	24	0	Image: RMS=1.1_beta=1.65_r=100_seed=32.png
38856	Keyboard	3	32	0	Space
38857	ShowSlide	4	25	0	Image: fixcross.jpg
40858	ShowSlide	4	26	0	Image: RMS=0.9_beta=1.6_r=100_seed=2.png
42120	Keyboard	3	32	0	Space
42123	ShowSlide	4	27	0	Image: fixcross.jpg
44123	ShowSlide	4	28	0	Image: RMS=1.1_beta=1.7_r=350_seed=57.png
45079	Keyboard	3	32	0	Space
45092	ShowSlide	4	29	0	Image: fixcross.jpg
47092	ShowSlide	4	30	0	Image: RMS=1.1_beta=1.7_r=225_seed=42.png
47815	Keyboard	3	32	0	Space
47826	ShowSlide	4	31	0	Image: fixcross.jpg
49826	ShowSlide	4	32	0	Image: RMS=0.9_beta=1.7_r=100_seed=48.png
50551	Keyboard	3	32	0	Space
50560	ShowSlide	4	33	0	Image: fixcross.jpg
52561	ShowSlide	4	34	0	Image: RMS=1.1_beta=1.65_r=225_seed=29.png
53511	Keyboard	3	32	0	Space
53513	ShowSlide	4	35	0	Image: fixcross.jpg
55514	ShowSlide	4	36	0	Image: RMS=0.9_beta=1.65_r=350_seed=33.png
56631	Keyboard	3	32	0	Space
56638	ShowSlide	4	37	0	Image: fixcross.jpg
58639	ShowSlide	4	38	0	Image: RMS=1.1_beta=1.65_r=100_seed=35.png
59415	Keyboard	3	32	0	Space
59419	ShowSlide	4	39	0	Image: fixcross.jpg
61420	ShowSlide	4	40	0	Image: RMS=1.1_beta=1.7_r=100_seed=48.png
62391	Keyboard	3	32	0	Space
62404	ShowSlide	4	41	0	Image: fixcross.jpg
64404	ShowSlide	4	42	0	Image: RMS=1.1_beta=1.6_r=350_seed=2.png
70439	Keyboard	3	32	0	Space
70453	ShowSlide	4	43	0	Image: fixcross.jpg
72451	ShowSlide	4	44	0	Image: RMS=0.9_beta=1.7_r=100_seed=54.png
73255	Keyboard	3	32	0	Space
73264	ShowSlide	4	45	0	Image: fixcross.jpg
75263	ShowSlide	4	46	0	Image: RMS=1.1_beta=1.6_r=100_seed=4.png
75879	Keyboard	3	32	0	Space
75888	ShowSlide	4	47	0	Image: fixcross.jpg
77888	ShowSlide	4	48	0	Image: RMS=1.1_beta=1.7_r=350_seed=46.png
78615	Keyboard	3	32	0	Space
78622	ShowSlide	4	49	0	Image: fixcross.jpg
80622	ShowSlide	4	50	0	Image: RMS=1.1_beta=1.7_r=225_seed=55.png
81383	Keyboard	3	32	0	Space
81388	ShowSlide	4	51	0	Image: fixcross.jpg
83388	ShowSlide	4	52	0	Image: RMS=0.9_beta=1.7_r=225_seed=57.png
84006	Keyboard	3	32	0	Space
84013	ShowSlide	4	53	0	Image: fixcross.jpg
86013	ShowSlide	4	54	0	Image: RMS=0.9_beta=1.65_r=225_seed=22.png
86598	Keyboard	3	32	0	Space
86606	ShowSlide	4	55	0	Image: fixcross.jpg
88607	ShowSlide	4	56	0	Image: RMS=1.1_beta=1.6_r=350_seed=15.png
105366	Keyboard	3	32	0	Space
105372	ShowSlide	4	57	0	Image: fixcross.jpg
107372	ShowSlide	4	58	0	Image: RMS=0.9_beta=1.7_r=100_seed=46.png
108102	Keyboard	3	32	0	Space
108106	ShowSlide	4	59	0	Image: fixcross.jpg
110106	ShowSlide	4	60	0	Image: RMS=1.1_beta=1.7_r=350_seed=43.png
111222	Keyboard	3	32	0	Space
111231	ShowSlide	4	61	0	Image: fixcross.jpg
113231	ShowSlide	4	62	0	Image: RMS=0.9_beta=1.7_r=350_seed=54.png
113942	Keyboard	3	32	0	Space
113950	ShowSlide	4	63	0	Image: fixcross.jpg
115950	ShowSlide	4	64	0	Image: RMS=0.9_beta=1.7_r=350_seed=49.png
116710	Keyboard	3	32	0	Space
116715	ShowSlide	4	65	0	Image: fixcross.jpg
118715	ShowSlide	4	66	0	Image: RMS=0.9_beta=1.6_r=225_seed=19.png
119590	Keyboard	3	32	0	Space
119606	ShowSlide	4	67	0	Image: fixcross.jpg
121606	ShowSlide	4	68	0	Image: RMS=0.9_beta=1.65_r=350_seed=21.png
123013	Keyboard	3	32	0	Space
123027	ShowSlide	4	69	0	Image: fixcross.jpg
125028	ShowSlide	4	70	0	Image: RMS=0.9_beta=1.7_r=350_seed=41.png
125653	Keyboard	3	32	0	Space
125668	ShowSlide	4	71	0	Image: fixcross.jpg
127668	ShowSlide	4	72	0	Image: RMS=1.1_beta=1.65_r=225_seed=33.png
134005	Keyboard	3	32	0	Space
134012	ShowSlide	4	73	0	Image: fixcross.jpg
136012	ShowSlide	4	74	0	Image: RMS=1.1_beta=1.6_r=100_seed=5.png
137349	Keyboard	3	32	0	Space
137355	ShowSlide	4	75	0	Image: fixcross.jpg
139356	ShowSlide	4	76	0	Image: RMS=1.1_beta=1.6_r=350_seed=6.png
288481	Keyboard	3	32	0	Space
288493	ShowSlide	4	77	0	Image: fixcross.jpg
290493	ShowSlide	4	78	0	Image: RMS=1.1_beta=1.6_r=350_seed=18.png
291937	Keyboard	3	32	0	Space
291946	ShowSlide	4	79	0	Image: fixcross.jpg
