Data properties:
 
Recording date: 30/04/2008
Recording time : 10:27:45:171 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: HW
Recording: hwhw1
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

74	ShowSlide	4	1	0	Image: fixcross.jpg
2077	ShowSlide	4	2	0	Image: RMS=0.9_beta=1.6_r=350_seed=5.png
3645	Keyboard	3	32	0	Space
3654	ShowSlide	4	3	0	Image: fixcross.jpg
5654	ShowSlide	4	4	0	Image: RMS=1.1_beta=1.65_r=100_seed=33.png
6300	Keyboard	3	32	0	Space
6310	ShowSlide	4	5	0	Image: fixcross.jpg
8310	ShowSlide	4	6	0	Image: RMS=0.9_beta=1.7_r=100_seed=47.png
8892	Keyboard	3	32	0	Space
8904	ShowSlide	4	7	0	Image: fixcross.jpg
10904	ShowSlide	4	8	0	Image: RMS=1.1_beta=1.7_r=100_seed=42.png
11676	Keyboard	3	32	0	Space
11685	ShowSlide	4	9	0	Image: fixcross.jpg
13685	ShowSlide	4	10	0	Image: RMS=0.9_beta=1.7_r=225_seed=51.png
14268	Keyboard	3	32	0	Space
14279	ShowSlide	4	11	0	Image: fixcross.jpg
16279	ShowSlide	4	12	0	Image: RMS=1.1_beta=1.65_r=100_seed=28.png
16812	Keyboard	3	32	0	Space
16825	ShowSlide	4	13	0	Image: fixcross.jpg
18826	ShowSlide	4	14	0	Image: RMS=0.9_beta=1.7_r=225_seed=54.png
19564	Keyboard	3	32	0	Space
19575	ShowSlide	4	15	0	Image: fixcross.jpg
21576	ShowSlide	4	16	0	Image: RMS=0.9_beta=1.7_r=100_seed=45.png
22188	Keyboard	3	32	0	Space
22200	ShowSlide	4	17	0	Image: fixcross.jpg
24201	ShowSlide	4	18	0	Image: RMS=0.9_beta=1.7_r=350_seed=44.png
25068	Keyboard	3	32	0	Space
25075	ShowSlide	4	19	0	Image: fixcross.jpg
27076	ShowSlide	4	20	0	Image: RMS=1.1_beta=1.65_r=350_seed=38.png
29739	Keyboard	3	32	0	Space
29747	ShowSlide	4	21	0	Image: fixcross.jpg
31747	ShowSlide	4	22	0	Image: RMS=0.9_beta=1.65_r=350_seed=34.png
33211	Keyboard	3	32	0	Space
33216	ShowSlide	4	23	0	Image: fixcross.jpg
35216	ShowSlide	4	24	0	Image: RMS=1.1_beta=1.6_r=350_seed=16.png
37947	Keyboard	3	32	0	Space
37950	ShowSlide	4	25	0	Image: fixcross.jpg
39950	ShowSlide	4	26	0	Image: RMS=0.9_beta=1.65_r=225_seed=31.png
40811	Keyboard	3	32	0	Space
40825	ShowSlide	4	27	0	Image: fixcross.jpg
42825	ShowSlide	4	28	0	Image: RMS=0.9_beta=1.7_r=225_seed=44.png
43595	Keyboard	3	32	0	Space
43606	ShowSlide	4	29	0	Image: fixcross.jpg
45607	ShowSlide	4	30	0	Image: RMS=0.9_beta=1.65_r=100_seed=35.png
46251	Keyboard	3	32	0	Space
46263	ShowSlide	4	31	0	Image: fixcross.jpg
48263	ShowSlide	4	32	0	Image: RMS=1.1_beta=1.6_r=225_seed=16.png
50011	Keyboard	3	32	0	Space
50012	ShowSlide	4	33	0	Image: fixcross.jpg
52013	ShowSlide	4	34	0	Image: RMS=0.9_beta=1.6_r=100_seed=18.png
52747	Keyboard	3	32	0	Space
52762	ShowSlide	4	35	0	Image: fixcross.jpg
54763	ShowSlide	4	36	0	Image: RMS=0.9_beta=1.6_r=350_seed=14.png
56875	Keyboard	3	32	0	Space
56887	ShowSlide	4	37	0	Image: fixcross.jpg
58888	ShowSlide	4	38	0	Image: RMS=0.9_beta=1.6_r=350_seed=7.png
59787	Keyboard	3	32	0	Space
59794	ShowSlide	4	39	0	Image: fixcross.jpg
61794	ShowSlide	4	40	0	Image: RMS=0.9_beta=1.7_r=225_seed=41.png
62651	Keyboard	3	32	0	Space
62653	ShowSlide	4	41	0	Image: fixcross.jpg
64653	ShowSlide	4	42	0	Image: RMS=1.1_beta=1.6_r=350_seed=13.png
66395	Keyboard	3	32	0	Space
66403	ShowSlide	4	43	0	Image: fixcross.jpg
68403	ShowSlide	4	44	0	Image: RMS=0.9_beta=1.7_r=100_seed=59.png
68971	Keyboard	3	32	0	Space
68981	ShowSlide	4	45	0	Image: fixcross.jpg
70981	ShowSlide	4	46	0	Image: RMS=1.1_beta=1.6_r=225_seed=1.png
77627	Keyboard	3	32	0	Space
77637	ShowSlide	4	47	0	Image: fixcross.jpg
79637	ShowSlide	4	48	0	Image: RMS=1.1_beta=1.65_r=350_seed=37.png
80875	Keyboard	3	32	0	Space
80887	ShowSlide	4	49	0	Image: fixcross.jpg
82887	ShowSlide	4	50	0	Image: RMS=1.1_beta=1.65_r=350_seed=36.png
85578	Keyboard	3	32	0	Space
85590	ShowSlide	4	51	0	Image: fixcross.jpg
87590	ShowSlide	4	52	0	Image: RMS=0.9_beta=1.6_r=350_seed=17.png
88426	Keyboard	3	32	0	Space
88434	ShowSlide	4	53	0	Image: fixcross.jpg
90434	ShowSlide	4	54	0	Image: RMS=1.1_beta=1.6_r=225_seed=8.png
95130	Keyboard	3	32	0	Space
95137	ShowSlide	4	55	0	Image: fixcross.jpg
97137	ShowSlide	4	56	0	Image: RMS=1.1_beta=1.65_r=100_seed=23.png
97786	Keyboard	3	32	0	Space
97793	ShowSlide	4	57	0	Image: fixcross.jpg
99793	ShowSlide	4	58	0	Image: RMS=0.9_beta=1.65_r=225_seed=37.png
100378	Keyboard	3	32	0	Space
100387	ShowSlide	4	59	0	Image: fixcross.jpg
102387	ShowSlide	4	60	0	Image: RMS=0.9_beta=1.65_r=100_seed=40.png
103146	Keyboard	3	32	0	Space
103153	ShowSlide	4	61	0	Image: fixcross.jpg
105153	ShowSlide	4	62	0	Image: RMS=0.9_beta=1.65_r=225_seed=33.png
105658	Keyboard	3	32	0	Space
105668	ShowSlide	4	63	0	Image: fixcross.jpg
107668	ShowSlide	4	64	0	Image: RMS=0.9_beta=1.6_r=225_seed=20.png
109802	Keyboard	3	32	0	Space
109809	ShowSlide	4	65	0	Image: fixcross.jpg
111809	ShowSlide	4	66	0	Image: RMS=1.1_beta=1.7_r=225_seed=60.png
112714	Keyboard	3	32	0	Space
112730	ShowSlide	4	67	0	Image: fixcross.jpg
114731	ShowSlide	4	68	0	Image: RMS=0.9_beta=1.7_r=225_seed=55.png
116186	Keyboard	3	32	0	Space
116199	ShowSlide	4	69	0	Image: fixcross.jpg
116683	Keyboard	3	32	0	Space
116730	Keyboard	3	32	0	Space
116776	Keyboard	3	32	0	Space
116823	Keyboard	3	32	0	Space
118199	ShowSlide	4	70	0	Image: RMS=0.9_beta=1.7_r=100_seed=52.png
118826	Keyboard	3	32	0	Space
118840	ShowSlide	4	71	0	Image: fixcross.jpg
120840	ShowSlide	4	72	0	Image: RMS=0.9_beta=1.7_r=100_seed=49.png
121562	Keyboard	3	32	0	Space
121574	ShowSlide	4	73	0	Image: fixcross.jpg
123574	ShowSlide	4	74	0	Image: RMS=1.1_beta=1.7_r=225_seed=41.png
124282	Keyboard	3	32	0	Space
124293	ShowSlide	4	75	0	Image: fixcross.jpg
126293	ShowSlide	4	76	0	Image: RMS=1.1_beta=1.7_r=225_seed=51.png
126922	Keyboard	3	32	0	Space
126933	ShowSlide	4	77	0	Image: fixcross.jpg
128934	ShowSlide	4	78	0	Image: RMS=1.1_beta=1.65_r=350_seed=31.png
130138	Keyboard	3	32	0	Space
130152	ShowSlide	4	79	0	Image: fixcross.jpg
132152	ShowSlide	4	80	0	Image: RMS=0.9_beta=1.6_r=225_seed=9.png
132890	Keyboard	3	32	0	Space
132902	ShowSlide	4	81	0	Image: fixcross.jpg
134902	ShowSlide	4	82	0	Image: RMS=1.1_beta=1.65_r=350_seed=32.png
137098	Keyboard	3	32	0	Space
137105	ShowSlide	4	83	0	Image: fixcross.jpg
139105	ShowSlide	4	84	0	Image: RMS=0.9_beta=1.7_r=100_seed=60.png
139946	Keyboard	3	32	0	Space
139949	ShowSlide	4	85	0	Image: fixcross.jpg
141949	ShowSlide	4	86	0	Image: RMS=1.1_beta=1.7_r=350_seed=56.png
144537	Keyboard	3	32	0	Space
144543	ShowSlide	4	87	0	Image: fixcross.jpg
146543	ShowSlide	4	88	0	Image: RMS=1.1_beta=1.65_r=350_seed=27.png
148073	Keyboard	3	32	0	Space
