Data properties:
 
Recording date: 30/04/2008
Recording time : 10:27:45:171 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: HW
Recording: hwhw1
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 50
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	79	179	536	442
2	299	219	795	531
3	538	758	813	574
4	1375	219	131	985
5	1714	259	-660	1370
6	2013	159	-232	1154
7	2252	379	747	424
8	2651	319	785	554
9	3010	877	1152	643
10	3927	379	853	501
11	4326	1675	790	519
12	6020	578	651	501
13	6619	1994	796	524
14	8632	578	918	578
15	9230	140	834	530
16	9828	1396	835	495
17	11264	120	1100	549
18	11423	678	831	387
19	12141	219	773	485
20	12380	977	835	539
21	13377	618	843	446
22	14035	638	555	442
23	14713	319	882	450
24	15052	1575	798	488
25	16666	219	733	449
26	16906	2273	781	449
27	19218	140	964	590
28	19398	518	1063	713
29	19956	1834	792	464
30	21830	120	697	359
31	21990	618	727	742
32	22647	459	813	499
33	23126	1475	776	521
34	24641	159	818	261
35	24820	538	838	150
36	25439	419	810	647
37	26017	638	808	494
38	26695	738	823	319
39	27452	160	805	183
40	27652	379	975	449
41	28070	179	1095	387
42	28309	219	432	619
43	28569	279	678	858
44	28888	279	929	846
45	29187	857	710	943
46	30104	219	426	1279
47	30343	120	443	1393
48	30483	179	447	1400
49	30722	1475	768	566
50	32277	299	826	819
51	32616	139	630	868
52	32795	758	638	226
53	33613	1455	794	505
54	35108	459	753	295
55	35586	199	794	168
56	35825	239	1003	554
57	36085	399	986	445
58	36543	538	645	775
59	37121	299	957	667
60	37460	1017	744	941
61	38517	1296	787	590
62	39833	379	798	451
63	40251	239	583	448
64	40531	698	496	705
65	41268	1296	775	506
66	42584	578	798	415
67	43202	698	587	678
68	43999	319	807	460
69	44518	1396	801	488
70	45933	578	719	654
71	46532	2093	792	530
72	48665	399	535	379
73	49103	339	660	783
74	49482	199	969	788
75	49721	678	1025	495
76	50738	379	900	410
77	51296	299	752	528
78	51615	678	831	399
79	52333	558	706	477
80	52911	319	710	488
81	53250	1097	788	475
82	54526	777	778	437
83	55324	439	697	666
84	55782	239	566	773
85	56061	279	1152	795
86	56380	179	815	982
87	56580	379	769	1008
88	57676	578	838	493
89	58274	917	731	502
90	59231	857	766	996
91	60128	1974	801	571
92	62122	199	674	764
93	62361	1116	716	380
94	63498	678	807	540
95	64195	817	744	578
96	65053	319	929	784
97	65411	140	932	540
98	65611	1196	405	734
99	66847	199	39	1021
100	67106	219	652	627
101	67505	598	761	505
102	68123	578	813	523
103	68721	658	836	660
104	69399	778	802	530
105	70196	1196	808	601
106	71432	319	946	394
107	71811	339	473	854
108	72190	339	605	995
109	72589	359	558	381
110	72987	279	663	227
111	73306	199	640	665
112	73526	160	645	575
113	73745	299	308	441
114	74104	219	653	659
115	74383	199	339	479
116	74642	279	1047	252
117	74941	199	929	353
118	75180	458	1095	687
119	75679	359	1162	402
120	76077	359	1028	651
121	76456	219	981	916
122	76735	1176	1090	642
123	77952	618	803	538
124	78749	179	792	537
125	78968	977	795	532
126	80005	159	481	757
127	80204	459	567	939
128	80683	877	565	927
129	81620	1136	799	635
130	82776	598	813	557
131	83414	259	1028	823
132	83733	299	583	914
133	84092	518	573	366
134	84650	399	814	188
135	85089	957	460	440
136	86345	379	746	582
137	86883	259	2110	992
138	87242	159	906	627
139	87441	439	778	543
140	87920	1116	882	220
141	89096	299	813	672
142	89455	1256	815	372
143	90731	319	901	306
144	91090	279	1228	186
145	91449	259	584	680
146	91728	339	833	706
