Data properties:
 
Recording date: 31/03/2008
Recording time : 14:34:53:307 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: LM
Recording: LM1
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 50
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	74	139	979	842
2	274	159	776	553
3	493	159	263	1023
4	672	140	16	833
5	852	140	-9	666
6	1011	140	-8	553
7	1350	140	791	588
8	1590	459	787	555
9	2068	439	789	625
10	2566	179	1060	949
11	2786	259	807	945
12	3105	459	1132	709
13	3583	379	1152	711
14	4002	478	811	614
15	4500	419	801	572
16	4939	758	795	574
17	5716	518	804	610
18	6274	359	689	498
19	6653	518	682	516
20	7192	299	806	573
21	7690	219	808	604
22	7929	1196	794	587
23	9145	738	920	638
24	9903	339	795	602
25	10441	140	805	516
26	10660	419	802	580
27	11099	917	834	600
28	12036	738	823	455
29	12794	179	795	534
30	12993	120	800	612
31	13312	179	787	563
32	13511	459	798	572
33	13990	857	805	581
34	14867	159	661	582
35	15047	120	585	488
36	15186	459	564	448
37	15664	439	796	561
38	16322	1435	798	585
39	17778	419	776	505
40	18216	399	778	504
41	18635	379	808	598
42	19034	738	809	562
43	19791	339	810	584
44	20150	598	814	553
45	20808	718	1061	762
46	21566	459	805	590
47	22224	837	804	604
48	23081	379	808	598
49	23499	778	754	778
50	24337	379	803	522
51	24736	1296	804	579
52	26051	558	806	600
53	26669	140	682	1018
54	26968	159	758	770
55	27188	159	1050	244
56	27367	658	854	149
57	28065	140	826	581
58	28224	2073	805	583
59	30318	857	746	948
60	31215	199	803	526
61	31474	239	815	602
62	31972	299	806	587
63	32291	419	807	582
64	32750	538	796	605
65	33328	140	687	247
66	33488	638	666	182
67	34165	399	806	604
68	34764	100	790	578
69	34883	797	794	578
70	35760	419	811	579
71	36199	319	718	505
72	36578	199	937	223
73	36837	279	839	962
74	37136	100	875	1006
75	37275	558	771	981
76	37874	1256	815	583
77	39149	817	803	591
