Data properties:
 
Recording date: 31/03/2008
Recording time : 15:03:20:410 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: LM
Recording: LM4
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

18	ShowSlide	4	1	0	Image: fixcross.jpg
2019	ShowSlide	4	2	0	Image: RMS=0.9_beta=1.6_r=225_seed=15.png
3789	Keyboard	3	32	0	Space
3800	ShowSlide	4	3	0	Image: fixcross.jpg
5800	ShowSlide	4	4	0	Image: RMS=1.1_beta=1.7_r=225_seed=45.png
7165	Keyboard	3	32	0	Space
7175	ShowSlide	4	5	0	Image: fixcross.jpg
9175	ShowSlide	4	6	0	Image: RMS=1.1_beta=1.7_r=225_seed=46.png
12525	Keyboard	3	32	0	Space
12535	ShowSlide	4	7	0	Image: fixcross.jpg
14535	ShowSlide	4	8	0	Image: RMS=1.1_beta=1.65_r=225_seed=28.png
15917	Keyboard	3	32	0	Space
15925	ShowSlide	4	9	0	Image: fixcross.jpg
17925	ShowSlide	4	10	0	Image: RMS=1.1_beta=1.7_r=100_seed=56.png
18989	Keyboard	3	32	0	Space
19003	ShowSlide	4	11	0	Image: fixcross.jpg
21003	ShowSlide	4	12	0	Image: RMS=1.1_beta=1.6_r=350_seed=5.png
83836	Keyboard	3	32	0	Space
83846	ShowSlide	4	13	0	Image: fixcross.jpg
85846	ShowSlide	4	14	0	Image: RMS=0.9_beta=1.6_r=350_seed=18.png
87132	Keyboard	3	32	0	Space
87143	ShowSlide	4	15	0	Image: fixcross.jpg
89143	ShowSlide	4	16	0	Image: RMS=1.1_beta=1.65_r=100_seed=22.png
89787	Keyboard	3	32	0	Space
89799	ShowSlide	4	17	0	Image: fixcross.jpg
91799	ShowSlide	4	18	0	Image: RMS=1.1_beta=1.6_r=225_seed=4.png
98731	Keyboard	3	32	0	Space
98736	ShowSlide	4	19	0	Image: fixcross.jpg
100736	ShowSlide	4	20	0	Image: RMS=0.9_beta=1.7_r=225_seed=59.png
101563	Keyboard	3	32	0	Space
101580	ShowSlide	4	21	0	Image: fixcross.jpg
103580	ShowSlide	4	22	0	Image: RMS=0.9_beta=1.65_r=100_seed=38.png
104619	Keyboard	3	32	0	Space
104627	ShowSlide	4	23	0	Image: fixcross.jpg
106627	ShowSlide	4	24	0	Image: RMS=1.1_beta=1.65_r=225_seed=30.png
107867	Keyboard	3	32	0	Space
107877	ShowSlide	4	25	0	Image: fixcross.jpg
109877	ShowSlide	4	26	0	Image: RMS=1.1_beta=1.7_r=100_seed=47.png
110859	Keyboard	3	32	0	Space
110861	ShowSlide	4	27	0	Image: fixcross.jpg
112861	ShowSlide	4	28	0	Image: RMS=0.9_beta=1.65_r=225_seed=25.png
114635	Keyboard	3	32	0	Space
114642	ShowSlide	4	29	0	Image: fixcross.jpg
116642	ShowSlide	4	30	0	Image: RMS=1.1_beta=1.7_r=350_seed=60.png
117595	Keyboard	3	32	0	Space
117611	ShowSlide	4	31	0	Image: fixcross.jpg
119611	ShowSlide	4	32	0	Image: RMS=0.9_beta=1.6_r=225_seed=8.png
120747	Keyboard	3	32	0	Space
120751	ShowSlide	4	33	0	Image: fixcross.jpg
122752	ShowSlide	4	34	0	Image: RMS=0.9_beta=1.65_r=225_seed=34.png
123547	Keyboard	3	32	0	Space
123548	ShowSlide	4	35	0	Image: fixcross.jpg
125548	ShowSlide	4	36	0	Image: RMS=0.9_beta=1.65_r=225_seed=21.png
126395	Keyboard	3	32	0	Space
126408	ShowSlide	4	37	0	Image: fixcross.jpg
128408	ShowSlide	4	38	0	Image: RMS=1.1_beta=1.6_r=100_seed=7.png
167866	Keyboard	3	32	0	Space
167876	ShowSlide	4	39	0	Image: fixcross.jpg
169876	ShowSlide	4	40	0	Image: RMS=0.9_beta=1.7_r=350_seed=52.png
170682	Keyboard	3	32	0	Space
170688	ShowSlide	4	41	0	Image: fixcross.jpg
172688	ShowSlide	4	42	0	Image: RMS=0.9_beta=1.65_r=350_seed=25.png
173434	Keyboard	3	32	0	Space
173438	ShowSlide	4	43	0	Image: fixcross.jpg
175438	ShowSlide	4	44	0	Image: RMS=1.1_beta=1.65_r=100_seed=29.png
176410	Keyboard	3	32	0	Space
176422	ShowSlide	4	45	0	Image: fixcross.jpg
178423	ShowSlide	4	46	0	Image: RMS=0.9_beta=1.7_r=100_seed=58.png
179066	Keyboard	3	32	0	Space
179079	ShowSlide	4	47	0	Image: fixcross.jpg
181079	ShowSlide	4	48	0	Image: RMS=0.9_beta=1.65_r=100_seed=26.png
181897	Keyboard	3	32	0	Space
181907	ShowSlide	4	49	0	Image: fixcross.jpg
183907	ShowSlide	4	50	0	Image: RMS=1.1_beta=1.65_r=225_seed=38.png
187337	Keyboard	3	32	0	Space
187344	ShowSlide	4	51	0	Image: fixcross.jpg
189344	ShowSlide	4	52	0	Image: RMS=0.9_beta=1.6_r=350_seed=16.png
190265	Keyboard	3	32	0	Space
190281	ShowSlide	4	53	0	Image: fixcross.jpg
192282	ShowSlide	4	54	0	Image: RMS=1.1_beta=1.6_r=350_seed=10.png
197929	Keyboard	3	32	0	Space
197938	ShowSlide	4	55	0	Image: fixcross.jpg
199938	ShowSlide	4	56	0	Image: RMS=0.9_beta=1.6_r=100_seed=6.png
201241	Keyboard	3	32	0	Space
201250	ShowSlide	4	57	0	Image: fixcross.jpg
203250	ShowSlide	4	58	0	Image: RMS=1.1_beta=1.7_r=100_seed=41.png
204105	Keyboard	3	32	0	Space
204109	ShowSlide	4	59	0	Image: fixcross.jpg
206110	ShowSlide	4	60	0	Image: RMS=0.9_beta=1.65_r=225_seed=40.png
209097	Keyboard	3	32	0	Space
209109	ShowSlide	4	61	0	Image: fixcross.jpg
211110	ShowSlide	4	62	0	Image: RMS=0.9_beta=1.6_r=100_seed=20.png
212153	Keyboard	3	32	0	Space
212156	ShowSlide	4	63	0	Image: fixcross.jpg
214156	ShowSlide	4	64	0	Image: RMS=0.9_beta=1.7_r=100_seed=50.png
215353	Keyboard	3	32	0	Space
215359	ShowSlide	4	65	0	Image: fixcross.jpg
217360	ShowSlide	4	66	0	Image: RMS=0.9_beta=1.7_r=225_seed=49.png
218297	Keyboard	3	32	0	Space
218312	ShowSlide	4	67	0	Image: fixcross.jpg
220313	ShowSlide	4	68	0	Image: RMS=0.9_beta=1.7_r=350_seed=42.png
221017	Keyboard	3	32	0	Space
221031	ShowSlide	4	69	0	Image: fixcross.jpg
223031	ShowSlide	4	70	0	Image: RMS=1.1_beta=1.65_r=350_seed=26.png
224105	Keyboard	3	32	0	Space
224109	ShowSlide	4	71	0	Image: fixcross.jpg
226109	ShowSlide	4	72	0	Image: RMS=0.9_beta=1.7_r=225_seed=53.png
226841	Keyboard	3	32	0	Space
226844	ShowSlide	4	73	0	Image: fixcross.jpg
228844	ShowSlide	4	74	0	Image: RMS=1.1_beta=1.6_r=100_seed=10.png
230584	Keyboard	3	32	0	Space
230593	ShowSlide	4	75	0	Image: fixcross.jpg
232594	ShowSlide	4	76	0	Image: RMS=1.1_beta=1.6_r=100_seed=20.png
234248	Keyboard	3	32	0	Space
234250	ShowSlide	4	77	0	Image: fixcross.jpg
236250	ShowSlide	4	78	0	Image: RMS=0.9_beta=1.7_r=350_seed=46.png
237064	Keyboard	3	32	0	Space
237078	ShowSlide	4	79	0	Image: fixcross.jpg
239078	ShowSlide	4	80	0	Image: RMS=1.1_beta=1.6_r=225_seed=2.png
240104	Keyboard	3	32	0	Space
240109	ShowSlide	4	81	0	Image: fixcross.jpg
242109	ShowSlide	4	82	0	Image: RMS=1.1_beta=1.7_r=100_seed=55.png
242968	Keyboard	3	32	0	Space
