Data properties:
 
Recording date: 28/03/2008
Recording time : 14:34:02:630 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: MK
Recording: MK1
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 50
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	73	199	890	458
2	312	738	806	573
3	1070	279	867	479
4	1369	1037	806	529
5	2445	219	1184	213
6	2724	1316	1153	663
7	4060	159	981	614
8	4240	1894	832	541
9	6173	140	1211	540
10	6393	1734	685	527
11	8147	1296	796	501
12	9463	100	698	509
13	9642	120	881	615
14	9782	1196	932	596
15	10998	1635	867	555
16	12653	1156	817	471
17	14108	259	845	479
18	14387	339	765	479
19	14746	718	780	488
20	15484	179	597	480
21	15683	1116	559	494
22	16839	399	778	517
23	17338	2392	776	508
24	19750	1535	799	499
25	21325	1954	1060	714
26	23319	817	813	537
27	24176	718	756	726
28	25173	1495	809	615
29	26688	259	771	606
30	26987	159	816	183
31	27166	1116	854	105
32	28482	538	869	340
33	29080	319	800	104
34	29479	219	822	650
35	29738	299	808	512
36	30077	379	867	694
37	30516	359	399	1053
38	30954	239	564	321
39	31253	239	550	613
40	31532	319	503	532
41	31891	299	519	385
42	32230	379	901	86
43	32669	399	1000	557
44	33107	738	950	819
45	33885	1655	742	951
46	35779	259	777	662
47	36058	658	790	558
48	36736	439	712	545
49	37314	139	663	193
50	37473	1136	649	171
51	38650	538	844	293
52	39228	897	702	234
53	40165	239	653	578
54	40424	199	662	507
55	40683	299	432	358
56	41042	339	720	831
57	41421	319	1061	445
58	41760	279	955	386
59	42079	339	639	566
60	42457	359	875	652
61	42836	399	787	468
62	43315	279	1248	945
63	43654	279	603	949
64	43953	997	757	949
65	45209	279	789	792
66	45508	299	794	662
67	45827	797	794	548
68	46644	279	721	526
69	46963	1356	516	696
70	48359	439	782	579
71	48817	299	824	553
72	49136	857	787	551
73	50033	479	600	649
74	50671	618	594	658
75	51309	259	719	613
76	51588	877	766	568
77	52485	439	652	599
78	52944	439	722	651
79	53522	718	738	627
80	54260	319	809	591
81	54599	359	732	608
82	54977	339	778	590
83	55336	518	696	656
84	55915	339	743	179
85	56293	379	769	543
86	56712	359	999	374
87	57150	399	1204	778
88	57589	239	879	1039
89	57848	538	1033	1020
90	58426	439	913	1012
91	58905	339	465	869
92	59383	279	515	531
93	59702	279	442	397
94	60021	359	800	291
95	60440	299	1138	397
96	60779	339	1017	588
97	61158	359	1240	636
98	61576	359	1240	161
99	61995	339	394	169
100	62374	877	619	564
101	63271	439	672	469
102	63729	359	608	568
103	64148	140	968	961
104	64308	439	889	865
105	64786	299	1205	1016
106	65125	319	1099	1020
107	65484	139	1215	801
108	65643	498	1221	808
109	66162	279	1271	888
110	66521	419	454	975
111	66979	339	427	698
112	67338	379	380	655
113	67757	518	543	766
114	68315	439	667	917
115	68893	578	696	733
116	69730	179	1208	171
117	69950	159	1210	158
118	70149	439	1283	459
119	70727	339	1191	259
120	71086	399	1281	238
121	71505	359	1319	315
122	71923	479	531	380
123	72561	159	280	352
124	72761	199	286	359
125	73000	558	570	554
126	73658	359	343	174
127	74136	359	286	132
128	74615	459	949	742
129	75113	279	783	894
130	75512	2691	973	717
131	78283	498	838	537
132	78801	459	826	599
133	79280	1216	706	504
134	80795	1595	769	530
135	82410	399	823	600
136	82829	479	794	516
137	83327	538	865	569
138	83905	379	708	777
139	84304	120	989	821
140	84443	439	938	794
141	84902	399	921	683
142	85360	379	441	773
143	85779	120	359	889
144	85919	179	303	879
145	86178	479	427	196
146	86696	299	792	151
147	87015	319	698	157
148	87414	498	1130	484
149	87952	299	1143	693
150	88311	100	1182	1079
151	88431	319	1198	982
