Data properties:
 
Recording date: 31/03/2008
Recording time : 11:35:02:804 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: MY
Recording: my4
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 50
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	266	1037	788	604
2	1661	159	759	317
3	2060	219	913	357
4	2319	199	799	473
5	2658	259	514	255
6	2957	120	521	599
7	3097	219	430	845
8	3416	279	596	464
9	3715	718	574	570
10	4712	618	979	348
11	5369	1156	777	419
12	6566	239	534	695
13	6825	439	603	756
14	7503	359	752	417
15	7901	299	1252	265
16	8240	738	794	352
17	8998	518	742	458
18	9556	518	923	388
19	10373	658	823	365
20	11051	219	748	492
21	11291	219	797	507
22	11530	718	812	374
23	12267	139	676	577
24	12427	120	705	705
25	12666	499	785	316
26	13444	219	760	531
27	13703	638	1053	273
28	14381	618	764	266
29	15039	339	785	381
30	15437	518	918	710
31	16314	977	826	369
32	17311	837	772	352
33	18188	219	723	599
34	18428	140	684	810
35	18607	339	668	682
36	18986	359	580	987
37	19365	199	599	1050
38	19823	1316	738	420
39	21179	199	851	493
40	21398	379	764	519
41	21817	479	466	583
42	22515	279	730	426
43	22814	558	895	498
44	23412	239	602	382
45	23691	758	769	411
46	24468	538	926	584
47	25206	239	947	344
48	25505	578	810	516
49	26123	698	759	346
50	26861	259	871	469
51	27160	299	619	405
52	27499	339	651	951
53	27878	339	413	345
54	28276	319	1101	238
55	28795	259	1021	428
56	29114	399	796	77
57	29552	399	741	469
58	29991	279	714	776
59	30290	379	488	915
60	30709	299	598	1041
61	31047	538	1116	695
62	31626	319	1145	878
63	32004	698	1196	333
64	32722	259	1203	124
65	33021	219	853	128
66	33260	459	807	136
67	33759	299	453	157
68	34078	199	632	166
69	34317	299	609	432
70	34636	179	432	372
71	34835	957	598	533
72	36251	299	767	565
73	36570	817	735	409
74	37407	578	766	407
75	38025	638	964	744
76	38942	1196	828	428
77	40178	598	769	355
78	40796	499	719	438
79	41514	1156	825	423
80	42690	698	752	373
81	43428	120	712	462
82	43567	279	645	727
83	43946	598	598	543
84	44903	140	832	448
85	45402	518	815	425
86	46099	1296	750	411
87	47634	798	778	428
88	48452	219	818	349
89	48691	239	747	422
90	48950	299	796	433
91	49289	219	797	394
92	49608	179	557	462
93	49827	638	614	825
94	50764	339	694	520
95	51123	399	779	462
96	51542	598	708	388
97	52160	379	804	479
98	52658	618	422	594
99	53536	518	840	340
100	54094	678	771	538
101	54792	279	495	438
102	55091	239	833	425
103	55350	219	654	433
104	55609	399	582	739
105	56127	179	623	889
106	56327	478	701	872
107	57164	598	863	383
108	57782	439	767	461
109	58240	658	732	347
110	58938	478	851	257
111	59716	837	853	337
112	60593	419	808	514
113	61052	478	837	263
114	61630	159	490	377
115	61829	239	678	717
116	62088	459	809	882
117	62766	279	983	468
118	63105	199	1857	533
119	63364	299	847	445
120	63683	259	745	483
121	63982	658	797	259
122	64660	140	707	371
123	64819	299	639	669
124	65158	179	421	576
125	65378	339	490	1001
126	65776	299	1081	356
127	66115	459	853	351
128	66614	379	469	370
129	67012	120	590	619
130	67152	259	641	701
131	67451	259	1041	924
132	67750	159	692	735
133	67930	817	665	671
134	69106	439	888	352
135	69744	478	803	504
136	70262	558	711	322
137	70840	120	739	405
138	71060	239	558	695
139	71339	159	684	944
140	71518	319	660	998
141	72116	339	733	600
142	72475	399	799	523
143	72914	259	747	312
144	73193	459	779	370
145	73691	100	781	386
146	73811	199	755	477
147	74150	279	609	435
148	74469	279	797	902
149	74768	399	823	972
150	75426	399	780	430
151	75924	658	803	524
152	76622	718	787	410
153	77379	219	742	783
154	77619	479	861	729
155	78316	917	839	391
156	79253	140	769	488
157	79413	1316	771	499
158	81028	1057	793	428
159	82104	738	783	488
160	82882	199	861	660
161	83101	140	940	771
162	83261	399	888	764
163	83938	897	837	428
164	84855	219	733	404
165	85095	718	809	446
166	85852	299	868	649
167	86171	160	818	694
168	86371	160	621	1006
169	86550	179	681	909
170	86749	638	640	822
171	87667	658	837	406
172	88344	758	800	536
173	89142	459	761	350
174	89640	179	636	578
175	89840	618	475	419
176	90677	359	764	350
177	91056	638	787	515
178	91734	917	740	288
179	92690	139	678	562
180	92870	299	844	764
181	93288	279	943	1055
182	93608	299	535	655
183	94026	339	619	447
184	94405	439	1092	312
185	94903	100	1174	156
186	95043	738	773	120
187	96040	179	681	432
188	96259	498	807	536
189	96797	259	709	132
190	97076	299	784	200
191	97395	558	762	304
192	97994	179	712	545
193	98193	678	829	762
194	99070	837	752	452
195	99947	239	790	602
196	100206	758	769	404
197	100984	518	689	505
198	101742	2412	765	374
199	104433	937	808	412
200	105490	140	738	295
201	105649	638	793	288
202	106307	678	752	512
203	107264	897	796	419
204	108181	957	772	364
205	109297	598	745	734
206	110135	997	796	407
207	111151	359	775	335
208	111550	459	808	355
209	112128	459	558	418
210	112766	498	726	386
211	113285	1097	706	375
212	114401	259	725	384
213	114680	140	502	398
214	114840	419	453	390
215	115498	658	680	401
216	116175	239	646	303
217	116435	179	785	392
218	116634	758	713	373
219	117451	120	647	820
220	117611	120	511	529
221	117750	419	514	471
222	118209	199	1094	360
223	118528	120	640	181
224	118687	538	734	98
225	119505	1017	785	422
226	120561	499	721	172
227	121100	319	847	287
228	121459	159	1017	714
229	121658	459	976	851
230	122376	239	838	469
231	122635	459	773	510
232	123133	399	753	265
233	123552	479	836	290
234	124050	219	715	353
235	124290	199	611	485
236	124509	658	860	722
237	125406	957	792	513
238	126423	299	840	195
239	126742	299	705	283
240	127061	219	779	312
241	127300	159	648	395
242	127499	638	613	540
243	128376	738	686	475
244	129154	219	826	362
245	129393	239	716	370
246	129652	578	775	408
247	130350	618	535	337
248	131247	419	748	505
249	131706	279	736	151
250	132025	199	763	434
251	132244	299	674	326
252	132563	1116	755	276
253	133859	718	801	343
254	134597	219	717	296
255	134836	558	764	261
256	135434	239	825	607
257	135773	518	855	434
258	136510	179	851	427
259	136710	757	788	478
260	137507	817	797	299
261	138444	518	808	480
262	139282	1415	795	421
263	140717	219	761	328
264	140956	219	839	364
265	141195	100	781	403
266	141335	359	742	170
267	141734	359	976	707
268	142113	219	891	649
269	142352	817	952	598
270	143388	797	779	530
271	144226	299	753	237
272	144545	259	868	283
273	144844	419	780	360
274	145382	1535	616	642
275	147156	957	799	511
276	148133	259	753	327
277	148412	259	798	418
278	148692	159	797	411
279	148891	100	697	530
280	149011	538	616	598
281	149908	658	779	430
282	150605	159	825	308
283	150785	239	733	410
284	151044	558	782	443
285	151622	120	682	465
286	151762	179	624	486
287	151981	359	592	852
288	152380	339	1010	623
289	152759	239	1111	217
290	153018	140	807	185
291	153177	319	516	259
292	153536	339	800	893
293	153895	1037	854	758
294	155211	678	775	536
295	155928	598	779	274
296	156566	279	788	485
297	156865	179	759	451
298	157065	538	680	481
299	157802	797	790	493
300	158620	179	716	333
301	158819	857	763	350
302	159696	139	708	446
