Data properties:
 
Recording date: 27/03/2008
Recording time : 14:48:37:772 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: PS
Recording: ps4
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 50
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	457	259	833	630
2	876	219	881	646
3	1175	140	805	614
4	1434	1077	831	651
5	2550	299	479	431
6	2889	1017	571	552
7	4066	1296	576	547
8	5481	1974	762	546
9	7495	1934	639	755
10	9628	498	772	614
11	10146	1475	752	566
12	11661	199	860	435
13	11881	598	913	471
14	12598	977	920	503
15	13655	359	800	463
16	14113	837	843	438
17	15051	578	803	455
18	15649	279	899	504
19	15968	319	785	718
20	16326	199	1030	960
21	16546	120	988	973
22	16725	139	960	444
23	16984	419	801	389
24	17523	140	811	369
25	17702	379	811	377
26	18220	997	813	373
27	19237	658	814	368
28	20015	339	820	504
29	20373	100	772	426
30	20613	1336	803	401
31	21968	199	760	368
32	22208	1754	940	678
33	24102	738	874	515
34	24859	379	819	572
35	25258	199	912	651
36	25477	199	840	571
37	25696	359	802	485
38	26075	259	909	676
39	26374	140	985	793
40	26574	259	483	833
41	26853	199	544	766
42	27092	319	840	929
43	27471	419	581	310
44	27989	100	959	536
45	28109	100	1121	741
46	28348	179	1076	796
47	28567	299	964	1008
48	28926	199	982	474
49	29145	199	1040	369
50	29524	379	733	327
51	29923	259	805	274
52	30282	100	350	239
53	30521	239	437	450
54	30800	339	424	741
55	31179	259	576	878
56	31478	279	989	987
57	31797	319	1124	886
58	32156	319	1251	771
59	32515	139	1047	789
60	32754	399	825	884
61	33173	259	765	696
62	33452	279	556	774
63	33771	339	758	604
64	34149	518	544	845
65	34767	538	466	1013
66	35465	239	766	980
67	35724	2193	629	960
68	38117	518	832	632
69	38834	798	824	497
70	39791	319	772	564
71	40150	1515	460	554
72	41865	1017	731	509
73	42981	259	683	552
74	43280	279	533	531
75	43579	259	498	504
76	43918	1874	936	588
77	45992	478	836	513
78	46610	319	848	487
79	46948	199	799	591
80	47168	937	875	572
81	48125	199	675	527
82	48404	239	499	668
83	48663	120	600	585
84	48922	319	626	531
85	49580	199	734	605
86	49819	339	613	550
87	50298	359	640	521
88	50796	219	628	534
89	51055	339	618	557
90	51534	100	610	549
91	51673	738	616	551
92	52531	419	753	577
93	53268	379	617	557
94	53807	199	767	555
95	54046	319	622	559
96	54504	498	601	565
97	55402	379	648	582
98	55820	758	610	554
99	57375	199	517	566
100	57595	459	612	561
101	58153	1096	622	557
102	59349	1136	621	548
103	60645	359	811	485
104	61043	977	697	540
105	62040	479	772	572
106	62539	159	734	493
107	62718	1376	978	749
108	64313	538	907	596
109	64891	279	823	689
110	65330	837	838	584
111	66187	299	928	740
112	66526	160	759	481
113	66705	1854	753	453
114	68799	1176	742	414
115	70015	439	724	409
116	70473	2552	619	499
117	73464	558	789	439
118	74261	199	830	480
119	74480	399	736	523
120	74899	179	819	503
121	75098	140	705	491
122	75258	1714	793	448
123	77132	618	836	437
124	77929	1416	805	449
125	79365	359	644	396
126	79764	140	771	696
127	79923	1635	630	783
128	81837	498	798	520
129	82495	618	778	541
130	83133	439	716	669
131	83591	159	758	560
132	83791	140	454	649
133	83950	518	445	569
134	84628	937	433	565
135	85744	1216	432	554
136	87220	638	808	447
137	87898	459	819	586
138	88376	877	761	533
139	89273	698	730	825
140	90170	478	724	837
141	90808	2133	729	836
142	93101	139	780	572
143	93460	1675	777	521
144	95174	359	848	326
145	95573	1376	865	327
146	96988	140	870	320
147	97347	120	837	348
148	97766	718	832	360
149	98524	279	870	392
150	98823	359	803	405
151	99241	199	424	382
152	99481	219	908	759
153	99720	279	856	848
154	100178	439	860	857
155	100776	1356	849	858
156	102152	578	849	862
157	102929	479	881	538
158	103687	339	865	421
159	104046	439	781	571
160	104504	179	857	546
161	104704	299	816	463
162	105043	259	592	462
163	105362	219	1176	603
164	105601	279	1089	551
165	105920	379	742	972
166	106618	299	944	367
167	106957	359	1222	417
168	107355	279	615	886
169	107674	179	709	724
170	107894	299	485	659
171	108232	140	608	750
172	108392	339	728	1015
173	108791	219	1150	896
174	109030	239	1075	766
175	109449	518	878	649
176	110007	119	760	478
177	110166	957	460	165
178	111243	219	790	290
179	111502	459	744	301
180	111981	100	818	387
181	112100	179	854	373
182	112459	120	663	236
183	112638	140	472	248
184	112798	419	403	387
185	113376	219	560	197
186	113615	379	816	259
187	114034	319	985	261
188	114393	319	1163	270
189	114732	199	1241	258
190	114971	140	759	300
191	115131	159	782	314
192	115310	319	813	288
193	115649	199	725	241
194	115888	279	369	228
195	116187	598	399	352
196	116805	618	446	574
197	117463	259	462	732
198	117742	738	392	854
199	118560	399	631	967
200	119118	459	735	839
201	119596	917	597	748
202	120553	498	743	953
203	121091	459	1034	819
204	121630	379	987	997
205	122048	319	1241	784
206	122567	299	1237	717
207	122886	439	1276	729
208	123364	598	951	680
209	123982	419	904	623
210	124441	179	1073	575
211	124640	100	1038	393
212	124780	219	1044	406
213	125039	299	1217	375
214	125378	299	814	404
215	125697	179	764	393
216	126016	359	810	994
217	126554	259	829	970
218	126833	239	722	1020
219	127112	538	564	1017
220	127670	419	530	962
221	128129	359	967	977
222	128528	279	1057	961
223	128847	159	1233	994
224	129185	319	1204	872
225	129524	459	1245	804
226	130003	459	1238	776
227	130481	239	1099	735
228	130741	299	986	737
229	131080	279	887	763
230	131398	319	771	774
231	131737	299	702	767
232	132056	120	588	768
233	132336	439	499	773
234	132814	439	371	789
235	133273	439	406	691
236	133911	718	756	703
237	134668	279	916	767
