Data properties:
 
Recording date: 01/04/2008
Recording time : 10:50:21:278 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: IHH
Recording: IHH3
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

19	ShowSlide	4	1	0	Image: fixcross.jpg
2019	ShowSlide	4	2	0	Image: RMS=0.9_beta=1.6_r=100_seed=11.png
2887	Keyboard	3	32	0	Space
2894	ShowSlide	4	3	0	Image: fixcross.jpg
4894	ShowSlide	4	4	0	Image: RMS=1.1_beta=1.6_r=100_seed=17.png
5559	Keyboard	3	32	0	Space
5565	ShowSlide	4	5	0	Image: fixcross.jpg
7566	ShowSlide	4	6	0	Image: RMS=1.1_beta=1.7_r=100_seed=46.png
8167	Keyboard	3	32	0	Space
8175	ShowSlide	4	7	0	Image: fixcross.jpg
10175	ShowSlide	4	8	0	Image: RMS=1.1_beta=1.65_r=100_seed=25.png
10822	Keyboard	3	32	0	Space
10831	ShowSlide	4	9	0	Image: fixcross.jpg
12831	ShowSlide	4	10	0	Image: RMS=1.1_beta=1.65_r=350_seed=30.png
15590	Keyboard	3	32	0	Space
15597	ShowSlide	4	11	0	Image: fixcross.jpg
17597	ShowSlide	4	12	0	Image: RMS=0.9_beta=1.6_r=225_seed=12.png
19062	Keyboard	3	32	0	Space
19065	ShowSlide	4	13	0	Image: fixcross.jpg
21066	ShowSlide	4	14	0	Image: RMS=1.1_beta=1.65_r=100_seed=36.png
21686	Keyboard	3	32	0	Space
21690	ShowSlide	4	15	0	Image: fixcross.jpg
23691	ShowSlide	4	16	0	Image: RMS=1.1_beta=1.6_r=225_seed=13.png
25078	Keyboard	3	32	0	Space
25081	ShowSlide	4	17	0	Image: fixcross.jpg
27081	ShowSlide	4	18	0	Image: RMS=0.9_beta=1.6_r=225_seed=13.png
28390	Keyboard	3	32	0	Space
28393	ShowSlide	4	19	0	Image: fixcross.jpg
30394	ShowSlide	4	20	0	Image: RMS=0.9_beta=1.7_r=350_seed=59.png
31190	Keyboard	3	32	0	Space
31206	ShowSlide	4	21	0	Image: fixcross.jpg
33206	ShowSlide	4	22	0	Image: RMS=1.1_beta=1.65_r=100_seed=24.png
33878	Keyboard	3	32	0	Space
