Data properties:
 
Recording date: 02/05/2008
Recording time : 11:21:08:281 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: AM
Recording: AM2
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 50
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	254	419	805	531
2	1211	219	807	577
3	1809	199	1178	431
4	2048	199	1495	382
5	2288	239	856	452
6	2547	797	915	681
7	3364	199	807	601
8	4142	100	958	576
9	4281	279	788	576
10	4580	578	853	613
11	5178	219	932	626
12	5418	518	1063	676
13	6415	159	1062	557
14	6594	120	776	556
15	6753	139	767	551
16	7033	140	918	580
17	7272	259	876	629
18	7551	578	949	655
19	8149	1116	934	567
20	9485	120	1864	583
21	10083	179	827	579
22	10282	459	794	488
23	10761	538	843	492
24	11319	498	887	440
25	12475	239	1936	825
26	12834	159	845	556
27	13013	239	844	456
28	13273	179	922	412
29	13472	239	778	372
30	13731	279	814	412
31	14030	259	941	437
32	14329	259	1007	618
33	14608	199	1051	772
34	14848	259	400	825
35	15127	100	501	804
36	15266	259	507	342
37	15565	399	870	305
38	16004	319	1224	258
39	16343	199	1251	409
40	16582	179	1131	612
41	16801	578	847	700
42	17718	359	909	561
43	18097	159	794	561
44	18456	219	940	444
45	18695	259	806	507
46	18974	558	865	679
47	19553	598	1015	489
48	20211	219	1710	690
49	20470	459	870	584
50	20948	339	798	577
51	21327	638	1015	461
52	21985	259	924	446
53	22384	518	630	474
54	22982	239	1122	1883
55	23241	259	1252	1879
56	23560	997	649	1872
57	24636	299	658	513
58	24955	159	800	503
59	25155	259	687	304
60	25454	140	1115	550
61	25673	139	746	180
62	25833	459	823	171
63	26331	159	923	448
64	26510	578	810	499
65	27188	120	872	488
66	27527	120	1308	133
67	27687	120	1301	159
68	27846	219	1099	277
69	28125	219	981	341
70	28384	259	921	241
71	28664	359	949	137
72	29062	259	1124	732
73	29341	100	1181	581
74	29581	179	1224	184
75	29800	179	1136	672
76	29999	439	1185	640
77	30498	359	901	550
78	30896	1535	818	556
79	32451	279	933	441
80	32770	299	1005	228
81	33109	279	1157	700
82	33408	199	1126	895
83	33668	239	597	635
84	33947	319	547	361
85	34306	319	376	830
86	34684	299	850	880
87	35003	877	1001	963
88	35920	319	781	617
89	36259	239	804	577
90	36638	139	1060	629
91	36798	199	819	568
92	37057	199	481	1212
93	37276	259	491	1333
94	37575	498	908	636
95	38093	439	909	452
96	38592	160	554	1165
97	38771	219	466	1383
98	39050	1874	856	454
99	40964	957	905	678
100	41941	239	870	544
101	42200	299	896	436
102	42519	299	817	535
103	42838	797	885	596
104	43656	299	734	447
105	43975	219	734	465
106	44214	120	786	469
107	44553	179	1014	427
108	45191	399	853	499
109	45610	558	802	419
110	46208	239	627	422
111	46467	179	347	562
112	46706	339	753	233
113	47085	239	1092	601
114	47384	658	945	953
115	48241	179	993	418
116	48440	1236	840	583
117	49696	199	872	498
118	49936	199	951	475
119	50235	179	887	332
120	50434	777	734	361
121	51431	219	913	514
122	51670	698	830	547
123	52388	658	909	560
124	53086	199	715	393
125	53405	638	542	329
126	54083	159	725	398
127	54282	1695	817	570
128	56016	139	632	352
129	56176	598	721	319
130	56794	219	796	571
131	57073	339	333	1816
132	57432	498	645	1854
133	58010	159	630	471
134	58189	598	786	375
135	58887	538	1277	1907
136	59505	179	664	434
137	59704	259	713	265
138	59984	259	646	255
139	60263	159	519	380
140	60442	877	639	562
141	61379	140	722	1801
142	61539	379	645	1846
143	61997	299	810	652
144	62356	199	654	1831
145	62595	439	1278	1920
146	63114	279	683	411
147	63413	100	787	443
148	63532	159	622	208
149	63732	199	495	165
150	63991	279	873	487
151	64290	199	886	729
152	64509	817	688	814
153	65366	259	832	508
154	65666	239	773	765
155	65925	239	824	707
156	66184	100	829	641
