Data properties:
 
Recording date: 31/03/2008
Recording time : 14:34:53:307 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: LM
Recording: LM1
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

20	ShowSlide	4	1	0	Image: fixcross.jpg
2022	ShowSlide	4	2	0	Image: RMS=0.9_beta=1.6_r=350_seed=5.png
3760	Keyboard	3	32	0	Space
3770	ShowSlide	4	3	0	Image: fixcross.jpg
5771	ShowSlide	4	4	0	Image: RMS=1.1_beta=1.65_r=100_seed=33.png
6847	Keyboard	3	32	0	Space
6848	ShowSlide	4	5	0	Image: fixcross.jpg
8849	ShowSlide	4	6	0	Image: RMS=0.9_beta=1.7_r=100_seed=47.png
9631	Keyboard	3	32	0	Space
9646	ShowSlide	4	7	0	Image: fixcross.jpg
11646	ShowSlide	4	8	0	Image: RMS=1.1_beta=1.7_r=100_seed=42.png
12511	Keyboard	3	32	0	Space
12520	ShowSlide	4	9	0	Image: fixcross.jpg
14521	ShowSlide	4	10	0	Image: RMS=0.9_beta=1.7_r=225_seed=51.png
15423	Keyboard	3	32	0	Space
15426	ShowSlide	4	11	0	Image: fixcross.jpg
17427	ShowSlide	4	12	0	Image: RMS=1.1_beta=1.65_r=100_seed=28.png
18367	Keyboard	3	32	0	Space
18380	ShowSlide	4	13	0	Image: fixcross.jpg
20380	ShowSlide	4	14	0	Image: RMS=0.9_beta=1.7_r=225_seed=54.png
21135	Keyboard	3	32	0	Space
21145	ShowSlide	4	15	0	Image: fixcross.jpg
23145	ShowSlide	4	16	0	Image: RMS=0.9_beta=1.7_r=100_seed=45.png
24079	Keyboard	3	32	0	Space
24083	ShowSlide	4	17	0	Image: fixcross.jpg
26083	ShowSlide	4	18	0	Image: RMS=0.9_beta=1.7_r=350_seed=44.png
27839	Keyboard	3	32	0	Space
27848	ShowSlide	4	19	0	Image: fixcross.jpg
29848	ShowSlide	4	20	0	Image: RMS=1.1_beta=1.65_r=350_seed=38.png
30927	Keyboard	3	32	0	Space
30942	ShowSlide	4	21	0	Image: fixcross.jpg
32942	ShowSlide	4	22	0	Image: RMS=0.9_beta=1.65_r=350_seed=34.png
33887	Keyboard	3	32	0	Space
33895	ShowSlide	4	23	0	Image: fixcross.jpg
35895	ShowSlide	4	24	0	Image: RMS=1.1_beta=1.6_r=350_seed=16.png
37615	Keyboard	3	32	0	Space
37630	ShowSlide	4	25	0	Image: fixcross.jpg
39630	ShowSlide	4	26	0	Image: RMS=0.9_beta=1.65_r=225_seed=31.png
40543	Keyboard	3	32	0	Space
40551	ShowSlide	4	27	0	Image: fixcross.jpg
42551	ShowSlide	4	28	0	Image: RMS=0.9_beta=1.7_r=225_seed=44.png
43422	Keyboard	3	32	0	Space
43426	ShowSlide	4	29	0	Image: fixcross.jpg
45426	ShowSlide	4	30	0	Image: RMS=0.9_beta=1.65_r=100_seed=35.png
46254	Keyboard	3	32	0	Space
46273	ShowSlide	4	31	0	Image: fixcross.jpg
48270	ShowSlide	4	32	0	Image: RMS=1.1_beta=1.6_r=225_seed=16.png
188635	Keyboard	3	13	0	
188643	ShowSlide	4	33	0	Image: fixcross.jpg
188731	Keyboard	3	32	0	Space
190643	ShowSlide	4	34	0	Image: RMS=0.9_beta=1.6_r=100_seed=18.png
191643	Keyboard	3	32	0	Space
191658	ShowSlide	4	35	0	Image: fixcross.jpg
193658	ShowSlide	4	36	0	Image: RMS=0.9_beta=1.6_r=350_seed=14.png
205404	Keyboard	3	32	0	Space
205408	ShowSlide	4	37	0	Image: fixcross.jpg
207408	ShowSlide	4	38	0	Image: RMS=0.9_beta=1.6_r=350_seed=7.png
208491	Keyboard	3	32	0	Space
208502	ShowSlide	4	39	0	Image: fixcross.jpg
