Data properties:
 
Recording date: 31/03/2008
Recording time : 11:07:23:808 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: MY
Recording: my1
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

31	ShowSlide	4	1	0	Image: fixcross.jpg
2035	ShowSlide	4	2	0	Image: RMS=0.9_beta=1.6_r=350_seed=5.png
7234	Keyboard	3	32	0	Space
7238	ShowSlide	4	3	0	Image: fixcross.jpg
9238	ShowSlide	4	4	0	Image: RMS=1.1_beta=1.65_r=100_seed=33.png
10417	Keyboard	3	32	0	Space
10425	ShowSlide	4	5	0	Image: fixcross.jpg
12426	ShowSlide	4	6	0	Image: RMS=0.9_beta=1.7_r=100_seed=47.png
13697	Keyboard	3	32	0	Space
13706	ShowSlide	4	7	0	Image: fixcross.jpg
15707	ShowSlide	4	8	0	Image: RMS=1.1_beta=1.7_r=100_seed=42.png
16737	Keyboard	3	32	0	Space
16753	ShowSlide	4	9	0	Image: fixcross.jpg
18754	ShowSlide	4	10	0	Image: RMS=0.9_beta=1.7_r=225_seed=51.png
19969	Keyboard	3	32	0	Space
19972	ShowSlide	4	11	0	Image: fixcross.jpg
21972	ShowSlide	4	12	0	Image: RMS=1.1_beta=1.65_r=100_seed=28.png
23057	Keyboard	3	32	0	Space
23066	ShowSlide	4	13	0	Image: fixcross.jpg
25066	ShowSlide	4	14	0	Image: RMS=0.9_beta=1.7_r=225_seed=54.png
26497	Keyboard	3	32	0	Space
26503	ShowSlide	4	15	0	Image: fixcross.jpg
28503	ShowSlide	4	16	0	Image: RMS=0.9_beta=1.7_r=100_seed=45.png
29649	Keyboard	3	32	0	Space
29660	ShowSlide	4	17	0	Image: fixcross.jpg
31660	ShowSlide	4	18	0	Image: RMS=0.9_beta=1.7_r=350_seed=44.png
32881	Keyboard	3	32	0	Space
32894	ShowSlide	4	19	0	Image: fixcross.jpg
34894	ShowSlide	4	20	0	Image: RMS=1.1_beta=1.65_r=350_seed=38.png
36401	Keyboard	3	32	0	Space
36409	ShowSlide	4	21	0	Image: fixcross.jpg
38410	ShowSlide	4	22	0	Image: RMS=0.9_beta=1.65_r=350_seed=34.png
39585	Keyboard	3	32	0	Space
39597	ShowSlide	4	23	0	Image: fixcross.jpg
41597	ShowSlide	4	24	0	Image: RMS=1.1_beta=1.6_r=350_seed=16.png
49441	Keyboard	3	32	0	Space
49456	ShowSlide	4	25	0	Image: fixcross.jpg
51456	ShowSlide	4	26	0	Image: RMS=0.9_beta=1.65_r=225_seed=31.png
52817	Keyboard	3	32	0	Space
52831	ShowSlide	4	27	0	Image: fixcross.jpg
54831	ShowSlide	4	28	0	Image: RMS=0.9_beta=1.7_r=225_seed=44.png
55808	Keyboard	3	32	0	Space
55815	ShowSlide	4	29	0	Image: fixcross.jpg
57815	ShowSlide	4	30	0	Image: RMS=0.9_beta=1.65_r=100_seed=35.png
58864	Keyboard	3	32	0	Space
58878	ShowSlide	4	31	0	Image: fixcross.jpg
60878	ShowSlide	4	32	0	Image: RMS=1.1_beta=1.6_r=225_seed=16.png
164414	Keyboard	3	32	0	Space
164423	ShowSlide	4	33	0	Image: fixcross.jpg
166423	ShowSlide	4	34	0	Image: RMS=0.9_beta=1.6_r=100_seed=18.png
167438	Keyboard	3	32	0	Space
167454	ShowSlide	4	35	0	Image: fixcross.jpg
169454	ShowSlide	4	36	0	Image: RMS=0.9_beta=1.6_r=350_seed=14.png
185390	Keyboard	3	32	0	Space
185391	ShowSlide	4	37	0	Image: fixcross.jpg
187392	ShowSlide	4	38	0	Image: RMS=0.9_beta=1.6_r=350_seed=7.png
191150	Keyboard	3	32	0	Space
191157	ShowSlide	4	39	0	Image: fixcross.jpg
193157	ShowSlide	4	40	0	Image: RMS=0.9_beta=1.7_r=225_seed=41.png
194253	Keyboard	3	32	0	Space
194266	ShowSlide	4	41	0	Image: fixcross.jpg
196266	ShowSlide	4	42	0	Image: RMS=1.1_beta=1.6_r=350_seed=13.png
205213	Keyboard	3	32	0	Space
205219	ShowSlide	4	43	0	Image: fixcross.jpg
207219	ShowSlide	4	44	0	Image: RMS=0.9_beta=1.7_r=100_seed=59.png
208189	Keyboard	3	32	0	Space
208203	ShowSlide	4	45	0	Image: fixcross.jpg
210204	ShowSlide	4	46	0	Image: RMS=1.1_beta=1.6_r=225_seed=1.png
217597	Keyboard	3	32	0	Space
217610	ShowSlide	4	47	0	Image: fixcross.jpg
219610	ShowSlide	4	48	0	Image: RMS=1.1_beta=1.65_r=350_seed=37.png
220845	Keyboard	3	32	0	Space
220859	ShowSlide	4	49	0	Image: fixcross.jpg
222860	ShowSlide	4	50	0	Image: RMS=1.1_beta=1.65_r=350_seed=36.png
225261	Keyboard	3	32	0	Space
225266	ShowSlide	4	51	0	Image: fixcross.jpg
227266	ShowSlide	4	52	0	Image: RMS=0.9_beta=1.6_r=350_seed=17.png
228445	Keyboard	3	32	0	Space
228453	ShowSlide	4	53	0	Image: fixcross.jpg
230453	ShowSlide	4	54	0	Image: RMS=1.1_beta=1.6_r=225_seed=8.png
233261	Keyboard	3	32	0	Space
233266	ShowSlide	4	55	0	Image: fixcross.jpg
235266	ShowSlide	4	56	0	Image: RMS=1.1_beta=1.65_r=100_seed=23.png
236205	Keyboard	3	32	0	Space
236219	ShowSlide	4	57	0	Image: fixcross.jpg
238219	ShowSlide	4	58	0	Image: RMS=0.9_beta=1.65_r=225_seed=37.png
239484	Keyboard	3	32	0	Space
239500	ShowSlide	4	59	0	Image: fixcross.jpg
241500	ShowSlide	4	60	0	Image: RMS=0.9_beta=1.65_r=100_seed=40.png
242652	Keyboard	3	32	0	Space
242656	ShowSlide	4	61	0	Image: fixcross.jpg
244656	ShowSlide	4	62	0	Image: RMS=0.9_beta=1.65_r=225_seed=33.png
245596	Keyboard	3	32	0	Space
245609	ShowSlide	4	63	0	Image: fixcross.jpg
247609	ShowSlide	4	64	0	Image: RMS=0.9_beta=1.6_r=225_seed=20.png
251164	Keyboard	3	32	0	Space
251171	ShowSlide	4	65	0	Image: fixcross.jpg
253172	ShowSlide	4	66	0	Image: RMS=1.1_beta=1.7_r=225_seed=60.png
256396	Keyboard	3	32	0	Space
256406	ShowSlide	4	67	0	Image: fixcross.jpg
258406	ShowSlide	4	68	0	Image: RMS=0.9_beta=1.7_r=225_seed=55.png
259612	Keyboard	3	32	0	Space
259624	ShowSlide	4	69	0	Image: fixcross.jpg
261625	ShowSlide	4	70	0	Image: RMS=0.9_beta=1.7_r=100_seed=52.png
262444	Keyboard	3	32	0	Space
262452	ShowSlide	4	71	0	Image: fixcross.jpg
264453	ShowSlide	4	72	0	Image: RMS=0.9_beta=1.7_r=100_seed=49.png
265196	Keyboard	3	32	0	Space
265202	ShowSlide	4	73	0	Image: fixcross.jpg
267203	ShowSlide	4	74	0	Image: RMS=1.1_beta=1.7_r=225_seed=41.png
267916	Keyboard	3	32	0	Space
267921	ShowSlide	4	75	0	Image: fixcross.jpg
269921	ShowSlide	4	76	0	Image: RMS=1.1_beta=1.7_r=225_seed=51.png
271228	Keyboard	3	32	0	Space
271234	ShowSlide	4	77	0	Image: fixcross.jpg
273234	ShowSlide	4	78	0	Image: RMS=1.1_beta=1.65_r=350_seed=31.png
274268	Keyboard	3	32	0	Space
274281	ShowSlide	4	79	0	Image: fixcross.jpg
