Data properties:
 
Recording date: 27/03/2008
Recording time : 14:16:26:210 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: PS
Recording: ps2
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 50
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	79	140	542	760
2	278	279	786	621
3	737	160	815	597
4	1076	259	876	597
5	1355	359	822	614
6	1893	538	819	544
7	2471	479	913	692
8	3089	239	796	677
9	3368	339	514	857
10	3847	1415	915	694
11	5282	957	841	604
12	6319	518	855	617
13	6857	419	809	618
14	7316	239	1027	677
15	7715	578	1037	682
16	8432	319	1035	680
17	8771	379	1058	673
18	9290	339	885	578
19	9788	419	841	604
20	10246	339	1027	706
21	10605	578	919	678
22	11203	279	1054	650
23	11522	199	783	893
24	11742	159	814	874
25	11961	299	1183	990
26	12300	159	987	541
27	12499	199	950	379
28	12719	279	954	230
29	13038	259	1114	262
30	13356	120	473	565
31	13516	299	479	960
32	13935	120	640	1020
33	14094	359	442	883
34	14493	339	871	767
35	14951	199	1009	715
36	15171	299	1167	1008
37	15510	160	1019	1003
38	15709	279	776	976
39	16068	359	538	986
40	16447	239	556	1005
41	16706	219	646	899
42	17005	159	772	803
43	17184	179	878	672
44	17384	459	936	563
45	17942	1176	935	585
46	19278	359	1161	111
47	19676	239	856	158
48	19975	239	383	143
49	20235	199	348	139
50	20454	399	349	324
51	20873	319	438	368
52	21291	319	374	539
53	21650	598	375	696
54	22268	219	369	871
55	22507	179	457	1016
56	22707	199	475	1036
57	22966	159	429	275
58	23145	219	449	119
59	23404	319	658	111
60	23743	159	782	119
61	23943	379	1125	114
62	24341	140	1064	92
63	24521	1136	803	247
64	25757	239	669	193
65	26335	259	685	233
66	26614	1934	770	254
67	28588	359	1056	295
68	28967	259	1155	347
69	29246	259	1105	407
70	29545	319	868	406
71	29884	219	809	474
72	30123	359	615	421
73	30522	279	501	470
74	30841	319	596	642
75	31199	439	904	559
76	31758	718	931	537
77	32495	359	805	742
78	32874	319	881	659
79	33353	199	1000	981
80	33771	219	975	582
81	34011	1256	939	542
82	35286	219	1032	553
83	35546	439	1188	593
84	36004	159	1260	583
85	36403	419	1174	973
86	36842	179	1254	887
87	37061	2213	935	548
88	39433	259	813	483
89	39852	1236	817	543
90	41108	379	932	607
91	41527	738	884	470
92	42364	1495	879	452
93	44298	498	824	444
94	44976	1076	805	427
95	46072	219	895	384
96	46331	239	815	264
97	46610	120	470	906
98	46750	120	490	917
99	46909	159	810	859
100	47109	120	1039	755
101	47328	219	1112	600
102	47567	857	870	688
103	48464	359	847	685
104	48843	658	849	674
105	49720	1655	815	534
106	51395	2313	1030	452
107	53887	1475	1018	458
108	55382	837	860	497
109	56379	439	968	442
110	56858	359	1185	474
111	57236	239	1104	449
112	57515	239	847	413
113	57795	140	833	729
114	57954	219	875	776
115	58213	139	641	421
116	58373	1974	673	515
117	60386	319	1169	663
118	60725	339	994	773
119	61104	259	1142	1036
120	61543	259	516	939
121	61822	160	450	856
122	62021	159	389	699
123	62220	538	672	413
124	62938	199	630	387
125	63177	419	721	155
126	63636	140	665	504
127	63795	1216	665	485
128	65231	179	788	422
129	65629	219	822	463
130	65869	578	734	410
131	66467	638	777	416
132	67145	1057	798	150
133	68321	100	817	156
134	68460	279	1158	366
135	68779	139	958	757
136	68959	219	774	1025
137	69258	279	528	912
138	69716	1435	802	132
139	71371	698	802	436
140	72109	199	771	204
141	72328	1136	820	143
142	73484	199	891	101
143	73744	419	671	524
144	74182	179	726	570
145	74421	439	1085	176
146	74900	160	702	157
147	75099	299	405	161
148	75438	259	401	709
149	75717	259	445	932
150	76036	419	650	564
151	76495	359	976	861
152	76893	459	1141	618
153	77551	658	1172	597
154	78409	857	1172	581
155	79286	279	1262	620
156	79744	1655	1181	587
157	81419	1734	1188	578
158	83313	1077	946	487
159	84429	399	817	499
160	84988	219	811	445
161	85227	179	913	599
162	85446	199	968	929
163	85665	379	990	933
164	86224	758	1010	919
165	87001	219	988	946
166	87300	439	1173	606
167	87779	339	722	943
168	88157	259	916	911
169	88437	239	836	840
170	88716	199	1015	926
171	89075	299	1012	905
172	89394	239	984	935
173	89932	718	1000	909
174	90769	120	1156	988
175	90929	179	1164	998
176	91148	140	996	930
177	91307	160	999	917
178	91666	817	990	942
179	92683	1057	1003	927
180	93760	219	995	938
181	93999	160	1030	908
182	94338	1455	819	572
183	95933	279	809	561
184	96232	259	899	738
185	96531	439	911	430
186	97009	319	919	902
187	97468	3848	903	475
188	101515	459	846	476
189	102173	379	832	446
190	102571	817	800	564
191	103409	339	880	461
192	103947	478	895	699
193	104685	618	935	677
194	105323	419	913	694
195	105761	3250	929	681
196	109210	498	851	456
197	109848	299	847	525
198	110167	299	809	515
199	110486	658	879	597
200	111244	478	740	366
201	111902	199	738	356
202	112121	199	747	409
203	112500	479	710	400
204	113018	319	768	233
205	113357	1954	724	396
206	115550	498	741	345
207	116088	1316	729	365
208	117444	199	658	360
209	117663	339	820	248
210	118122	140	722	721
211	118361	578	962	911
212	119218	219	956	926
213	119457	159	896	857
214	119796	199	904	811
215	120016	100	915	807
216	120215	160	585	914
217	120395	159	494	935
218	120614	100	920	943
219	120793	259	929	942
220	121252	399	948	928
221	121750	399	951	940
222	122169	100	929	940
223	122388	219	948	930
224	122747	459	909	928
225	123245	698	955	932
226	124162	120	935	922
227	124302	1316	950	919
228	125797	638	938	928
229	126455	279	949	927
230	126794	439	1156	323
231	127253	279	1190	120
232	127552	120	1200	72
233	127731	279	453	277
234	128030	120	459	289
235	128190	259	350	172
236	128528	219	958	894
237	128768	837	936	931
238	129625	199	903	933
239	129944	179	854	938
240	130183	139	612	950
241	130363	219	388	832
242	130622	199	623	994
243	130861	179	652	977
244	131060	159	890	935
245	131240	857	936	945
246	132276	439	951	932
247	132775	359	944	925
248	133333	399	791	502
249	133752	379	779	684
250	134230	299	880	623
251	134669	538	828	669
252	135267	239	888	837
253	135686	120	1214	889
254	135825	279	1114	754
255	136124	199	1037	595
256	136363	199	767	420
257	136603	558	724	348
258	137440	738	754	351
259	138437	100	766	326
260	138776	159	743	307
261	139115	239	772	277
262	139394	339	636	360
263	139792	538	698	293
264	140371	459	524	332
265	140989	339	526	327
266	141348	1156	527	341
267	142544	498	836	685
268	143082	299	1174	1007
269	143401	120	1210	950
270	143580	179	1155	392
271	143780	199	1111	273
272	143999	179	1099	202
273	144238	100	499	369
274	144418	359	547	319
275	144796	339	530	313
276	145155	139	538	351
277	145315	100	539	347
278	145634	179	720	300
279	146112	718	705	316
280	146870	159	602	468
281	147049	399	779	508
282	147468	279	684	348
283	147767	379	714	267
284	148166	319	632	331
285	148505	259	567	332
286	148784	598	715	274
287	149402	578	753	244
288	150000	359	723	262
289	150399	459	730	402
290	150877	339	827	718
291	151236	179	913	710
292	151455	159	1266	844
293	151655	179	1166	821
294	151894	558	724	285
295	152791	857	789	385
296	153668	359	701	311
297	154206	658	752	300
298	154884	219	613	531
299	155123	518	638	531
300	155662	179	626	565
301	156021	1176	646	526
302	157217	459	646	520
303	157935	598	753	393
304	158553	199	679	424
305	158772	140	691	441
306	158931	160	728	419
307	159111	140	762	364
308	159270	339	706	338
309	159629	219	777	303
310	159888	120	699	787
311	160028	578	726	774
312	160626	538	731	780
313	161204	399	710	785
314	162041	817	768	493
315	162899	219	668	601
316	163138	499	732	599
317	163656	2612	865	483
318	166447	459	773	400
319	166946	518	692	456
320	167484	558	771	475
321	168062	359	686	301
322	168521	219	817	578
323	168820	120	692	360
324	168959	399	670	321
325	169537	1695	651	303
326	171411	518	754	336
327	171950	538	691	449
328	172528	797	711	328
329	173345	219	808	223
330	173585	100	825	179
331	173744	239	458	821
332	174123	2711	835	210
333	177113	698	800	493
334	178090	399	794	229
335	178509	578	843	216
336	179127	239	640	298
337	179406	120	541	372
338	179565	259	730	765
339	179904	100	384	775
340	180183	239	1017	965
341	180443	199	1130	844
342	180682	120	895	878
343	180821	140	881	883
344	181001	299	767	713
345	181340	359	529	918
346	181738	359	428	759
347	182157	159	953	391
348	182456	199	1080	108
349	182676	100	1013	118
350	182815	259	888	284
351	183194	279	710	100
352	183513	259	439	174
353	183872	219	340	499
354	184131	459	369	814
355	184609	120	378	935
356	184749	140	368	934
357	185167	259	902	935
358	185447	239	969	835
359	185845	299	910	629
360	186184	279	703	659
361	186483	638	682	625
362	187221	379	696	644
363	187620	1037	679	615
364	188696	159	421	275
365	188915	120	427	192
366	189234	219	455	135
367	189514	359	1032	113
368	189912	379	1185	76
369	190331	159	718	155
370	190590	339	490	235
371	190949	159	494	236
372	191248	538	671	614
373	191806	219	712	500
374	192105	139	1249	506
375	192265	199	1145	522
376	192663	120	774	653
377	192803	1396	693	641
378	194298	259	585	860
379	194577	140	486	900
380	194896	259	501	855
381	195195	160	434	956
382	195395	319	625	1031
383	195754	199	476	1041
384	196013	219	1151	1010
385	196312	159	1217	982
386	196511	179	1055	889
387	196711	459	1089	859
388	197189	279	1117	834
389	197548	718	1102	853
390	198286	160	1114	850
391	198485	558	743	700
392	199143	2173	686	615
393	201336	837	691	599
394	202233	419	661	621
395	202791	877	673	625
396	203688	159	707	635
397	204027	1515	780	536
398	205722	199	767	585
399	205941	379	696	598
400	206360	259	936	521
401	206659	219	1163	359
402	207038	239	610	929
403	207297	140	627	869
404	207476	199	708	735
405	207695	219	660	505
406	207935	160	634	333
407	208114	100	632	253
408	208333	359	629	209
409	208732	618	710	334
410	209530	299	676	335
411	209869	2632	693	317
412	212520	199	663	331
413	212919	140	857	397
414	213078	259	805	476
415	213577	1216	740	414
416	214813	199	735	384
417	215032	160	669	685
418	215211	399	726	715
419	215829	100	703	699
420	215949	1356	730	697
421	217325	239	732	682
422	217903	479	807	522
423	218401	1435	738	556
424	219857	159	803	480
425	220056	598	990	924
426	220953	120	998	909
427	221152	279	778	980
428	221571	578	982	952
429	222169	140	994	930
430	222329	259	1033	896
431	222747	499	1009	935
432	223306	1077	999	943
433	224502	100	1024	909
434	224900	618	870	599
435	225558	259	734	703
436	225837	239	815	653
437	226097	538	793	587
438	226655	199	764	646
439	226894	179	681	457
440	227113	159	768	440
441	227293	797	1000	448
442	228230	1535	989	450
443	229785	2452	988	439
444	232257	199	908	624
445	232496	299	990	457
446	232915	259	860	931
447	233214	140	926	813
448	233413	1455	991	459
449	235287	159	879	519
450	235806	179	837	444
451	236005	120	728	564
452	236324	419	787	481
453	236763	319	892	509
454	237121	179	664	651
455	237321	159	686	689
456	237520	319	1008	454
457	237859	199	1042	410
458	238098	159	750	550
459	238298	299	698	717
460	238736	219	661	716
461	239015	160	1022	1076
462	239195	239	1065	1007
463	239494	179	700	732
464	239693	180	639	695
465	240032	618	657	705
