Data properties:
 
Recording date: 01/06/2007
Recording time : 12:14:01:234 (corresponds to time 0)
Study: Alasdair
Subject: HW
Recording: HW2
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

343	ShowSlide	4	1	0	Image: fixcross.jpg
2406	ShowSlide	4	2	0	Image: RMS=1.2_beta=1.75_seed=50_TA.png
5692	Keyboard	3	68	0	D
5701	ShowSlide	4	3	0	Image: fixcross.jpg
7696	ShowSlide	4	4	0	Image: RMS=0.8_beta=1.55_seed=1_TP.png
8526	Keyboard	3	75	0	K
8535	ShowSlide	4	5	0	Image: fixcross.jpg
10530	ShowSlide	4	6	0	Image: RMS=0.8_beta=1.65_seed=22_TA.png
12640	Keyboard	3	75	0	K
12756	ShowSlide	4	7	0	Image: fixcross.jpg
14756	ShowSlide	4	8	0	Image: RMS=1.2_beta=1.6_seed=19_TA.png
20937	Keyboard	3	68	0	D
20947	ShowSlide	4	9	0	Image: fixcross.jpg
22979	ShowSlide	4	10	0	Image: RMS=0.8_beta=1.65_seed=24_TP.png
23713	Keyboard	3	75	0	K
23714	ShowSlide	4	11	0	Image: fixcross.jpg
25718	ShowSlide	4	12	0	Image: RMS=1_beta=1.55_seed=8_TP.png
29626	Keyboard	3	68	0	D
29739	ShowSlide	4	13	0	Image: fixcross.jpg
31753	ShowSlide	4	14	0	Image: RMS=1_beta=1.55_seed=6_TA.png
34290	Keyboard	3	68	0	D
34292	ShowSlide	4	15	0	Image: fixcross.jpg
36286	ShowSlide	4	16	0	Image: RMS=1.2_beta=1.65_seed=24_TP.png
37399	Keyboard	3	75	0	K
37401	ShowSlide	4	17	0	Image: fixcross.jpg
39405	ShowSlide	4	18	0	Image: RMS=0.8_beta=1.65_seed=29_TP.png
39998	Keyboard	3	75	0	K
40019	ShowSlide	4	19	0	Image: fixcross.jpg
42015	ShowSlide	4	20	0	Image: RMS=1.2_beta=1.65_seed=25_TA.png
46158	Keyboard	3	68	0	D
46163	ShowSlide	4	21	0	Image: fixcross.jpg
48168	ShowSlide	4	22	0	Image: RMS=1_beta=1.7_seed=39_TP.png
48946	Keyboard	3	75	0	K
48948	ShowSlide	4	23	0	Image: fixcross.jpg
51019	ShowSlide	4	24	0	Image: RMS=1_beta=1.65_seed=27_TA.png
54681	Keyboard	3	68	0	D
54749	ShowSlide	4	25	0	Image: fixcross.jpg
56785	ShowSlide	4	26	0	Image: RMS=1_beta=1.65_seed=24_TA.png
62348	Keyboard	3	68	0	D
62353	ShowSlide	4	27	0	Image: fixcross.jpg
64354	ShowSlide	4	28	0	Image: RMS=1.2_beta=1.75_seed=47_TA.png
68891	Keyboard	3	68	0	D
68912	ShowSlide	4	29	0	Image: fixcross.jpg
70906	ShowSlide	4	30	0	Image: RMS=0.8_beta=1.75_seed=41_TA.png
73015	Keyboard	3	68	0	D
73067	ShowSlide	4	31	0	Image: fixcross.jpg
75064	ShowSlide	4	32	0	Image: RMS=1.2_beta=1.65_seed=21_TP.png
78479	Keyboard	3	68	0	D
78502	ShowSlide	4	33	0	Image: fixcross.jpg
80505	ShowSlide	4	34	0	Image: RMS=0.8_beta=1.55_seed=3_TA.png
83348	Keyboard	3	68	0	D
83358	ShowSlide	4	35	0	Image: fixcross.jpg
85360	ShowSlide	4	36	0	Image: RMS=0.8_beta=1.7_seed=36_TP.png
86167	Keyboard	3	68	0	D
86173	ShowSlide	4	37	0	Image: fixcross.jpg
88170	ShowSlide	4	38	0	Image: RMS=0.8_beta=1.75_seed=44_TA.png
90721	Keyboard	3	68	0	D
90726	ShowSlide	4	39	0	Image: fixcross.jpg
92729	ShowSlide	4	40	0	Image: RMS=0.8_beta=1.7_seed=31_TA.png
95028	Keyboard	3	68	0	D
95033	ShowSlide	4	41	0	Image: fixcross.jpg
97031	ShowSlide	4	42	0	Image: RMS=0.8_beta=1.7_seed=32_TA.png
99412	Keyboard	3	68	0	D
99419	ShowSlide	4	43	0	Image: fixcross.jpg
101452	ShowSlide	4	44	0	Image: RMS=0.8_beta=1.65_seed=30_TA.png
103723	Keyboard	3	68	0	D
103834	ShowSlide	4	45	0	Image: fixcross.jpg
105884	ShowSlide	4	46	0	Image: RMS=1_beta=1.75_seed=50_TA.png
108218	Keyboard	3	68	0	D
108220	ShowSlide	4	47	0	Image: fixcross.jpg
110221	ShowSlide	4	48	0	Image: RMS=1.2_beta=1.65_seed=22_TA.png
114435	Keyboard	3	68	0	D
114531	ShowSlide	4	49	0	Image: fixcross.jpg
116640	ShowSlide	4	50	0	Image: RMS=1.2_beta=1.6_seed=19_TP.png
118744	Keyboard	3	75	0	K
118746	ShowSlide	4	51	0	Image: fixcross.jpg
120784	ShowSlide	4	52	0	Image: RMS=1.2_beta=1.6_seed=14_TP.png
124258	Keyboard	3	68	0	D
124354	ShowSlide	4	53	0	Image: fixcross.jpg
126379	ShowSlide	4	54	0	Image: RMS=1_beta=1.75_seed=45_TP.png
127075	Keyboard	3	75	0	K
127079	ShowSlide	4	55	0	Image: fixcross.jpg
129079	ShowSlide	4	56	0	Image: RMS=1.2_beta=1.55_seed=3_TA.png
132557	Keyboard	3	68	0	D
132563	ShowSlide	4	57	0	Image: fixcross.jpg
134573	ShowSlide	4	58	0	Image: RMS=1.2_beta=1.75_seed=44_TP.png
135160	Keyboard	3	75	0	K
135165	ShowSlide	4	59	0	Image: fixcross.jpg
137168	ShowSlide	4	60	0	Image: RMS=1_beta=1.65_seed=28_TA.png
140199	Keyboard	3	68	0	D
140339	ShowSlide	4	61	0	Image: fixcross.jpg
142408	ShowSlide	4	62	0	Image: RMS=1_beta=1.75_seed=45_TA.png
145129	Keyboard	3	68	0	D
145130	ShowSlide	4	63	0	Image: fixcross.jpg
147240	ShowSlide	4	64	0	Image: RMS=0.8_beta=1.75_seed=43_TP.png
147817	Keyboard	3	75	0	K
147823	ShowSlide	4	65	0	Image: fixcross.jpg
149828	ShowSlide	4	66	0	Image: RMS=1.2_beta=1.65_seed=29_TP.png
150701	Keyboard	3	75	0	K
150750	ShowSlide	4	67	0	Image: fixcross.jpg
152747	ShowSlide	4	68	0	Image: RMS=0.8_beta=1.75_seed=47_TP.png
153425	Keyboard	3	75	0	K
153432	ShowSlide	4	69	0	Image: fixcross.jpg
155426	ShowSlide	4	70	0	Image: RMS=0.8_beta=1.75_seed=48_TP.png
156861	Keyboard	3	75	0	K
156912	ShowSlide	4	71	0	Image: fixcross.jpg
159018	ShowSlide	4	72	0	Image: RMS=0.8_beta=1.65_seed=26_TP.png
160283	Keyboard	3	75	0	K
160285	ShowSlide	4	73	0	Image: fixcross.jpg
162285	ShowSlide	4	74	0	Image: RMS=0.8_beta=1.65_seed=27_TA.png
165223	Keyboard	3	68	0	D
165230	ShowSlide	4	75	0	Image: fixcross.jpg
167234	ShowSlide	4	76	0	Image: RMS=1.2_beta=1.65_seed=28_TP.png
167845	Keyboard	3	75	0	K
167847	ShowSlide	4	77	0	Image: fixcross.jpg
169845	ShowSlide	4	78	0	Image: RMS=1.2_beta=1.7_seed=36_TA.png
171515	Keyboard	3	68	0	D
171517	ShowSlide	4	79	0	Image: fixcross.jpg
173520	ShowSlide	4	80	0	Image: RMS=0.8_beta=1.7_seed=34_TA.png
175940	Keyboard	3	68	0	D
175944	ShowSlide	4	81	0	Image: fixcross.jpg
177938	ShowSlide	4	82	0	Image: RMS=1.2_beta=1.7_seed=40_TA.png
179988	Keyboard	3	68	0	D
180085	ShowSlide	4	83	0	Image: fixcross.jpg
182186	ShowSlide	4	84	0	Image: RMS=1_beta=1.7_seed=34_TP.png
182759	Keyboard	3	75	0	K
182769	ShowSlide	4	85	0	Image: fixcross.jpg
184765	ShowSlide	4	86	0	Image: RMS=1.2_beta=1.65_seed=26_TA.png
187040	Keyboard	3	68	0	D
187042	ShowSlide	4	87	0	Image: fixcross.jpg
189150	ShowSlide	4	88	0	Image: RMS=0.8_beta=1.6_seed=17_TP.png
189781	Keyboard	3	75	0	K
189787	ShowSlide	4	89	0	Image: fixcross.jpg
191845	ShowSlide	4	90	0	Image: RMS=1.2_beta=1.75_seed=42_TP.png
192707	Keyboard	3	75	0	K
192709	ShowSlide	4	91	0	Image: fixcross.jpg
194753	ShowSlide	4	92	0	Image: RMS=0.8_beta=1.7_seed=35_TP.png
195940	Keyboard	3	75	0	K
195943	ShowSlide	4	93	0	Image: fixcross.jpg
197952	ShowSlide	4	94	0	Image: RMS=1_beta=1.7_seed=37_TP.png
198874	Keyboard	3	75	0	K
198921	ShowSlide	4	95	0	Image: fixcross.jpg
200915	ShowSlide	4	96	0	Image: RMS=1.2_beta=1.75_seed=49_TA.png
203743	Keyboard	3	68	0	D
203781	ShowSlide	4	97	0	Image: fixcross.jpg
205889	ShowSlide	4	98	0	Image: RMS=1.2_beta=1.55_seed=6_TA.png
208477	Keyboard	3	68	0	D
208479	ShowSlide	4	99	0	Image: fixcross.jpg
210474	ShowSlide	4	100	0	Image: RMS=0.8_beta=1.55_seed=9_TA.png
212736	Keyboard	3	68	0	D
212796	ShowSlide	4	101	0	Image: fixcross.jpg
214790	ShowSlide	4	102	0	Image: RMS=0.8_beta=1.6_seed=14_TP.png
216405	Keyboard	3	75	0	K
216407	ShowSlide	4	103	0	Image: fixcross.jpg
218411	ShowSlide	4	104	0	Image: RMS=1_beta=1.75_seed=50_TP.png
220061	Keyboard	3	75	0	K
220062	ShowSlide	4	105	0	Image: fixcross.jpg
222170	ShowSlide	4	106	0	Image: RMS=0.8_beta=1.6_seed=11_TA.png
224818	Keyboard	3	68	0	D
224925	ShowSlide	4	107	0	Image: fixcross.jpg
226989	ShowSlide	4	108	0	Image: RMS=1_beta=1.6_seed=17_TP.png
227738	Keyboard	3	75	0	K
227748	ShowSlide	4	109	0	Image: fixcross.jpg
229744	ShowSlide	4	110	0	Image: RMS=1_beta=1.75_seed=46_TP.png
230761	Keyboard	3	75	0	K
230767	ShowSlide	4	111	0	Image: fixcross.jpg
232801	ShowSlide	4	112	0	Image: RMS=1_beta=1.65_seed=25_TP.png
233996	Keyboard	3	75	0	K
234001	ShowSlide	4	113	0	Image: fixcross.jpg
236106	ShowSlide	4	114	0	Image: RMS=1.2_beta=1.65_seed=30_TP.png
238344	Keyboard	3	68	0	D
238350	ShowSlide	4	115	0	Image: fixcross.jpg
240348	ShowSlide	4	116	0	Image: RMS=0.8_beta=1.6_seed=12_TP.png
240924	Keyboard	3	75	0	K
240968	ShowSlide	4	117	0	Image: fixcross.jpg
