Data properties:
 
Recording date: 01/06/2007
Recording time : 12:14:01:234 (corresponds to time 0)
Study: Alasdair
Subject: HW
Recording: HW2
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 30
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	170	179	917	508
2	369	199	915	492
3	628	299	809	602
4	1007	100	798	619
5	1147	758	810	610
6	1944	180	806	594
7	2363	139	812	587
8	2582	180	808	624
9	2782	179	806	624
10	2981	159	764	688
11	3160	100	757	689
12	3300	219	891	947
13	3579	279	926	279
14	3898	219	746	310
15	4476	259	441	906
16	4815	339	1124	755
17	5294	299	949	414
18	5692	279	776	644
19	6071	558	814	595
20	6689	359	803	571
21	7228	279	795	478
22	7526	499	821	523
23	8184	399	1266	674
24	8683	160	1058	518
25	8882	359	800	482
26	9261	100	748	512
27	9441	359	802	510
28	9819	638	838	503
29	10477	399	835	518
30	10916	120	1010	663
31	11275	100	495	700
32	11394	299	493	704
33	11713	219	330	601
34	11972	100	477	721
35	12092	857	478	693
36	12989	558	795	581
37	13567	120	789	580
38	13707	120	792	563
39	13846	239	814	532
40	14106	339	798	483
41	14524	259	800	584
42	14804	339	815	551
43	15322	299	699	371
44	15681	359	1125	885
45	16139	379	1203	254
46	16558	319	812	220
47	16937	319	401	466
48	17316	299	407	857
49	17734	439	572	791
50	18213	259	549	302
51	18532	339	1253	323
52	18990	219	1201	795
53	19250	179	1095	989
54	19469	199	1051	1020
55	19708	140	1081	936
56	19868	299	1080	929
57	20187	120	1052	1037
58	20326	140	1049	1037
59	20525	618	665	394
60	21263	179	785	576
61	21482	179	800	535
62	21881	1436	809	467
63	23376	139	687	914
64	23735	219	657	951
65	24014	279	809	545
66	24333	797	798	481
67	25171	518	781	618
68	25729	279	725	789
69	26188	160	603	863
70	26387	319	661	537
71	26766	239	662	216
72	27085	219	1250	238
73	27384	140	1126	752
74	27543	100	1132	736
75	27683	259	890	813
76	28042	179	707	1022
77	28241	239	710	1028
78	28560	139	664	845
79	28739	439	685	1046
80	29198	139	688	1034
81	29358	120	688	1011
82	29497	279	691	1022
83	29876	100	695	1024
84	30055	179	776	563
85	30434	618	771	572
86	31411	658	783	583
87	32109	139	522	904
88	32268	160	525	930
89	32468	179	438	826
90	32707	299	628	343
91	33066	100	898	319
92	33205	139	888	320
93	33484	259	1098	999
94	33823	239	519	934
95	34103	379	345	946
96	34701	658	819	469
97	35398	399	742	483
98	35817	758	790	499
99	36634	219	547	383
100	36894	698	470	281
101	37811	558	686	221
102	38389	140	683	203
103	38568	120	680	213
104	38728	159	672	207
105	38927	219	569	354
106	39166	518	570	351
107	39784	1436	397	439
108	41379	419	773	437
109	41818	478	725	366
110	42336	239	469	385
111	42675	259	637	783
112	42974	299	904	843
113	43353	180	1017	748
114	43552	219	1146	926
