Data properties:
 
Recording date: 06/06/2007
Recording time : 13:29:18:359 (corresponds to time 0)
Study: Alasdair
Subject: HW
Recording: kh3
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 30
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	860	100	859	537
2	1099	159	876	1138
3	1358	100	806	542
4	1478	140	815	567
5	1857	199	795	488
6	2136	159	804	583
7	2355	280	790	549
8	2654	997	788	488
9	3690	179	1249	888
10	4029	179	682	476
11	4229	139	681	467
12	4468	159	425	177
13	4727	100	1190	173
14	4867	139	1183	190
15	5026	120	1019	222
16	5305	100	792	448
17	5425	160	782	426
18	5824	339	523	763
19	6282	339	773	666
20	6701	419	918	774
21	7219	239	571	368
22	7499	100	382	569
23	7658	159	379	546
24	7857	458	778	526
25	8336	319	774	526
26	8675	160	777	521
27	8854	199	794	501
28	9074	139	792	498
29	9273	339	787	479
30	9632	339	816	536
31	9991	259	906	709
32	10270	239	949	855
33	10569	199	394	980
34	11087	239	1145	331
35	11426	180	879	383
36	11645	259	432	391
37	11944	120	418	672
38	12084	419	420	685
39	12543	279	786	665
40	12881	100	736	1016
41	13619	199	801	624
42	13898	259	814	531
43	14177	219	811	547
44	14556	180	726	988
45	14756	100	722	984
46	15095	239	1057	923
47	15394	299	1068	350
48	15753	159	866	365
49	15992	259	503	356
50	16410	100	699	18
51	16570	259	390	295
52	16869	678	483	657
53	17587	100	785	557
54	17706	179	798	531
55	17906	160	790	511
56	18264	140	773	452
57	18703	399	822	463
58	19142	299	766	563
59	19481	319	793	556
60	19840	199	1045	564
61	20119	140	1207	956
62	20438	299	948	179
63	20837	219	453	242
64	21136	339	528	688
65	21514	299	459	954
66	21893	239	905	918
67	22192	160	650	501
68	22372	458	652	487
69	22870	1037	796	525
70	23947	100	743	406
71	24066	239	744	412
72	24325	120	743	431
73	24465	518	742	424
74	25003	179	682	559
75	25223	219	731	890
76	25502	100	494	944
77	25641	160	495	943
78	25841	299	365	686
79	26220	359	463	293
80	26638	339	1040	268
81	27037	219	1108	335
82	27296	399	1168	691
83	27715	339	991	721
84	28233	179	798	802
85	28432	100	799	815
86	28612	319	761	323
87	29070	279	598	263
88	29370	219	589	375
89	29669	100	776	499
90	29788	797	778	502
91	30665	578	780	494
92	31263	478	782	480
93	31782	140	452	760
94	31941	518	439	764
95	32879	179	774	514
96	33098	140	771	522
97	33257	718	799	509
98	34015	160	783	566
99	34214	239	782	566
100	34633	479	525	848
101	35131	140	516	841
102	35450	219	788	563
103	35749	199	794	575
104	35989	100	793	567
105	36108	459	787	566
106	36607	319	782	575
107	36945	140	791	584
108	37105	419	793	560
109	38122	279	1119	910
110	38560	140	819	212
111	38720	100	821	224
112	38860	199	586	352
113	39119	299	1051	178
114	39458	379	757	337
115	39916	379	856	200
116	40335	518	1069	564
117	40973	299	638	512
118	41292	439	396	477
119	41810	339	432	709
120	42249	279	538	800
121	42568	160	629	747
122	42827	179	1111	863
123	43046	100	1108	884
124	43704	259	1261	732
125	44083	558	1070	706
126	45100	299	884	495
127	45419	199	849	573
128	45897	160	849	513
129	46336	658	879	579
130	47054	100	325	481
131	47173	140	325	512
132	47712	359	1181	608
133	48150	179	600	443
134	48369	199	614	705
135	48589	219	614	711
136	48848	299	651	422
137	49227	259	720	156
138	49546	219	1222	228
139	49944	179	1102	664
140	50144	140	1094	679
141	50343	140	594	995
142	50503	359	597	995
143	51081	120	778	535
144	51220	180	785	515
145	51439	199	746	432
146	51679	219	736	441
147	51918	718	787	424
148	52835	339	807	529
149	53294	100	393	772
150	53413	219	364	808
151	53692	319	680	69
152	54091	279	1105	409
153	54470	279	1041	666
154	54789	139	1038	678
155	55008	598	844	597
156	55626	558	783	559
157	56224	379	801	529
158	56822	299	774	480
159	57221	139	772	476
160	57401	199	786	506
161	57680	319	710	772
162	58098	140	644	924
163	58338	199	1182	907
164	58597	319	852	422
165	58996	419	775	250
166	59454	299	378	380
167	59813	419	782	539
168	60272	120	833	586
169	60431	598	803	560
170	61049	159	788	526
171	61229	120	793	519
172	61368	180	793	519
173	61568	159	800	464
174	61767	119	805	483
175	61906	140	808	461
176	62166	239	990	279
177	62505	199	638	440
178	62744	379	500	737
179	63142	459	687	721
180	63641	359	1018	790
181	64040	219	1230	848
182	64418	359	599	389
183	64837	379	980	282
184	65276	219	976	298
185	65575	120	803	561
186	65794	718	792	497
187	66671	279	807	411
188	66990	100	783	540
189	67110	160	795	555
190	67429	359	804	504
191	67848	179	755	704
192	68127	239	685	596
193	68506	160	913	844
194	68745	279	1153	355
195	69124	259	419	287
196	69423	279	456	350
197	69742	219	392	672
198	70141	219	456	804
199	70460	199	726	587
200	70739	439	735	583
201	71297	239	799	567
202	71556	299	772	530
203	71875	678	792	578
204	72573	359	801	549
205	72952	299	799	551
206	73270	140	802	559
207	73450	299	1235	719
208	73849	279	1042	749
209	74188	459	800	275
210	74686	279	888	307
211	75025	199	392	466
212	75364	339	492	810
213	75783	419	1128	909
214	76281	239	788	544
215	76540	219	787	544
216	76859	299	794	515
217	77178	219	795	500
218	77417	159	797	507
219	77636	379	796	480
220	78035	299	798	496
221	78474	159	795	639
222	78693	219	1018	273
223	78932	279	880	455
224	79271	279	384	478
225	79610	199	627	663
226	79989	578	1025	734
227	80627	379	819	523
228	81026	279	780	574
229	81325	439	798	572
230	81843	160	790	552
231	82062	777	787	515
232	82880	199	699	656
233	83139	339	1096	669
234	83518	100	1048	849
235	83657	100	1046	854
236	83857	219	501	614
237	84235	120	470	383
238	84435	160	1210	389
239	84734	698	340	245
240	85491	1595	789	559
241	87226	379	798	559
242	87645	319	684	724
243	88063	339	564	475
244	88462	199	1158	169
245	88901	339	1176	877
246	89279	339	832	807
247	89658	758	788	525
248	90615	359	802	527
249	91074	638	789	496
250	91851	339	579	391
251	92230	160	585	392
252	92848	140	811	506
253	93008	160	803	503
254	93267	219	796	504
255	93586	239	802	489
256	93865	359	708	438
257	94244	199	708	433
258	94603	239	714	431
259	94882	140	533	812
260	95101	239	431	76
261	95480	339	955	602
262	95958	180	916	902
263	96218	179	747	1012
264	96457	279	594	426
265	96796	339	1213	470
266	97175	120	1140	233
267	97314	139	1135	240
268	97613	219	749	610
269	97932	299	804	564
270	98251	279	776	532
271	98550	239	814	512
272	98809	259	786	507
273	99308	359	807	576
274	100045	179	525	456
275	100384	100	1236	798
276	100504	140	1232	824
277	100664	259	1143	785
278	101002	199	737	573
279	101860	498	783	530
280	102378	199	781	515
281	102597	558	784	509
282	103196	279	610	628
283	103614	159	1034	243
284	103953	120	486	124
285	104132	100	887	454
286	104372	279	1070	779
287	104830	179	678	829
288	105149	199	1231	786
289	105428	498	586	646
290	105966	199	786	592
291	106186	140	788	606
292	106346	877	805	558
293	107302	439	769	518
294	107801	239	796	519
295	108240	279	586	603
296	108578	239	881	347
297	108858	578	1045	151
298	109536	259	731	632
299	109874	439	816	865
300	110353	339	500	922
301	110771	818	395	235
302	111689	778	785	529
303	112486	658	774	517
304	113204	299	791	542
305	113523	239	792	553
306	114001	219	1150	726
307	114241	219	1215	745
308	114639	279	539	607
309	114958	279	495	407
310	115277	339	943	367
311	115776	259	1185	197
312	116234	319	630	621
313	116593	259	787	569
314	117072	638	827	547
315	117729	977	820	548
316	118746	299	789	1053
317	119165	120	800	414
318	119344	239	799	417
319	119703	319	432	630
320	120122	219	1224	463
321	120361	199	1226	468
322	120600	319	909	412
323	120999	578	571	359
324	121617	160	568	382
325	121876	239	825	566
326	122195	279	782	582
327	122494	339	778	563
328	122853	159	783	561
329	123033	239	782	537
330	123292	738	784	524
331	124069	199	962	398
332	124329	339	593	600
333	124847	179	466	914
334	125166	219	814	526
335	125405	718	789	573
336	126183	598	789	365
337	127100	239	947	271
338	127359	100	946	250
339	127499	100	484	402
340	127619	120	481	421
341	127857	140	427	815
342	128276	877	430	711
343	129213	459	741	494
344	129692	997	806	473
345	130848	239	1012	397
346	131187	219	840	715
347	131446	239	952	818
348	131745	239	482	942
349	132064	259	409	325
350	132423	977	908	169
351	133420	199	899	185
352	133679	738	796	497
353	134496	160	789	610
354	134676	159	800	559
355	134855	100	808	546
356	135015	100	1093	292
357	135154	319	1093	323
358	135513	279	1144	781
359	135852	279	461	842
360	136251	359	476	306
361	136669	877	1006	307
362	137607	160	726	470
363	137786	458	802	534
364	138264	120	788	510
365	138404	299	790	508
366	138763	239	769	576
367	139022	419	794	575
368	139481	379	1036	222
369	139939	319	868	829
370	140278	159	887	801
371	140517	339	1005	461
372	140916	399	501	332
373	141375	678	499	787
374	142511	239	853	504
375	142770	259	819	513
376	143049	179	803	509
377	143269	279	794	492
378	143608	199	823	506
379	143827	299	804	460
380	144186	319	801	496
381	144664	239	1257	442
382	145003	120	1244	603
383	145143	120	1243	612
384	145322	339	768	832
385	145781	259	717	919
386	146100	239	532	272
387	146638	199	665	19
388	146997	498	702	333
389	147934	120	789	511
390	148173	139	784	498
391	148353	140	799	485
392	148672	339	817	496
393	149210	459	804	496
394	149709	140	742	813
395	149868	199	760	917
396	150087	319	756	913
397	150885	120	897	382
398	151264	478	796	480
399	151762	1176	776	554
400	153038	179	698	777
401	153277	299	725	353
402	153656	199	1093	631
403	153935	359	359	636
404	154354	518	528	223
405	155072	199	793	486
406	155291	120	805	499
407	155450	399	777	583
408	155869	538	807	540
409	156627	359	799	551
410	157065	120	804	540
411	157225	299	724	724
412	157604	160	711	990
413	157923	259	636	268
414	158242	399	975	466
415	158740	279	431	488
416	159059	239	404	671
417	159318	339	408	668
418	159777	239	752	565
419	160036	219	790	556
420	160574	718	775	577
421	161392	439	789	535
422	161910	100	814	608
423	162049	100	821	610
424	162209	239	527	372
425	162528	100	416	684
426	162648	339	414	679
427	163106	279	436	871
428	163445	120	758	543
429	164063	279	763	467
430	164362	239	818	488
431	164681	139	812	484
432	164940	538	811	472
433	165718	140	1055	486
434	165897	299	797	265
435	166216	140	797	289
436	166416	279	568	639
437	166775	219	501	859
438	167094	279	1029	754
439	167413	399	1073	455
440	167831	120	1067	481
441	167971	179	1066	475
442	168988	100	1408	1794
443	170523	219	1661	1601
444	171719	219	711	389
445	171978	239	717	580
446	172377	100	387	743
447	172576	299	1106	142
448	172895	199	1103	129
449	173493	279	855	490
450	173792	778	803	547
451	174590	120	796	544
452	174729	279	781	486
453	175028	100	777	493
454	175407	140	727	209
455	175567	100	780	198
456	175826	259	775	164
457	176105	638	767	157
458	176763	219	804	196
459	177042	279	833	524
460	177401	100	840	518
461	177521	100	836	508
462	177800	100	805	469
463	177959	219	596	833
464	178278	239	1046	297
465	178577	259	527	265
466	178936	419	1024	688
467	179395	160	920	539
468	179594	678	1241	281
469	180292	279	1241	271
470	180970	339	1471	36
471	182265	259	989	382
472	182564	120	1059	531
473	182824	439	631	500
474	183282	100	634	514
475	183422	339	633	778
476	183900	159	531	698
477	184100	199	539	351
478	184319	239	545	353
479	184618	359	1002	163
480	185037	219	950	469
481	185336	498	992	885
482	185934	199	990	884
483	186213	319	994	851
484	186592	498	810	553
485	187110	379	802	511
486	187509	100	804	503
487	187668	259	774	571
488	187947	160	815	576
489	188127	219	772	561
490	188386	140	773	561
491	188585	259	444	539
492	188904	140	590	836
493	189203	160	387	885
494	189423	379	826	235
495	189841	578	782	449
496	190440	379	787	450
497	191058	439	806	464
498	191516	379	802	485
499	192074	419	804	478
500	192553	120	846	283
501	192712	897	634	235
502	194068	239	788	440
503	194328	279	786	450
504	194627	299	792	428
505	195065	518	709	283
506	195603	120	636	311
507	195803	139	1051	647
508	195962	479	1098	663
509	196461	439	1101	632
510	196919	179	1106	629
511	197238	558	849	571
512	197816	498	847	566
513	198394	279	864	561
514	198694	120	793	639
515	198893	239	555	345
516	199252	180	368	208
517	199491	299	1026	185
518	199830	279	748	251
519	200189	120	934	822
520	200328	239	932	815
521	200627	399	560	664
522	201086	219	1171	595
523	201325	558	1162	590
524	202382	239	785	521
525	202661	239	777	501
526	203000	179	780	505
527	203219	299	782	502
528	203558	160	781	501
529	203758	139	776	950
530	203997	319	784	896
531	204336	339	780	883
532	204695	458	782	856
533	205233	538	780	870
534	206110	219	783	880
535	206349	100	785	874
536	206509	160	783	854
537	206927	219	1022	852
538	207207	159	1045	403
539	207406	3110	1144	444
540	210536	100	1150	446
541	210676	279	1189	169
542	211014	638	1205	687
543	211692	339	1079	509
544	212051	658	1094	552
545	212769	140	545	357
546	213088	219	479	423
547	213327	219	477	438
548	213566	140	482	429
549	213726	2811	502	408
550	216657	538	433	210
551	217215	219	440	209
552	217474	239	311	81
553	217913	259	616	369
554	218232	100	601	410
555	218391	180	993	576
556	218750	199	625	385
557	218969	299	600	399
558	219288	219	596	399
559	219607	897	748	711
560	220524	319	756	699
561	220863	957	759	691
562	221840	339	759	702
563	222199	100	770	698
564	222418	1475	760	690
565	223993	738	845	1040
566	224851	458	1041	265
567	225349	100	886	266
568	225469	957	886	270
569	226446	2731	897	274
570	229337	439	565	273
571	229835	219	802	225
572	230114	160	867	710
573	230473	239	483	802
574	230772	140	362	289
575	231031	658	1097	312
576	231928	120	832	406
577	232666	498	813	471
578	233304	319	1291	1174
579	234002	120	833	394
580	234301	100	701	232
581	234620	139	1187	135
582	234899	339	610	860
583	235357	160	731	911
584	235577	299	893	737
585	235936	159	708	739
586	236175	179	387	610
587	236394	100	461	409
588	236514	139	459	406
