Data properties:
 
Recording date: 28/05/2007
Recording time : 10:43:21:671 (corresponds to time 0)
Study: Alasdair
Subject: JF
Recording: jf1
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 30
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	171	498	896	519
2	729	319	785	578
3	1288	219	750	551
4	1567	1396	800	537
5	2982	239	746	490
6	3261	119	904	359
7	3401	219	866	303
8	3680	139	516	798
9	3879	419	802	342
10	4378	160	825	292
11	4577	259	1097	270
12	4896	259	428	218
13	5195	439	697	860
14	5754	339	411	833
15	6172	140	376	1023
16	6372	359	944	709
17	6770	159	1083	631
18	6990	180	1090	405
19	7209	239	661	264
20	7488	219	372	271
21	7767	159	1086	223
22	8006	299	288	173
23	8405	279	1059	1015
24	8704	239	957	1050
25	9003	219	468	1044
26	9342	798	782	526
27	10160	259	837	540
28	10439	738	796	568
29	11196	299	797	563
30	11555	139	619	342
31	11735	180	1160	793
32	11934	578	1174	765
33	12552	379	895	573
34	12971	279	797	543
35	13290	299	947	537
36	13629	259	820	559
37	13908	778	788	561
38	14725	199	882	340
39	14984	239	564	254
40	15263	179	369	245
41	15503	339	1059	254
42	15941	279	1019	892
43	16260	359	590	943
44	16739	139	779	1045
45	16938	339	465	718
46	17357	140	408	629
47	17536	259	365	439
48	17835	120	341	314
49	18055	120	364	147
50	18234	379	993	200
51	18653	538	1091	503
52	19251	299	680	454
53	19570	219	591	413
54	19829	179	405	459
55	20068	359	1102	800
56	20447	259	1228	893
57	20746	239	1154	1020
58	21025	179	583	1013
59	21265	239	1101	781
60	21524	479	1130	708
61	22062	179	855	596
62	22261	219	808	535
63	22501	1136	798	541
64	23677	419	813	588
65	24135	120	695	450
66	24335	359	381	525
67	24714	479	498	421
68	25312	798	790	483
69	26169	299	712	658
70	26528	299	799	605
71	26986	239	803	525
72	27265	239	452	582
73	27564	379	773	227
74	27983	279	1086	397
75	28442	100	918	830
76	28561	518	931	961
77	29140	399	545	858
78	29598	658	1051	535
79	30396	638	816	673
80	31054	1097	797	572
81	32329	239	934	233
82	32609	259	433	327
83	32908	319	359	669
84	33287	339	938	849
85	33685	379	552	996
86	34144	279	793	411
87	34463	399	705	298
88	34981	219	1082	377
89	35300	379	1106	675
90	35719	239	1197	971
91	36018	339	725	1004
92	36437	239	932	1027
93	36756	160	393	1037
94	37075	279	358	213
95	37394	219	914	206
96	37653	339	581	182
97	38131	199	1019	769
98	38450	319	1014	535
99	38849	379	1222	1003
100	39288	219	829	638
101	39527	498	803	591
102	40185	419	771	537
103	40882	538	779	567
104	41481	239	460	421
105	41780	498	753	245
106	42298	160	786	278
107	42497	159	896	265
108	42677	199	773	329
109	42916	319	952	685
110	43315	379	503	825
111	43733	120	498	722
112	43913	279	485	417
113	44232	279	1122	391
114	44551	199	1207	317
115	44790	379	1284	293
116	45229	120	1075	950
117	45368	219	1073	938
118	45627	259	1218	1036
119	45966	239	661	1027
120	46305	199	733	778
121	46545	120	591	675
122	46744	159	572	617
123	47023	239	831	999
124	47282	299	668	1034
125	47601	160	668	1022
126	47801	299	1095	842
127	48179	239	791	744
128	48598	299	620	314
129	48917	100	493	371
130	49076	299	314	209
131	49435	538	1078	336
132	50313	419	862	521
133	50751	778	796	508
134	51549	219	894	537
135	51788	299	803	575
136	52127	239	639	457
137	52426	199	910	306
138	52665	199	1170	335
139	52924	199	1074	865
140	53164	798	1090	777
141	54021	299	806	583
142	54340	379	800	556
143	54878	199	835	626
144	55098	837	794	596
145	55955	199	748	557
146	56194	359	1072	326
147	56752	299	484	293
148	57111	319	434	918
149	57490	259	1007	995
150	57789	399	932	908
151	58267	299	541	496
152	58606	439	552	354
153	59105	140	821	229
154	59284	299	452	178
155	59703	379	1091	276
156	60122	359	1087	609
157	60520	140	844	607
158	60680	159	841	598
159	60859	499	842	590
160	61477	279	1052	980
161	61816	199	512	999
162	62056	299	323	937
163	62414	259	491	454
164	62853	199	608	175
165	63092	339	978	163
166	63451	737	1085	148
167	64269	179	838	597
168	64468	957	796	567
169	65505	498	803	561
170	66043	199	876	380
171	66262	239	922	343
172	66561	359	435	270
173	66980	139	439	823
174	67159	140	437	813
175	67359	180	1030	899
176	67558	120	1029	904
177	67737	319	951	718
178	68116	219	1124	320
179	68395	219	1149	194
180	68675	359	486	148
181	69073	399	444	543
182	69512	259	569	798
183	69851	239	979	842
184	70270	299	917	562
185	70628	399	718	451
186	71087	339	1118	960
187	71605	339	1185	630
188	72064	638	812	555
189	72901	1196	793	574
190	74177	120	917	354
191	74317	199	880	311
192	74536	638	902	310
193	75214	159	975	373
194	75513	299	1336	1055
195	75852	139	1092	905
196	76071	698	802	569
197	76929	139	193	930
198	77128	159	602	535
199	77307	618	407	555
200	77965	219	804	562
201	78344	419	892	554
202	78783	658	789	562
203	79461	139	835	564
204	79720	299	795	557
205	80079	120	748	511
206	80258	359	864	208
207	80657	279	1247	458
208	80996	319	733	863
209	81355	199	586	706
210	81634	279	772	678
211	81933	379	819	681
212	82351	259	1095	985
213	82710	160	450	1006
214	82949	100	353	970
215	83129	399	420	159
216	83568	379	798	138
217	83986	299	1063	267
218	84345	199	1178	704
219	84604	578	1273	262
220	85242	259	1013	429
221	85541	259	793	612
222	85900	179	757	968
223	86139	339	912	628
224	86698	160	909	610
225	86877	558	804	579
226	87475	100	797	454
227	87615	259	1000	276
228	87914	199	521	320
229	88213	239	442	926
230	88512	299	866	940
231	88871	179	1077	677
232	89110	200	528	507
233	89349	179	464	433
234	89608	259	829	262
235	89927	179	459	181
236	90147	219	1164	226
237	90446	239	514	982
238	90725	259	503	780
239	91004	100	506	773
240	91144	1794	799	581
241	92958	239	846	557
242	93277	199	789	424
243	93516	299	1177	462
244	93855	259	1148	260
245	94174	319	437	169
246	94573	219	521	966
247	94832	259	620	877
248	95131	219	945	942
249	95410	120	1134	859
250	95609	239	629	574
251	95909	399	509	411
252	96347	399	761	551
253	96786	179	694	666
254	97105	379	665	645
255	97523	219	759	524
256	97783	339	979	987
257	98181	817	1059	1018
258	99019	658	1057	1022
259	99796	239	1215	554
260	100055	160	1046	450
261	100315	239	1074	298
262	100594	179	904	336
263	100833	399	343	443
264	101272	359	782	545
265	101910	159	1012	603
266	102129	558	1006	607
267	102727	100	764	617
268	102847	538	752	626
269	103425	179	1076	556
270	103684	139	1039	388
271	103883	179	746	280
272	104103	279	447	272
273	104402	120	378	331
274	104561	279	389	659
275	104880	219	384	974
276	105159	199	946	958
277	105438	179	837	931
278	105658	239	1107	868
279	106136	319	677	612
280	106475	279	723	558
281	106774	339	849	595
282	107173	259	819	652
