Data properties:
 
Recording date: 28/05/2007
Recording time : 10:57:49:765 (corresponds to time 0)
Study: Alasdair
Subject: JF
Recording: jf2
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

252	ShowSlide	4	1	0	Image: fixcross.jpg
2353	ShowSlide	4	2	0	Image: RMS=1.2_beta=1.75_seed=50_TA.png
7196	Keyboard	3	68	0	d
7206	ShowSlide	4	3	0	Image: fixcross.jpg
9209	ShowSlide	4	4	0	Image: RMS=0.8_beta=1.55_seed=1_TP.png
10766	Keyboard	3	75	0	k
10774	ShowSlide	4	5	0	Image: fixcross.jpg
12782	ShowSlide	4	6	0	Image: RMS=0.8_beta=1.65_seed=22_TA.png
17800	Keyboard	3	68	0	d
17802	ShowSlide	4	7	0	Image: fixcross.jpg
19910	ShowSlide	4	8	0	Image: RMS=1.2_beta=1.6_seed=19_TA.png
25097	Keyboard	3	68	0	d
25099	ShowSlide	4	9	0	Image: fixcross.jpg
27101	ShowSlide	4	10	0	Image: RMS=0.8_beta=1.65_seed=24_TP.png
28284	Keyboard	3	75	0	k
28286	ShowSlide	4	11	0	Image: fixcross.jpg
30299	ShowSlide	4	12	0	Image: RMS=1_beta=1.55_seed=8_TP.png
34421	Keyboard	3	68	0	d
34463	ShowSlide	4	13	0	Image: fixcross.jpg
36492	ShowSlide	4	14	0	Image: RMS=1_beta=1.55_seed=6_TA.png
41469	Keyboard	3	68	0	d
41478	ShowSlide	4	15	0	Image: fixcross.jpg
43498	ShowSlide	4	16	0	Image: RMS=1.2_beta=1.65_seed=24_TP.png
44529	Keyboard	3	75	0	k
44535	ShowSlide	4	17	0	Image: fixcross.jpg
46644	ShowSlide	4	18	0	Image: RMS=0.8_beta=1.65_seed=29_TP.png
47368	Keyboard	3	75	0	k
47378	ShowSlide	4	19	0	Image: fixcross.jpg
49374	ShowSlide	4	20	0	Image: RMS=1.2_beta=1.65_seed=25_TA.png
57991	Keyboard	3	68	0	d
58003	ShowSlide	4	21	0	Image: fixcross.jpg
59999	ShowSlide	4	22	0	Image: RMS=1_beta=1.7_seed=39_TP.png
61032	Keyboard	3	75	0	k
61036	ShowSlide	4	23	0	Image: fixcross.jpg
63040	ShowSlide	4	24	0	Image: RMS=1_beta=1.65_seed=27_TA.png
68312	Keyboard	3	68	0	d
68316	ShowSlide	4	25	0	Image: fixcross.jpg
70399	ShowSlide	4	26	0	Image: RMS=1_beta=1.65_seed=24_TA.png
77456	Keyboard	3	68	0	d
77463	ShowSlide	4	27	0	Image: fixcross.jpg
79555	ShowSlide	4	28	0	Image: RMS=1.2_beta=1.75_seed=47_TA.png
87131	Keyboard	3	68	0	d
87132	ShowSlide	4	29	0	Image: fixcross.jpg
89129	ShowSlide	4	30	0	Image: RMS=0.8_beta=1.75_seed=41_TA.png
97133	Keyboard	3	68	0	d
97139	ShowSlide	4	31	0	Image: fixcross.jpg
99139	ShowSlide	4	32	0	Image: RMS=1.2_beta=1.65_seed=21_TP.png
105237	Keyboard	3	68	0	d
105248	ShowSlide	4	33	0	Image: fixcross.jpg
107247	ShowSlide	4	34	0	Image: RMS=0.8_beta=1.55_seed=3_TA.png
115380	Keyboard	3	68	0	d
115385	ShowSlide	4	35	0	Image: fixcross.jpg
117388	ShowSlide	4	36	0	Image: RMS=0.8_beta=1.7_seed=36_TP.png
118265	Keyboard	3	75	0	k
118273	ShowSlide	4	37	0	Image: fixcross.jpg
120267	ShowSlide	4	38	0	Image: RMS=0.8_beta=1.75_seed=44_TA.png
129524	Keyboard	3	68	0	d
129526	ShowSlide	4	39	0	Image: fixcross.jpg
131525	ShowSlide	4	40	0	Image: RMS=0.8_beta=1.7_seed=31_TA.png
141965	Keyboard	3	68	0	d
141969	ShowSlide	4	41	0	Image: fixcross.jpg
144033	ShowSlide	4	42	0	Image: RMS=0.8_beta=1.7_seed=32_TA.png
152858	Keyboard	3	68	0	d
152867	ShowSlide	4	43	0	Image: fixcross.jpg
154871	ShowSlide	4	44	0	Image: RMS=0.8_beta=1.65_seed=30_TA.png
163315	Keyboard	3	68	0	d
163320	ShowSlide	4	45	0	Image: fixcross.jpg
165324	ShowSlide	4	46	0	Image: RMS=1_beta=1.75_seed=50_TA.png
173039	Keyboard	3	68	0	d
173043	ShowSlide	4	47	0	Image: fixcross.jpg
175118	ShowSlide	4	48	0	Image: RMS=1.2_beta=1.65_seed=22_TA.png
181118	Keyboard	3	68	0	d
181121	ShowSlide	4	49	0	Image: fixcross.jpg
183128	ShowSlide	4	50	0	Image: RMS=1.2_beta=1.6_seed=19_TP.png
190651	Keyboard	3	75	0	k
190653	ShowSlide	4	51	0	Image: fixcross.jpg
192647	ShowSlide	4	52	0	Image: RMS=1.2_beta=1.6_seed=14_TP.png
199754	Keyboard	3	68	0	d
199755	ShowSlide	4	53	0	Image: fixcross.jpg
201753	ShowSlide	4	54	0	Image: RMS=1_beta=1.75_seed=45_TP.png
202508	Keyboard	3	75	0	k
202618	ShowSlide	4	55	0	Image: fixcross.jpg
204620	ShowSlide	4	56	0	Image: RMS=1.2_beta=1.55_seed=3_TA.png
214316	Keyboard	3	68	0	d
214323	ShowSlide	4	57	0	Image: fixcross.jpg
216327	ShowSlide	4	58	0	Image: RMS=1.2_beta=1.75_seed=44_TP.png
217266	Keyboard	3	75	0	k
217273	ShowSlide	4	59	0	Image: fixcross.jpg
219272	ShowSlide	4	60	0	Image: RMS=1_beta=1.65_seed=28_TA.png
228902	Keyboard	3	68	0	d
228907	ShowSlide	4	61	0	Image: fixcross.jpg
230909	ShowSlide	4	62	0	Image: RMS=1_beta=1.75_seed=45_TA.png
242115	Keyboard	3	68	0	d
242211	ShowSlide	4	63	0	Image: fixcross.jpg
244247	ShowSlide	4	64	0	Image: RMS=0.8_beta=1.75_seed=43_TP.png
245100	Keyboard	3	75	0	k
245102	ShowSlide	4	65	0	Image: fixcross.jpg
247098	ShowSlide	4	66	0	Image: RMS=1.2_beta=1.65_seed=29_TP.png
249524	Keyboard	3	75	0	k
249531	ShowSlide	4	67	0	Image: fixcross.jpg
251532	ShowSlide	4	68	0	Image: RMS=0.8_beta=1.75_seed=47_TP.png
252229	Keyboard	3	75	0	k
252251	ShowSlide	4	69	0	Image: fixcross.jpg
254255	ShowSlide	4	70	0	Image: RMS=0.8_beta=1.75_seed=48_TP.png
254993	Keyboard	3	75	0	k
255002	ShowSlide	4	71	0	Image: fixcross.jpg
257006	ShowSlide	4	72	0	Image: RMS=0.8_beta=1.65_seed=26_TP.png
258123	Keyboard	3	75	0	k
258132	ShowSlide	4	73	0	Image: fixcross.jpg
260126	ShowSlide	4	74	0	Image: RMS=0.8_beta=1.65_seed=27_TA.png
267339	Keyboard	3	68	0	d
267346	ShowSlide	4	75	0	Image: fixcross.jpg
269365	ShowSlide	4	76	0	Image: RMS=1.2_beta=1.65_seed=28_TP.png
270405	Keyboard	3	75	0	k
270439	ShowSlide	4	77	0	Image: fixcross.jpg
272444	ShowSlide	4	78	0	Image: RMS=1.2_beta=1.7_seed=36_TA.png
278393	Keyboard	3	68	0	d
278406	ShowSlide	4	79	0	Image: fixcross.jpg
280422	ShowSlide	4	80	0	Image: RMS=0.8_beta=1.7_seed=34_TA.png
287863	Keyboard	3	68	0	d
287864	ShowSlide	4	81	0	Image: fixcross.jpg
289962	ShowSlide	4	82	0	Image: RMS=1.2_beta=1.7_seed=40_TA.png
299065	Keyboard	3	68	0	d
299130	ShowSlide	4	83	0	Image: fixcross.jpg
301127	ShowSlide	4	84	0	Image: RMS=1_beta=1.7_seed=34_TP.png
301934	Keyboard	3	75	0	k
301957	ShowSlide	4	85	0	Image: fixcross.jpg
303958	ShowSlide	4	86	0	Image: RMS=1.2_beta=1.65_seed=26_TA.png
311112	Keyboard	3	68	0	d
311232	ShowSlide	4	87	0	Image: fixcross.jpg
313234	ShowSlide	4	88	0	Image: RMS=0.8_beta=1.6_seed=17_TP.png
313976	Keyboard	3	75	0	k
313977	ShowSlide	4	89	0	Image: fixcross.jpg
315995	ShowSlide	4	90	0	Image: RMS=1.2_beta=1.75_seed=42_TP.png
316743	Keyboard	3	75	0	k
316750	ShowSlide	4	91	0	Image: fixcross.jpg
318749	ShowSlide	4	92	0	Image: RMS=0.8_beta=1.7_seed=35_TP.png
319390	Keyboard	3	75	0	k
319472	ShowSlide	4	93	0	Image: fixcross.jpg
321473	ShowSlide	4	94	0	Image: RMS=1_beta=1.7_seed=37_TP.png
323090	Keyboard	3	75	0	k
323125	ShowSlide	4	95	0	Image: fixcross.jpg
325122	ShowSlide	4	96	0	Image: RMS=1.2_beta=1.75_seed=49_TA.png
333337	Keyboard	3	68	0	d
333423	ShowSlide	4	97	0	Image: fixcross.jpg
335482	ShowSlide	4	98	0	Image: RMS=1.2_beta=1.55_seed=6_TA.png
339936	Keyboard	3	68	0	d
339943	ShowSlide	4	99	0	Image: fixcross.jpg
341937	ShowSlide	4	100	0	Image: RMS=0.8_beta=1.55_seed=9_TA.png
352849	Keyboard	3	68	0	d
352855	ShowSlide	4	101	0	Image: fixcross.jpg
