Data properties:
 
Recording date: 30/05/2007
Recording time : 9:43:03:609 (corresponds to time 0)
Study: Alasdair
Subject: LM
Recording: lm2
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 30
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	217	239	587	904
2	496	120	786	644
3	636	100	783	670
4	994	100	826	645
5	1213	259	789	588
6	1533	160	808	585
7	1712	259	800	603
8	2011	140	737	545
9	2310	279	807	563
10	2629	120	525	464
11	2869	120	547	350
12	3088	179	1088	598
13	3507	179	725	618
14	4145	159	986	358
15	4523	139	791	638
16	5062	479	809	581
17	5640	419	808	570
18	6079	179	801	575
19	6278	259	789	580
20	6617	219	1216	683
21	6856	598	1256	687
22	7494	140	848	583
23	7933	120	818	636
24	8232	379	802	557
25	8631	718	809	578
26	9369	180	805	584
27	9569	159	802	578
28	9768	159	400	521
29	10007	100	402	529
30	10187	140	529	430
31	10366	319	1092	364
32	10725	140	1274	324
33	10924	100	1176	649
34	11084	100	737	613
35	11243	120	748	616
36	11403	140	796	596
37	11782	378	799	517
38	12260	100	786	604
39	12877	558	791	486
40	13475	259	482	739
41	13774	299	506	417
42	14173	180	320	350
43	14412	219	1086	715
44	14692	160	1191	718
45	14871	319	760	620
46	15270	159	817	975
47	15509	199	1119	314
48	15748	279	680	285
49	16087	120	930	263
50	16606	120	532	573
51	16805	299	1108	687
52	17562	140	807	548
53	17762	319	809	562
54	18121	778	810	551
55	18978	359	795	525
56	19576	379	652	889
57	20035	120	807	545
58	20314	100	1218	598
59	20653	160	847	563
60	20912	419	809	574
61	21470	359	812	514
62	21869	100	812	608
63	21988	219	808	602
64	22287	120	590	917
65	22726	299	884	444
66	23125	120	610	373
67	23284	299	568	488
68	23803	100	1142	652
69	24122	319	746	553
70	24839	299	813	583
71	25158	698	811	561
72	25916	279	821	568
73	26315	140	803	582
74	26474	199	807	572
75	26753	279	1008	1007
76	27072	299	435	676
77	27591	279	662	853
78	28189	339	686	358
79	28607	160	493	385
80	28867	179	800	499
81	29106	319	1196	651
82	29604	299	1149	419
83	30182	200	772	551
84	30422	120	807	594
85	30581	199	803	586
86	30800	698	806	592
87	31518	160	803	539
88	31698	160	817	546
89	31877	219	819	589
90	32236	219	606	591
91	32535	179	470	347
92	32894	160	468	298
93	33073	100	469	280
94	33632	558	802	523
95	34210	259	803	535
96	34688	160	807	594
97	34908	498	816	499
98	35505	100	481	434
99	35685	219	391	404
100	35964	100	386	409
101	36303	299	825	615
102	36781	179	749	629
103	36981	239	749	610
104	37299	976	801	587
105	38495	140	470	372
106	38655	179	640	481
107	38894	100	1046	715
108	39034	100	1043	731
109	39153	140	1034	729
110	39353	199	960	597
111	39612	100	693	431
112	39732	119	706	444
113	40349	100	522	764
114	40469	219	745	681
115	40708	120	626	395
116	40868	100	610	396
117	41087	140	619	411
118	41347	200	1150	713
119	41706	140	1276	455
120	42025	259	801	569
121	42423	339	824	556
122	42782	160	822	555
123	43061	200	824	560
124	43460	140	775	584
125	43679	259	811	589
126	44018	100	603	628
127	44277	100	512	783
128	44437	100	508	791
129	44875	598	810	545
130	45533	140	740	592
131	45713	100	806	559
132	45832	100	795	551
133	46132	219	653	661
134	46391	179	765	652
135	46650	139	791	616
136	46909	159	582	710
137	47108	339	624	485
138	47507	219	430	584
139	47886	120	386	306
140	48225	160	1180	461
141	48464	259	1237	796
142	49023	120	469	782
143	49162	239	472	785
144	49581	259	812	534
145	49860	100	813	534
146	50238	140	832	547
147	50398	179	793	586
148	50598	100	825	582
149	50717	798	818	587
150	51973	140	680	725
151	52193	100	700	688
152	52352	179	1173	760
153	52571	299	1204	504
154	52930	160	835	235
155	53150	319	431	347
156	53548	259	437	817
157	54067	120	806	666
158	54466	219	814	618
159	54844	220	806	691
160	55303	260	828	663
161	55623	100	829	668
162	55922	498	799	626
163	56440	398	567	608
164	56878	399	393	449
165	57357	219	1113	661
166	57636	159	1123	338
167	57875	239	399	217
168	58174	339	1010	234
169	58573	219	657	307
170	58852	319	535	788
171	59211	100	766	721
172	59430	119	1228	730
173	59649	179	515	517
174	60247	100	814	573
175	60367	419	808	569
176	60985	299	801	528
177	61484	598	809	559
178	62122	279	613	437
179	62740	180	1083	434
180	63158	139	1181	940
181	63358	140	1169	487
182	63896	339	804	591
183	64315	299	810	576
184	64813	100	833	504
185	64933	179	822	558
186	65132	459	814	571
187	65630	199	801	557
188	65850	120	813	552
189	65989	319	811	556
190	66388	120	953	697
191	66567	100	999	710
192	66707	299	433	741
193	67026	160	432	758
194	67245	120	492	791
195	67445	120	384	416
196	67584	120	384	440
197	67764	259	950	344
198	68083	299	707	162
199	68442	219	451	275
200	68761	239	1142	494
201	69080	100	1058	836
202	69658	219	561	802
203	70096	259	820	565
204	70375	119	810	601
205	70515	100	813	579
206	70834	518	816	581
207	71392	299	817	593
208	71751	479	814	589
209	72269	259	508	975
210	72648	179	498	465
211	72848	159	503	481
212	73087	299	670	605
213	73446	140	1125	373
214	73765	180	886	297
215	74064	279	500	296
216	74383	100	1095	689
217	74502	120	1098	682
218	74682	120	1220	726
219	74981	159	1196	1017
220	75220	139	505	823
221	75519	199	626	429
222	75758	219	943	351
223	76077	219	660	563
224	76317	219	927	635
225	76576	140	925	651
226	76915	120	805	503
227	77054	140	820	576
228	77612	100	789	550
