Data properties:
 
Recording date: 30/05/2007
Recording time : 9:51:38:484 (corresponds to time 0)
Study: Alasdair
Subject: LM
Recording: l3
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

284	ShowSlide	4	1	0	Image: fixcross.jpg
2391	ShowSlide	4	2	0	Image: RMS=0.8_beta=1.75_seed=43_TA.png
5000	Keyboard	3	68	0	d
5003	ShowSlide	4	3	0	Image: fixcross.jpg
7117	ShowSlide	4	4	0	Image: RMS=1.2_beta=1.75_seed=44_TA.png
9570	Keyboard	3	68	0	d
9722	ShowSlide	4	5	0	Image: fixcross.jpg
11723	ShowSlide	4	6	0	Image: RMS=1.2_beta=1.65_seed=25_TP.png
13955	Keyboard	3	75	0	k
14000	ShowSlide	4	7	0	Image: fixcross.jpg
15999	ShowSlide	4	8	0	Image: RMS=1_beta=1.7_seed=38_TA.png
19950	Keyboard	3	68	0	d
19952	ShowSlide	4	9	0	Image: fixcross.jpg
22014	ShowSlide	4	10	0	Image: RMS=0.8_beta=1.6_seed=14_TA.png
25300	Keyboard	3	68	0	d
25353	ShowSlide	4	11	0	Image: fixcross.jpg
27356	ShowSlide	4	12	0	Image: RMS=0.8_beta=1.75_seed=50_TP.png
28206	Keyboard	3	75	0	k
28238	ShowSlide	4	13	0	Image: fixcross.jpg
30238	ShowSlide	4	14	0	Image: RMS=1.2_beta=1.7_seed=35_TP.png
31655	Keyboard	3	75	0	k
31664	ShowSlide	4	15	0	Image: fixcross.jpg
33667	ShowSlide	4	16	0	Image: RMS=1.2_beta=1.55_seed=7_TA.png
35004	Keyboard	3	68	0	d
35015	ShowSlide	4	17	0	Image: fixcross.jpg
37014	ShowSlide	4	18	0	Image: RMS=0.8_beta=1.6_seed=13_TA.png
41533	Keyboard	3	68	0	d
41534	ShowSlide	4	19	0	Image: fixcross.jpg
43535	ShowSlide	4	20	0	Image: RMS=0.8_beta=1.65_seed=23_TA.png
46797	Keyboard	3	68	0	d
46804	ShowSlide	4	21	0	Image: fixcross.jpg
48843	ShowSlide	4	22	0	Image: RMS=1_beta=1.75_seed=48_TA.png
52912	Keyboard	3	68	0	d
52914	ShowSlide	4	23	0	Image: fixcross.jpg
54912	ShowSlide	4	24	0	Image: RMS=0.8_beta=1.6_seed=17_TA.png
57210	Keyboard	3	68	0	d
57220	ShowSlide	4	25	0	Image: fixcross.jpg
59224	ShowSlide	4	26	0	Image: RMS=1_beta=1.55_seed=1_TP.png
61066	Keyboard	3	75	0	k
61068	ShowSlide	4	27	0	Image: fixcross.jpg
63063	ShowSlide	4	28	0	Image: RMS=0.8_beta=1.55_seed=7_TP.png
64284	Keyboard	3	75	0	k
64297	ShowSlide	4	29	0	Image: fixcross.jpg
66299	ShowSlide	4	30	0	Image: RMS=1.2_beta=1.6_seed=15_TA.png
70611	Keyboard	3	68	0	d
70618	ShowSlide	4	31	0	Image: fixcross.jpg
72614	ShowSlide	4	32	0	Image: RMS=1_beta=1.65_seed=26_TA.png
76133	Keyboard	3	68	0	d
76141	ShowSlide	4	33	0	Image: fixcross.jpg
78217	ShowSlide	4	34	0	Image: RMS=1_beta=1.65_seed=29_TA.png
82539	Keyboard	3	68	0	d
82541	ShowSlide	4	35	0	Image: fixcross.jpg
84544	ShowSlide	4	36	0	Image: RMS=1_beta=1.65_seed=27_TP.png
85399	Keyboard	3	75	0	k
85401	ShowSlide	4	37	0	Image: fixcross.jpg
87401	ShowSlide	4	38	0	Image: RMS=1.2_beta=1.75_seed=43_TA.png
89618	Keyboard	3	68	0	d
89628	ShowSlide	4	39	0	Image: fixcross.jpg
91643	ShowSlide	4	40	0	Image: RMS=0.8_beta=1.55_seed=10_TP.png
92872	Keyboard	3	75	0	k
92879	ShowSlide	4	41	0	Image: fixcross.jpg
94881	ShowSlide	4	42	0	Image: RMS=1.2_beta=1.6_seed=12_TP.png
98216	Keyboard	3	68	0	d
98250	ShowSlide	4	43	0	Image: fixcross.jpg
100246	ShowSlide	4	44	0	Image: RMS=1_beta=1.6_seed=19_TA.png
102699	Keyboard	3	68	0	d
102706	ShowSlide	4	45	0	Image: fixcross.jpg
104701	ShowSlide	4	46	0	Image: RMS=1_beta=1.7_seed=40_TA.png
107180	Keyboard	3	68	0	d
107343	ShowSlide	4	47	0	Image: fixcross.jpg
109338	ShowSlide	4	48	0	Image: RMS=1_beta=1.6_seed=15_TA.png
111879	Keyboard	3	68	0	d
111951	ShowSlide	4	49	0	Image: fixcross.jpg
114070	ShowSlide	4	50	0	Image: RMS=1_beta=1.6_seed=16_TP.png
117701	Keyboard	3	68	0	d
117704	ShowSlide	4	51	0	Image: fixcross.jpg
119707	ShowSlide	4	52	0	Image: RMS=1.2_beta=1.7_seed=39_TP.png
121966	Keyboard	3	68	0	d
121976	ShowSlide	4	53	0	Image: fixcross.jpg
124022	ShowSlide	4	54	0	Image: RMS=1_beta=1.7_seed=36_TA.png
125855	Keyboard	3	68	0	d
125865	ShowSlide	4	55	0	Image: fixcross.jpg
127861	ShowSlide	4	56	0	Image: RMS=0.8_beta=1.7_seed=37_TA.png
129914	Keyboard	3	68	0	d
129924	ShowSlide	4	57	0	Image: fixcross.jpg
131918	ShowSlide	4	58	0	Image: RMS=0.8_beta=1.6_seed=16_TA.png
135217	Keyboard	3	68	0	d
135219	ShowSlide	4	59	0	Image: fixcross.jpg
137222	ShowSlide	4	60	0	Image: RMS=1_beta=1.75_seed=43_TA.png
140201	Keyboard	3	68	0	d
140205	ShowSlide	4	61	0	Image: fixcross.jpg
142203	ShowSlide	4	62	0	Image: RMS=0.8_beta=1.6_seed=15_TP.png
143551	Keyboard	3	75	0	k
143578	ShowSlide	4	63	0	Image: fixcross.jpg
145573	ShowSlide	4	64	0	Image: RMS=1.2_beta=1.75_seed=45_TA.png
149070	Keyboard	3	68	0	d
149177	ShowSlide	4	65	0	Image: fixcross.jpg
151182	ShowSlide	4	66	0	Image: RMS=1.2_beta=1.75_seed=46_TA.png
153478	Keyboard	3	68	0	d
153519	ShowSlide	4	67	0	Image: fixcross.jpg
155525	ShowSlide	4	68	0	Image: RMS=1.2_beta=1.65_seed=28_TA.png
158497	Keyboard	3	68	0	d
158502	ShowSlide	4	69	0	Image: fixcross.jpg
160585	ShowSlide	4	70	0	Image: RMS=1.2_beta=1.55_seed=5_TP.png
162521	Keyboard	3	75	0	k
162531	ShowSlide	4	71	0	Image: fixcross.jpg
164547	ShowSlide	4	72	0	Image: RMS=1_beta=1.6_seed=18_TA.png
167701	Keyboard	3	68	0	d
167703	ShowSlide	4	73	0	Image: fixcross.jpg
169779	ShowSlide	4	74	0	Image: RMS=1_beta=1.65_seed=22_TP.png
170570	Keyboard	3	75	0	k
170572	ShowSlide	4	75	0	Image: fixcross.jpg
172576	ShowSlide	4	76	0	Image: RMS=1.2_beta=1.55_seed=4_TA.png
175245	Keyboard	3	68	0	d
175251	ShowSlide	4	77	0	Image: fixcross.jpg
177253	ShowSlide	4	78	0	Image: RMS=0.8_beta=1.7_seed=38_TA.png
179173	Keyboard	3	68	0	d
179220	ShowSlide	4	79	0	Image: fixcross.jpg
181258	ShowSlide	4	80	0	Image: RMS=1.2_beta=1.65_seed=30_TA.png
184312	Keyboard	3	68	0	d
184313	ShowSlide	4	81	0	Image: fixcross.jpg
186311	ShowSlide	4	82	0	Image: RMS=1_beta=1.75_seed=47_TP.png
187061	Keyboard	3	75	0	k
187062	ShowSlide	4	83	0	Image: fixcross.jpg
189064	ShowSlide	4	84	0	Image: RMS=0.8_beta=1.65_seed=25_TP.png
190026	Keyboard	3	75	0	k
190040	ShowSlide	4	85	0	Image: fixcross.jpg
192066	ShowSlide	4	86	0	Image: RMS=0.8_beta=1.55_seed=8_TP.png
193149	Keyboard	3	75	0	k
193154	ShowSlide	4	87	0	Image: fixcross.jpg
195155	ShowSlide	4	88	0	Image: RMS=0.8_beta=1.7_seed=34_TP.png
196100	Keyboard	3	75	0	k
196101	ShowSlide	4	89	0	Image: fixcross.jpg
198104	ShowSlide	4	90	0	Image: RMS=0.8_beta=1.65_seed=21_TP.png
198844	Keyboard	3	75	0	k
198859	ShowSlide	4	91	0	Image: fixcross.jpg
200858	ShowSlide	4	92	0	Image: RMS=1_beta=1.55_seed=7_TP.png
204573	Keyboard	3	68	0	d
204580	ShowSlide	4	93	0	Image: fixcross.jpg
206587	ShowSlide	4	94	0	Image: RMS=1_beta=1.65_seed=25_TA.png
211696	Keyboard	3	68	0	d
211704	ShowSlide	4	95	0	Image: fixcross.jpg
213718	ShowSlide	4	96	0	Image: RMS=1_beta=1.65_seed=29_TP.png
214665	Keyboard	3	75	0	k
214674	ShowSlide	4	97	0	Image: fixcross.jpg
216675	ShowSlide	4	98	0	Image: RMS=0.8_beta=1.65_seed=26_TA.png
219106	Keyboard	3	68	0	d
219108	ShowSlide	4	99	0	Image: fixcross.jpg
221108	ShowSlide	4	100	0	Image: RMS=1.2_beta=1.7_seed=38_TA.png
223703	Keyboard	3	68	0	d
223713	ShowSlide	4	101	0	Image: fixcross.jpg
224163	Keyboard	3	68	0	d
224383	Keyboard	3	68	0	d
225713	ShowSlide	4	102	0	Image: RMS=1_beta=1.6_seed=16_TA.png
228667	Keyboard	3	68	0	d
228670	ShowSlide	4	103	0	Image: fixcross.jpg
230665	ShowSlide	4	104	0	Image: RMS=1.2_beta=1.55_seed=10_TP.png
233821	Keyboard	3	75	0	k
233825	ShowSlide	4	105	0	Image: fixcross.jpg
235828	ShowSlide	4	106	0	Image: RMS=0.8_beta=1.55_seed=6_TA.png
241999	Keyboard	3	68	0	d
242008	ShowSlide	4	107	0	Image: fixcross.jpg
244002	ShowSlide	4	108	0	Image: RMS=1_beta=1.75_seed=41_TP.png
244839	Keyboard	3	75	0	k
244850	ShowSlide	4	109	0	Image: fixcross.jpg
246850	ShowSlide	4	110	0	Image: RMS=0.8_beta=1.7_seed=40_TP.png
247608	Keyboard	3	75	0	k
247611	ShowSlide	4	111	0	Image: fixcross.jpg
249611	ShowSlide	4	112	0	Image: RMS=0.8_beta=1.6_seed=20_TA.png
251772	Keyboard	3	68	0	d
251884	ShowSlide	4	113	0	Image: fixcross.jpg
253948	ShowSlide	4	114	0	Image: RMS=0.8_beta=1.75_seed=50_TA.png
256736	Keyboard	3	68	0	d
256743	ShowSlide	4	115	0	Image: fixcross.jpg
258812	ShowSlide	4	116	0	Image: RMS=0.8_beta=1.75_seed=49_TP.png
259801	Keyboard	3	75	0	k
259811	ShowSlide	4	117	0	Image: fixcross.jpg
261894	ShowSlide	4	118	0	Image: RMS=1_beta=1.75_seed=42_TA.png
266339	Keyboard	3	68	0	d
266373	ShowSlide	4	119	0	Image: fixcross.jpg
268371	ShowSlide	4	120	0	Image: RMS=1.2_beta=1.65_seed=26_TP.png
269418	Keyboard	3	75	0	k
269420	ShowSlide	4	121	0	Image: fixcross.jpg
271423	ShowSlide	4	122	0	Image: RMS=1_beta=1.55_seed=10_TP.png
275481	Keyboard	3	68	0	d
275487	ShowSlide	4	123	0	Image: fixcross.jpg
277602	ShowSlide	4	124	0	Image: RMS=1_beta=1.6_seed=20_TP.png
279861	Keyboard	3	75	0	k
279870	ShowSlide	4	125	0	Image: fixcross.jpg
281873	ShowSlide	4	126	0	Image: RMS=1_beta=1.75_seed=46_TA.png
284580	Keyboard	3	68	0	d
284612	ShowSlide	4	127	0	Image: fixcross.jpg
