Data properties:
 
Recording date: 30/05/2007
Recording time : 9:51:38:484 (corresponds to time 0)
Study: Alasdair
Subject: LM
Recording: l3
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 30
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	431	140	365	1119
2	730	100	804	583
3	930	298	788	594
4	1268	239	790	590
5	1627	199	795	591
6	1966	100	797	581
7	2105	339	804	595
8	2684	199	815	560
9	2923	379	588	386
10	3342	219	599	121
11	3621	120	381	289
12	3920	259	1058	542
13	4239	179	1206	409
14	4558	159	668	757
15	4996	179	1051	759
16	5714	100	752	499
17	5833	120	796	569
18	5973	239	798	579
19	6332	100	804	541
20	6531	319	790	525
21	6870	159	783	516
22	7110	439	779	576
23	7947	120	557	288
24	8126	180	325	510
25	8386	279	1091	654
26	8685	199	1163	697
27	8944	259	773	499
28	9402	219	624	834
29	9721	200	671	809
30	10021	239	801	520
31	10539	279	800	566
32	10858	299	797	514
33	11197	140	800	558
34	11356	758	802	559
35	12134	219	763	374
36	12413	179	828	244
37	12732	199	1135	611
38	12951	140	1168	589
39	13310	299	686	272
40	13669	219	634	265
41	13908	299	634	275
42	14407	179	792	506
43	14825	299	804	543
44	15403	499	794	517
45	15922	359	790	515
46	16400	100	689	379
47	16520	239	689	396
48	16859	180	502	311
49	17138	179	1026	659
50	17337	478	1076	540
51	17856	319	1064	472
52	18215	120	1080	615
53	18354	120	1070	592
54	18514	299	608	680
55	18972	259	570	977
56	19271	219	1137	939
57	19670	140	535	233
58	19830	299	536	248
59	20527	219	807	521
60	20767	160	815	540
61	20946	179	822	541
62	21145	239	813	535
63	21424	199	772	504
64	21644	618	798	507
65	22282	259	791	541
66	22581	279	844	355
67	22920	160	721	206
68	23139	259	422	431
69	23458	199	766	642
70	23777	319	1229	594
71	24156	219	974	915
72	24415	219	442	665
73	24694	239	842	506
74	25053	419	655	603
75	25651	180	756	592
76	26209	339	802	612
77	26568	159	804	609
78	26748	160	720	569
79	26927	439	728	569
80	27426	259	797	582
81	27844	219	452	750
82	28203	259	489	769
83	28622	199	651	708
84	28901	159	795	614
85	29161	119	794	585
86	29300	359	792	568
87	29719	698	721	573
88	30436	140	722	584
89	30636	339	533	788
90	31274	518	532	825
91	31812	139	531	828
92	32131	299	637	657
93	32629	758	612	750
94	33487	359	608	749
95	33965	140	502	707
96	34165	180	427	442
97	34404	140	398	419
98	34623	179	1070	684
99	34942	100	1085	616
100	35102	219	736	308
101	35381	439	794	568
102	35919	239	807	533
103	36238	100	804	581
104	36358	618	799	583
105	36996	438	798	556
106	37454	199	897	576
107	37673	120	901	576
108	37813	179	932	580
109	38092	259	1058	367
110	38431	239	536	289
111	38770	339	1099	239
112	39189	139	943	147
113	39388	239	1052	609
114	39667	179	1153	642
115	39906	179	1229	911
116	40166	199	534	812
117	40405	179	580	674
118	40704	219	745	550
119	41123	100	624	1000
120	41282	120	490	499
121	41422	160	488	485
122	41621	139	665	468
123	41999	279	811	531
124	42318	519	801	578
125	42877	100	811	579
126	42997	359	810	590
127	43375	180	734	575
128	43714	159	801	559
129	44113	179	540	566
130	44332	199	554	285
131	44551	100	555	275
132	44711	100	459	341
133	44870	140	1033	419
134	45169	100	1226	563
135	45329	140	979	342
136	45528	179	945	262
137	45867	199	1035	789
138	46107	259	546	745
139	46605	199	531	311
140	46824	160	531	306
141	47283	139	778	542
142	47682	319	777	560
143	48041	239	777	565
144	48459	319	776	565
145	48838	420	762	611
146	49317	179	486	630
147	49537	299	510	285
148	49876	160	597	266
149	50215	120	689	226
150	50573	140	961	574
151	50733	100	992	458
152	50952	120	512	779
153	51092	120	516	764
154	51371	339	356	466
155	51769	379	774	314
156	52248	160	466	221
157	52467	239	994	686
158	52826	179	654	562
159	53304	239	715	561
160	53564	179	765	607
161	54181	299	796	554
162	54540	159	746	580
163	54720	498	792	546
164	55278	219	633	624
165	55557	179	1061	423
166	55756	120	1007	459
167	55936	219	557	284
168	56175	140	608	295
169	56374	140	385	653
170	56594	100	378	661
171	56733	239	801	630
172	57052	140	1129	349
173	57212	259	800	485
174	57790	479	818	553
175	58288	997	802	568
176	59305	379	803	558
177	59724	120	1112	379
178	59863	100	1115	375
179	60023	299	503	381
180	60342	140	559	373
181	60701	578	837	179
182	61598	957	798	528
183	62754	179	768	522
184	62973	399	800	566
185	63392	160	813	319
186	63671	199	785	194
187	63990	239	736	154
188	64269	199	726	144
189	64668	100	796	494
190	64887	319	811	589
191	65286	100	811	557
192	65426	259	702	157
193	65705	379	709	166
194	66163	140	797	499
195	66323	399	815	536
196	67120	140	1118	713
197	67439	339	1098	772
198	67819	199	996	757
199	68058	319	1069	429
200	68476	179	472	549
201	68795	279	446	175
202	69393	259	542	885
203	70390	459	625	417
204	70888	120	805	573
205	71187	140	879	513
206	71387	179	818	560
207	71606	498	799	575
208	72204	758	803	570
209	73002	299	819	281
210	73360	279	798	635
211	73679	219	970	645
212	73979	319	533	907
213	74617	100	1090	968
214	74756	259	1206	554
215	75235	160	546	293
216	75494	239	441	292
217	75793	199	757	526
218	76012	319	704	521
219	76511	120	795	574
220	76949	199	867	622
221	77308	179	745	552
222	77507	180	798	574
223	77806	139	799	579
224	77965	598	798	567
225	78603	239	675	571
226	78882	159	629	300
227	79401	199	415	168
228	79800	140	1209	681
229	80059	100	1245	939
230	80258	279	1144	328
231	80597	299	510	719
232	80996	140	462	1019
233	81175	120	464	1013
234	81773	139	751	627
235	81933	259	608	632
236	82272	459	684	206
237	83707	100	783	495
238	83887	478	802	557
239	84405	259	796	550
240	84684	159	799	559
241	84883	100	641	414
242	85043	379	611	350
243	85442	159	608	353
244	86060	179	828	562
245	86279	797	809	554
246	87096	160	793	552
247	87455	339	645	488
248	87834	299	693	349
249	88313	120	1073	591
250	88612	160	967	241
251	88911	179	482	608
252	89150	180	938	798
253	89389	100	389	848
254	89529	279	1021	475
255	90187	319	795	562
256	90545	140	1340	443
257	90725	259	814	541
258	91004	439	812	546
259	91463	478	806	556
260	92120	818	483	471
261	92958	718	490	479
262	93755	618	499	477
263	94393	458	510	481
264	94892	100	806	575
265	95011	259	805	559
266	95350	199	565	433
267	95569	120	511	345
268	95729	279	1067	419
269	96068	199	836	236
270	96287	179	855	260
271	96487	179	1242	305
272	96726	259	1032	783
273	97105	180	646	806
274	97324	339	524	417
275	97703	100	695	476
276	98022	100	681	200
277	98201	239	736	518
278	98839	359	816	561
279	99278	439	810	561
280	99736	179	810	560
281	99956	180	783	549
282	100195	239	812	558
283	100554	199	790	552
284	100833	219	611	291
285	101291	120	1175	361
286	101531	239	1134	713
287	101830	219	897	548
288	102109	239	491	659
289	102388	160	550	238
290	103664	160	803	646
291	103844	379	810	637
292	104263	219	811	605
293	104582	180	806	567
294	104782	239	803	580
295	105080	179	467	453
296	105339	120	472	248
297	105598	179	531	666
298	105798	119	586	641
299	106156	100	1114	518
300	106276	239	825	325
301	106575	239	1096	811
302	106874	179	718	812
303	107193	159	587	306
304	107532	140	718	623
305	107851	140	792	558
306	108030	199	802	567
307	108249	120	798	547
308	108409	578	800	560
309	109047	538	791	560
310	109625	159	570	403
311	110004	140	898	487
312	110183	279	596	631
313	110722	120	1016	947
314	111081	160	1182	382
315	111320	159	881	257
316	111838	359	706	658
317	112257	120	810	1062
318	112675	159	1048	2112
319	113993	199	434	1134
320	114451	239	735	643
321	114750	180	846	422
322	115189	219	1152	642
323	115468	279	714	327
324	116067	100	511	736
325	116306	139	474	503
326	116545	259	512	563
327	116864	299	688	979
328	117203	100	1058	438
329	117423	179	1043	451
330	117682	239	727	600
331	118320	259	787	1106
332	118878	120	797	608
333	119157	139	859	607
334	119356	199	804	629
335	119815	120	822	637
336	120074	100	569	695
337	120194	140	564	703
338	120393	120	517	406
339	120812	199	1153	624
340	121051	120	1047	407
341	121190	159	1046	399
342	121609	219	494	831
343	121848	219	439	726
344	122088	140	430	771
345	122427	180	646	698
346	122626	119	630	693
347	123005	159	-2	900
348	123184	339	8	919
349	123543	279	29	985
350	123882	159	694	728
351	124062	159	766	677
352	124241	219	793	695
353	124500	159	457	736
354	124680	140	509	797
355	124859	279	1128	655
356	125278	140	581	333
357	125636	239	801	952
358	125896	199	802	954
359	126434	199	1271	1217
360	126653	160	1248	1197
361	126833	100	1247	1195
362	126992	180	817	604
363	127331	120	791	595
364	127491	359	792	564
365	127869	120	780	583
366	128009	179	705	595
367	128428	120	443	677
368	128806	219	505	209
369	129185	160	1143	559
370	129384	120	785	758
371	129684	199	717	508
372	129943	159	712	534
373	130720	160	837	585
374	130979	199	796	584
375	131199	159	785	548
376	131378	140	788	539
377	131657	200	781	577
378	131877	359	787	572
379	132275	259	598	529
380	132594	259	954	512
381	132913	279	643	832
382	133452	199	679	262
383	133830	239	381	597
384	134349	159	1209	584
385	134568	199	1218	867
386	134807	140	613	838
387	134987	160	698	534
388	135166	140	709	560
389	135326	139	709	549
390	136023	240	778	1183
391	136283	279	799	1243
392	137319	100	811	560
393	137459	100	813	562
394	137738	140	716	428
395	137977	199	1048	870
396	138296	180	459	881
397	138516	160	510	663
398	138755	219	494	404
399	139034	279	1179	439
400	139393	139	852	718
401	139752	100	752	986
402	140031	120	739	454
403	140170	180	745	470
404	140848	239	812	600
405	141247	359	804	581
406	141626	179	808	587
407	141825	120	818	605
408	141965	538	808	592
409	142543	140	660	571
410	142742	140	783	879
411	142902	159	766	909
412	143260	120	759	906
413	143400	120	760	919
414	143560	179	763	924
415	144118	240	795	569
416	144676	159	811	551
