Data properties:
 
Recording date: 01/06/2007
Recording time : 11:29:46:968 (corresponds to time 0)
Study: Alasdair
Subject: PS
Recording: ps2
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

281	ShowSlide	4	1	0	Image: fixcross.jpg
2368	ShowSlide	4	2	0	Image: RMS=1.2_beta=1.75_seed=50_TA.png
9830	Keyboard	3	68	0	d
9834	ShowSlide	4	3	0	Image: fixcross.jpg
11833	ShowSlide	4	4	0	Image: RMS=0.8_beta=1.55_seed=1_TP.png
14463	Keyboard	3	75	0	k
14465	ShowSlide	4	5	0	Image: fixcross.jpg
16463	ShowSlide	4	6	0	Image: RMS=0.8_beta=1.65_seed=22_TA.png
22658	Keyboard	3	68	0	d
22666	ShowSlide	4	7	0	Image: fixcross.jpg
24667	ShowSlide	4	8	0	Image: RMS=1.2_beta=1.6_seed=19_TA.png
30691	Keyboard	3	68	0	d
30701	ShowSlide	4	9	0	Image: fixcross.jpg
32755	ShowSlide	4	10	0	Image: RMS=0.8_beta=1.65_seed=24_TP.png
34445	Keyboard	3	75	0	k
34453	ShowSlide	4	11	0	Image: fixcross.jpg
36449	ShowSlide	4	12	0	Image: RMS=1_beta=1.55_seed=8_TP.png
42193	Keyboard	3	68	0	d
42194	ShowSlide	4	13	0	Image: fixcross.jpg
44195	ShowSlide	4	14	0	Image: RMS=1_beta=1.55_seed=6_TA.png
49803	Keyboard	3	68	0	d
49805	ShowSlide	4	15	0	Image: fixcross.jpg
51805	ShowSlide	4	16	0	Image: RMS=1.2_beta=1.65_seed=24_TP.png
53420	Keyboard	3	75	0	k
53422	ShowSlide	4	17	0	Image: fixcross.jpg
55425	ShowSlide	4	18	0	Image: RMS=0.8_beta=1.65_seed=29_TP.png
56515	Keyboard	3	75	0	k
56517	ShowSlide	4	19	0	Image: fixcross.jpg
58594	ShowSlide	4	20	0	Image: RMS=1.2_beta=1.65_seed=25_TA.png
64325	Keyboard	3	68	0	d
64333	ShowSlide	4	21	0	Image: fixcross.jpg
66329	ShowSlide	4	22	0	Image: RMS=1_beta=1.7_seed=39_TP.png
68567	Keyboard	3	75	0	k
68578	ShowSlide	4	23	0	Image: fixcross.jpg
70578	ShowSlide	4	24	0	Image: RMS=1_beta=1.65_seed=27_TA.png
76521	Keyboard	3	68	0	d
76532	ShowSlide	4	25	0	Image: fixcross.jpg
78529	ShowSlide	4	26	0	Image: RMS=1_beta=1.65_seed=24_TA.png
83349	Keyboard	3	68	0	d
83360	ShowSlide	4	27	0	Image: fixcross.jpg
85364	ShowSlide	4	28	0	Image: RMS=1.2_beta=1.75_seed=47_TA.png
90172	Keyboard	3	68	0	d
90198	ShowSlide	4	29	0	Image: fixcross.jpg
92306	ShowSlide	4	30	0	Image: RMS=0.8_beta=1.75_seed=41_TA.png
96702	Keyboard	3	68	0	d
96719	ShowSlide	4	31	0	Image: fixcross.jpg
98752	ShowSlide	4	32	0	Image: RMS=1.2_beta=1.65_seed=21_TP.png
102165	Keyboard	3	75	0	k
102167	ShowSlide	4	33	0	Image: fixcross.jpg
104164	ShowSlide	4	34	0	Image: RMS=0.8_beta=1.55_seed=3_TA.png
111157	Keyboard	3	68	0	d
111162	ShowSlide	4	35	0	Image: fixcross.jpg
113203	ShowSlide	4	36	0	Image: RMS=0.8_beta=1.7_seed=36_TP.png
114342	Keyboard	3	75	0	k
114375	ShowSlide	4	37	0	Image: fixcross.jpg
116375	ShowSlide	4	38	0	Image: RMS=0.8_beta=1.75_seed=44_TA.png
122295	Keyboard	3	68	0	d
122297	ShowSlide	4	39	0	Image: fixcross.jpg
124291	ShowSlide	4	40	0	Image: RMS=0.8_beta=1.7_seed=31_TA.png
134047	Keyboard	3	68	0	d
134058	ShowSlide	4	41	0	Image: fixcross.jpg
136062	ShowSlide	4	42	0	Image: RMS=0.8_beta=1.7_seed=32_TA.png
141621	Keyboard	3	68	0	d
141702	ShowSlide	4	43	0	Image: fixcross.jpg
143702	ShowSlide	4	44	0	Image: RMS=0.8_beta=1.65_seed=30_TA.png
150314	Keyboard	3	68	0	d
150325	ShowSlide	4	45	0	Image: fixcross.jpg
152329	ShowSlide	4	46	0	Image: RMS=1_beta=1.75_seed=50_TA.png
160036	Keyboard	3	68	0	d
160037	ShowSlide	4	47	0	Image: fixcross.jpg
162103	ShowSlide	4	48	0	Image: RMS=1.2_beta=1.65_seed=22_TA.png
169279	Keyboard	3	68	0	d
169286	ShowSlide	4	49	0	Image: fixcross.jpg
171282	ShowSlide	4	50	0	Image: RMS=1.2_beta=1.6_seed=19_TP.png
177567	Keyboard	3	75	0	k
177661	ShowSlide	4	51	0	Image: fixcross.jpg
179662	ShowSlide	4	52	0	Image: RMS=1.2_beta=1.6_seed=14_TP.png
189794	Keyboard	3	68	0	d
189897	ShowSlide	4	53	0	Image: fixcross.jpg
192024	ShowSlide	4	54	0	Image: RMS=1_beta=1.75_seed=45_TP.png
194894	Keyboard	3	75	0	k
194896	ShowSlide	4	55	0	Image: fixcross.jpg
196940	ShowSlide	4	56	0	Image: RMS=1.2_beta=1.55_seed=3_TA.png
204091	Keyboard	3	68	0	d
204099	ShowSlide	4	57	0	Image: fixcross.jpg
206097	ShowSlide	4	58	0	Image: RMS=1.2_beta=1.75_seed=44_TP.png
207517	Keyboard	3	75	0	k
207574	ShowSlide	4	59	0	Image: fixcross.jpg
209601	ShowSlide	4	60	0	Image: RMS=1_beta=1.65_seed=28_TA.png
214779	Keyboard	3	68	0	d
214785	ShowSlide	4	61	0	Image: fixcross.jpg
216783	ShowSlide	4	62	0	Image: RMS=1_beta=1.75_seed=45_TA.png
223608	Keyboard	3	68	0	d
223611	ShowSlide	4	63	0	Image: fixcross.jpg
225674	ShowSlide	4	64	0	Image: RMS=0.8_beta=1.75_seed=43_TP.png
226701	Keyboard	3	75	0	k
226702	ShowSlide	4	65	0	Image: fixcross.jpg
228706	ShowSlide	4	66	0	Image: RMS=1.2_beta=1.65_seed=29_TP.png
230686	Keyboard	3	75	0	k
230690	ShowSlide	4	67	0	Image: fixcross.jpg
232793	ShowSlide	4	68	0	Image: RMS=0.8_beta=1.75_seed=47_TP.png
233885	Keyboard	3	75	0	k
233991	ShowSlide	4	69	0	Image: fixcross.jpg
235985	ShowSlide	4	70	0	Image: RMS=0.8_beta=1.75_seed=48_TP.png
237223	Keyboard	3	75	0	k
237229	ShowSlide	4	71	0	Image: fixcross.jpg
239232	ShowSlide	4	72	0	Image: RMS=0.8_beta=1.65_seed=26_TP.png
241988	Keyboard	3	75	0	k
241999	ShowSlide	4	73	0	Image: fixcross.jpg
243996	ShowSlide	4	74	0	Image: RMS=0.8_beta=1.65_seed=27_TA.png
248207	Keyboard	3	68	0	d
248217	ShowSlide	4	75	0	Image: fixcross.jpg
250217	ShowSlide	4	76	0	Image: RMS=1.2_beta=1.65_seed=28_TP.png
251241	Keyboard	3	75	0	k
251254	ShowSlide	4	77	0	Image: fixcross.jpg
253250	ShowSlide	4	78	0	Image: RMS=1.2_beta=1.7_seed=36_TA.png
258669	Keyboard	3	68	0	d
258672	ShowSlide	4	79	0	Image: fixcross.jpg
260671	ShowSlide	4	80	0	Image: RMS=0.8_beta=1.7_seed=34_TA.png
265593	Keyboard	3	68	0	d
265600	ShowSlide	4	81	0	Image: fixcross.jpg
267704	ShowSlide	4	82	0	Image: RMS=1.2_beta=1.7_seed=40_TA.png
272601	Keyboard	3	68	0	d
272607	ShowSlide	4	83	0	Image: fixcross.jpg
274628	ShowSlide	4	84	0	Image: RMS=1_beta=1.7_seed=34_TP.png
275965	Keyboard	3	75	0	k
275966	ShowSlide	4	85	0	Image: fixcross.jpg
277964	ShowSlide	4	86	0	Image: RMS=1.2_beta=1.65_seed=26_TA.png
282724	Keyboard	3	68	0	d
282725	ShowSlide	4	87	0	Image: fixcross.jpg
284723	ShowSlide	4	88	0	Image: RMS=0.8_beta=1.6_seed=17_TP.png
285828	Keyboard	3	75	0	k
285838	ShowSlide	4	89	0	Image: fixcross.jpg
287844	ShowSlide	4	90	0	Image: RMS=1.2_beta=1.75_seed=42_TP.png
289808	Keyboard	3	75	0	k
289811	ShowSlide	4	91	0	Image: fixcross.jpg
291810	ShowSlide	4	92	0	Image: RMS=0.8_beta=1.7_seed=35_TP.png
293781	Keyboard	3	75	0	k
293787	ShowSlide	4	93	0	Image: fixcross.jpg
295852	ShowSlide	4	94	0	Image: RMS=1_beta=1.7_seed=37_TP.png
298260	Keyboard	3	68	0	d
298264	ShowSlide	4	95	0	Image: fixcross.jpg
300260	ShowSlide	4	96	0	Image: RMS=1.2_beta=1.75_seed=49_TA.png
309352	Keyboard	3	68	0	d
309361	ShowSlide	4	97	0	Image: fixcross.jpg
311374	ShowSlide	4	98	0	Image: RMS=1.2_beta=1.55_seed=6_TA.png
317246	Keyboard	3	68	0	d
317337	ShowSlide	4	99	0	Image: fixcross.jpg
319452	ShowSlide	4	100	0	Image: RMS=0.8_beta=1.55_seed=9_TA.png
323265	Keyboard	3	68	0	d
323273	ShowSlide	4	101	0	Image: fixcross.jpg
325367	ShowSlide	4	102	0	Image: RMS=0.8_beta=1.6_seed=14_TP.png
326758	Keyboard	3	75	0	k
326770	ShowSlide	4	103	0	Image: fixcross.jpg
328769	ShowSlide	4	104	0	Image: RMS=1_beta=1.75_seed=50_TP.png
330843	Keyboard	3	75	0	k
330854	ShowSlide	4	105	0	Image: fixcross.jpg
332851	ShowSlide	4	106	0	Image: RMS=0.8_beta=1.6_seed=11_TA.png
336151	Keyboard	3	68	0	d
336160	ShowSlide	4	107	0	Image: fixcross.jpg
338164	ShowSlide	4	108	0	Image: RMS=1_beta=1.6_seed=17_TP.png
339818	Keyboard	3	75	0	k
339820	ShowSlide	4	109	0	Image: fixcross.jpg
341828	ShowSlide	4	110	0	Image: RMS=1_beta=1.75_seed=46_TP.png
343182	Keyboard	3	75	0	k
343213	ShowSlide	4	111	0	Image: fixcross.jpg
345281	ShowSlide	4	112	0	Image: RMS=1_beta=1.65_seed=25_TP.png
347064	Keyboard	3	75	0	k
347168	ShowSlide	4	113	0	Image: fixcross.jpg
349166	ShowSlide	4	114	0	Image: RMS=1.2_beta=1.65_seed=30_TP.png
368534	Keyboard	3	75	0	k
368544	ShowSlide	4	115	0	Image: fixcross.jpg
370540	ShowSlide	4	116	0	Image: RMS=0.8_beta=1.6_seed=12_TP.png
371679	Keyboard	3	75	0	k
371683	ShowSlide	4	117	0	Image: fixcross.jpg
373680	ShowSlide	4	118	0	Image: RMS=1_beta=1.7_seed=36_TP.png
374818	Keyboard	3	75	0	k
374827	ShowSlide	4	119	0	Image: fixcross.jpg
376823	ShowSlide	4	120	0	Image: RMS=1.2_beta=1.6_seed=13_TA.png
382816	Keyboard	3	68	0	d
382822	ShowSlide	4	121	0	Image: fixcross.jpg
384827	ShowSlide	4	122	0	Image: RMS=0.8_beta=1.6_seed=13_TP.png
386576	Keyboard	3	75	0	k
386585	ShowSlide	4	123	0	Image: fixcross.jpg
388580	ShowSlide	4	124	0	Image: RMS=1_beta=1.65_seed=24_TP.png
390534	Keyboard	3	75	0	k
390545	ShowSlide	4	125	0	Image: fixcross.jpg
392542	ShowSlide	4	126	0	Image: RMS=1_beta=1.7_seed=32_TP.png
393863	Keyboard	3	75	0	k
393872	ShowSlide	4	127	0	Image: fixcross.jpg
395869	ShowSlide	4	128	0	Image: RMS=0.8_beta=1.55_seed=2_TA.png
403036	Keyboard	3	68	0	d
403046	ShowSlide	4	129	0	Image: fixcross.jpg
405135	ShowSlide	4	130	0	Image: RMS=1.2_beta=1.75_seed=42_TA.png
410720	Keyboard	3	68	0	d
410721	ShowSlide	4	131	0	Image: fixcross.jpg
412723	ShowSlide	4	132	0	Image: RMS=0.8_beta=1.75_seed=48_TA.png
419102	Keyboard	3	68	0	d
419108	ShowSlide	4	133	0	Image: fixcross.jpg
421123	ShowSlide	4	134	0	Image: RMS=1.2_beta=1.65_seed=29_TA.png
426886	Keyboard	3	68	0	d
426888	ShowSlide	4	135	0	Image: fixcross.jpg
428919	ShowSlide	4	136	0	Image: RMS=1_beta=1.7_seed=33_TA.png
437643	Keyboard	3	68	0	d
437647	ShowSlide	4	137	0	Image: fixcross.jpg
439670	ShowSlide	4	138	0	Image: RMS=1_beta=1.7_seed=35_TP.png
441297	Keyboard	3	75	0	k
441299	ShowSlide	4	139	0	Image: fixcross.jpg
443402	ShowSlide	4	140	0	Image: RMS=1_beta=1.75_seed=48_TP.png
444676	Keyboard	3	75	0	k
