Data properties:
 
Recording date: 01/06/2007
Recording time : 11:40:50:218 (corresponds to time 0)
Study: Alasdair
Subject: PS
Recording: ps3
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 30
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	230	140	809	646
2	449	120	1257	2265
3	2702	279	720	536
4	3001	279	789	611
5	3320	339	889	389
6	3719	259	704	1027
7	4197	199	1170	638
8	4436	159	1171	417
9	4656	399	464	249
10	5114	299	1014	253
11	5553	379	415	828
12	5951	239	398	991
13	6330	817	707	455
14	7188	379	839	502
15	7586	359	763	474
16	8005	159	1254	705
17	8224	159	1476	1160
18	8444	279	770	573
19	8763	160	622	459
20	9002	199	609	242
21	9281	239	1139	433
22	9600	219	523	882
23	9839	160	418	1005
24	10098	219	463	448
25	10358	299	608	229
26	10696	160	691	141
27	10976	279	1163	253
28	11295	319	1128	108
29	11673	419	538	246
30	12132	678	765	542
31	12850	877	659	375
32	13787	259	968	554
33	14086	319	626	363
34	14445	558	651	242
35	15043	518	852	906
36	15581	259	857	894
37	15880	100	819	546
38	16000	439	820	511
39	16458	399	774	438
40	16957	698	687	356
41	17674	279	670	290
42	17993	299	628	231
43	18372	219	387	659
44	18611	139	444	604
45	18831	199	857	966
46	19070	180	1042	912
47	19469	239	1091	293
48	19788	179	1199	223
49	20007	239	905	185
50	20406	439	470	247
51	20964	180	467	919
52	21163	319	396	1044
53	21562	718	743	374
54	22320	498	650	362
55	22858	339	785	463
56	23317	279	679	404
57	23636	219	566	301
58	23895	140	732	196
59	24094	159	1141	405
60	24393	359	851	771
61	24812	279	567	889
62	25131	299	400	817
63	25470	120	696	676
64	25629	199	443	750
65	25888	339	1022	940
66	26307	259	922	190
67	26706	538	428	212
68	27324	199	555	164
69	27683	817	978	133
70	28560	1854	750	588
71	30474	100	658	327
72	30633	140	478	787
73	30793	1515	464	754
74	32328	1535	480	755
75	33983	3011	546	830
76	37053	199	523	825
77	37292	139	604	660
78	37452	439	578	749
79	37970	219	786	225
80	38329	199	1122	906
81	38648	279	483	994
82	39027	179	993	301
83	39226	239	1168	190
84	39585	339	456	199
85	41080	359	973	279
86	41479	359	1006	166
87	41878	658	778	550
88	42576	379	692	407
89	43014	379	943	621
90	43433	399	833	593
91	43871	279	718	405
92	44190	159	613	282
93	44390	199	434	751
94	44709	159	792	964
95	44908	140	1160	946
96	45167	279	1206	203
97	45466	219	1237	186
98	45726	339	937	158
99	46124	159	693	473
100	47261	459	734	398
101	47779	120	668	681
102	47978	279	1008	845
103	48297	160	1040	693
104	48616	339	524	227
105	49015	439	818	556
106	49573	120	671	518
107	49713	299	817	497
108	50032	359	743	449
109	50411	219	876	484
110	50670	598	743	498
111	51288	180	945	615
112	51487	319	1004	826
113	51866	160	1089	361
114	52065	199	1177	237
115	52344	140	503	608
116	52524	219	441	985
117	52823	239	549	208
118	53102	399	662	88
119	53541	239	758	91
120	53820	239	1272	505
121	54159	379	1237	912
122	54577	518	1115	719
123	55136	817	846	500
124	55993	857	710	423
125	56930	279	813	354
126	57249	259	677	428
127	57548	199	731	794
128	57787	259	956	843
129	58106	100	1139	819
130	58266	159	1187	577
131	58485	159	1220	249
132	58704	359	792	130
133	59123	180	465	717
134	59342	199	349	969
135	59641	120	435	289
136	59841	538	508	181
137	60479	179	829	522
138	60678	259	831	506
139	60977	658	683	424
140	61655	279	638	368
141	61974	459	782	372
142	62472	259	568	373
143	62791	179	997	182
144	62991	179	1200	191
145	63270	219	622	909
146	63509	120	622	902
147	63669	159	528	1016
148	63868	180	704	1017
149	64107	459	1118	475
150	64626	479	528	144
151	65224	179	1002	519
152	65463	199	1502	1053
153	65702	199	1343	1144
154	65981	219	833	585
155	66241	498	725	481
156	66779	299	1016	548
157	67118	279	729	374
158	67417	139	670	155
159	67616	199	995	707
160	67835	259	945	687
161	68115	179	992	673
162	68414	199	727	996
163	68653	259	1003	990
164	69032	279	1035	189
165	69351	239	1194	150
166	69709	159	555	146
167	69889	160	555	154
168	70088	558	423	335
169	70706	1216	924	434
170	71962	538	660	492
171	72521	399	688	373
172	72959	239	630	771
173	73318	179	1000	894
174	73537	120	1023	807
175	73697	179	1231	701
176	74076	319	1138	131
177	74415	239	1006	165
178	74694	160	813	136
179	75172	199	807	117
180	75392	379	746	89
181	75790	239	730	84
182	76129	578	829	435
183	76747	359	753	301
184	77146	419	762	224
185	77744	439	719	212
186	78203	160	717	184
187	78402	239	792	94
188	78681	359	1010	129
189	79120	199	860	703
190	79339	279	795	955
191	79638	319	765	1010
192	80037	219	420	888
193	80296	199	406	762
194	80535	160	491	585
195	80735	120	698	363
196	80934	279	921	88
197	81253	120	1130	175
198	81412	159	1204	603
199	81612	339	1144	890
200	81991	339	1165	728
201	82389	100	754	457
202	82589	120	758	408
203	82968	1415	742	351
204	84403	279	717	256
205	84702	219	624	309
206	84981	239	551	855
207	85300	219	1021	974
208	85559	140	1170	851
209	85759	219	1167	533
210	86018	219	1227	229
211	86337	319	1278	166
212	86795	439	527	156
213	87314	279	641	657
214	87633	279	828	661
215	87952	299	978	597
216	88291	239	1075	508
217	88570	179	992	413
218	88789	319	943	273
219	89128	578	966	188
220	89726	339	850	214
221	90105	538	688	267
222	90743	957	752	423
223	91919	658	765	431
224	92597	179	636	446
225	92856	159	497	830
226	93135	159	943	1009
227	93335	239	1044	857
228	93614	180	1093	726
229	93833	259	1167	565
230	94132	179	1219	403
231	94351	199	1079	244
