Data properties:
 
Recording date: 9/10/2008
Recording time : 14:59:50:358 (corresponds to time 0)
Study: Alasdair SD
Subject: AlasdairClarke
Recording: AC12
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Data: 
  
Timestamp	Number	GazepointX (L)	GazepointY (L)	CamX (L)	CamY (L)	Distance (L)	Pupil (L)	Validity (L)	GazepointX (R)	GazepointY (R)	CamX (R)	CamY (R)	Distance (R)	Pupil (R)	Validity (R)
  
17	1	-1600	-1200	0.710	0.442	-1.000	-1.000	4	-1600	-1200	0.390	0.426	-1.000	-1.000	4
37	2	-1600	-1200	-1.000	-1.000	-1.000	-1.000	4	-1600	-1200	-1.000	-1.000	-1.000	-1.000	4
57	3	-1600	-1200	0.710	0.446	-1.000	-1.000	4	-1600	-1200	0.390	0.431	-1.000	-1.000	4
77	4	868	666	0.710	0.448	560.211	4.750	0	816	756	0.390	0.433	559.227	4.391	0
97	5	901	667	0.710	0.450	560.498	4.804	0	810	767	0.390	0.435	559.283	4.375	0
117	6	907	723	0.710	0.452	560.246	4.772	0	831	681	0.390	0.437	559.759	4.333	0
137	7	888	664	0.709	0.454	560.499	4.852	0	813	782	0.389	0.440	559.873	4.444	0
157	8	869	673	0.708	0.456	560.816	4.776	0	816	657	0.387	0.443	560.195	4.384	0
176	9	874	629	0.706	0.457	561.019	4.857	0	801	653	0.386	0.445	559.878	4.228	0
196	10	878	651	0.705	0.456	560.793	4.920	0	911	704	0.385	0.445	559.570	4.482	0
216	11	894	672	0.705	0.455	560.914	4.792	0	904	628	0.385	0.445	559.567	4.512	0
236	12	859	671	0.706	0.453	561.308	4.813	0	866	620	0.385	0.443	560.098	4.533	0
256	13	833	650	0.707	0.451	561.983	4.759	0	818	622	0.386	0.441	559.698	4.519	0
276	14	786	633	0.708	0.450	561.312	4.891	0	823	632	0.387	0.440	558.998	4.481	0
296	15	838	596	0.708	0.449	561.072	4.728	0	828	567	0.388	0.439	558.786	4.569	0
316	16	796	609	0.709	0.448	561.014	4.799	0	804	571	0.388	0.438	558.251	4.478	0
336	17	792	640	0.709	0.447	561.340	4.739	0	808	619	0.389	0.437	557.977	4.374	0
356	18	848	597	0.710	0.447	561.335	4.679	0	816	671	0.389	0.435	557.954	4.369	0
376	19	802	621	0.710	0.446	560.640	4.665	0	792	581	0.389	0.434	557.643	4.378	0
396	20	778	611	0.710	0.446	559.647	4.571	0	729	624	0.390	0.433	557.400	4.183	0
416	21	791	590	0.710	0.446	559.369	4.662	0	752	635	0.389	0.433	557.529	4.163	0
436	22	820	593	0.709	0.447	559.456	4.462	0	765	657	0.389	0.434	557.541	4.142	0
456	23	783	594	0.709	0.449	559.464	4.584	0	775	638	0.389	0.435	557.626	4.119	0
476	24	805	580	0.709	0.450	559.473	4.457	0	769	582	0.388	0.436	557.691	4.241	0
495	25	772	609	0.708	0.450	559.364	4.628	0	768	641	0.388	0.437	557.693	4.204	0
515	26	798	624	0.708	0.450	559.281	4.619	0	781	600	0.388	0.437	558.207	4.218	0
535	27	808	666	0.709	0.450	559.013	4.466	0	786	616	0.388	0.437	558.613	4.167	0
555	28	830	562	0.709	0.451	559.579	4.533	0	737	627	0.388	0.437	559.891	4.147	0
575	29	799	564	0.709	0.452	559.006	4.510	0	804	555	0.389	0.437	559.859	4.230	0
595	30	798	604	0.709	0.452	558.307	4.623	0	774	632	0.389	0.438	558.830	4.233	0
