Data properties:
 
Recording date: 9/11/2008
Recording time : 10:45:54:089 (corresponds to time 0)
Study: Alasdair SD
Subject: AlasdairClarke
Recording: AC14
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 30
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	495	100	811	607
2	1870	100	811	609
3	2169	100	810	641
4	2409	219	815	641
5	2748	179	817	612
6	3665	100	809	636
7	5001	259	776	547
8	5300	100	785	533
9	5419	100	779	517
10	5579	359	755	530
11	6037	159	742	540
12	6376	100	779	554
13	8430	160	791	627
14	10104	100	795	599
15	10224	100	800	620
16	12377	100	798	620
17	12876	179	823	576
18	13354	100	803	600
19	13733	100	800	611
20	14610	100	777	637
21	15188	100	795	622
22	16743	100	808	602
23	17142	120	800	615
24	17940	140	812	603
25	18119	100	801	615
26	18239	139	807	600
27	19216	120	801	572
28	19375	100	797	570
29	19595	139	800	568
30	19953	120	791	616
31	20591	180	800	590
32	21130	140	804	590
33	21389	160	807	595
34	22465	100	804	594
35	22904	219	811	643
36	23462	100	809	615
37	23582	100	794	588
38	23761	140	788	576
39	25177	140	801	596
40	26074	100	741	660
41	32932	100	823	599
42	33670	100	749	575
43	35086	120	752	579
44	35325	120	757	590
45	38016	100	770	631
46	38236	120	749	628
47	38595	100	749	598
48	39791	100	735	578
49	40429	100	758	587
50	44177	100	760	551
51	46011	100	777	598
52	46629	159	786	600
53	47407	120	809	571
54	47945	100	774	525
55	48224	100	685	546
56	48962	100	765	551
57	49620	100	808	600
58	49759	139	784	605
59	50816	100	797	580
60	52929	100	815	577
61	53767	199	780	634
62	54524	160	809	623
63	55342	160	831	612
64	56777	159	821	632
65	60027	140	777	561
66	60246	140	784	552
67	61801	239	804	604
68	63057	219	780	571
69	66247	120	780	586
70	66387	119	776	597
71	66806	279	766	599
72	67623	100	821	610
73	70793	100	832	562
74	72946	140	774	605
75	73345	100	785	590
76	74023	159	776	583
77	76993	100	736	582
78	78469	179	759	573
79	79665	120	772	626
80	81659	159	743	608
81	82616	199	742	604
82	82895	100	756	606
83	83732	100	883	658
84	84589	100	758	572
85	85925	100	768	597
86	87440	100	781	610
87	88278	139	731	576
88	88677	179	748	561
89	91209	100	774	593
90	92425	100	791	586
91	93481	100	788	577
92	94757	179	682	610
93	98745	140	789	587
94	99821	100	794	586
95	100160	100	784	540
96	100838	100	760	567
97	101097	259	765	553
98	101835	100	771	543
99	102493	100	738	567
100	104128	100	758	577
101	104367	140	764	559
102	104547	100	760	567
103	104706	159	768	585
104	104886	100	771	590
105	105025	100	773	605
106	105324	100	764	576
107	106760	100	769	582
108	107737	100	745	588
109	107916	100	764	596
110	108434	160	780	598
111	112721	100	718	566
112	113399	120	759	534
113	114954	100	723	564
114	115253	120	706	575
115	115970	179	711	590
116	116170	100	693	571
117	116289	100	712	577
118	116888	100	803	537
119	120855	100	695	579
120	121214	120	779	556
121	146115	140	790	722
122	147690	219	795	690
123	148308	140	799	674
124	148827	140	807	632
125	149246	139	793	623
126	150900	140	789	615
127	151558	259	792	613
128	151837	100	793	621
129	151997	179	784	607
130	152416	239	794	606
131	155007	120	791	622
132	155227	100	792	638
133	155825	120	797	637
134	158038	120	813	611
135	161228	259	811	617
136	161826	120	809	635
137	162025	120	819	631
138	163082	100	1584	1074
139	163820	120	802	558
140	164079	159	799	567
141	165415	140	791	545
142	166352	120	794	556
143	167648	100	806	600
144	168365	140	805	594
145	168904	120	863	596
146	169542	100	805	578
147	170259	100	787	570
148	171436	120	1244	681
149	172452	120	800	599
150	172751	100	789	600
151	172931	100	759	547
152	173429	160	767	570
153	174745	140	828	624
154	174905	100	832	626
155	175164	139	816	629
156	175602	100	801	627
157	176579	100	796	569
158	176799	100	787	593
159	177317	120	805	592
160	178573	120	807	577
161	178872	100	777	577
162	178992	100	795	567
163	179211	120	800	603
164	179351	120	793	595
165	179889	100	787	587
166	180826	160	802	542
167	181623	100	877	613
168	182202	239	783	556
169	182660	120	787	557
170	182820	100	794	555
171	184654	100	813	595
172	184774	100	794	578
173	184893	119	783	588
174	185272	120	799	566
175	186010	139	809	579
176	186349	100	821	610
177	189140	100	836	609
178	189618	139	820	605
179	191592	100	781	583
180	194204	100	1376	645
181	197454	100	760	550
182	198709	120	802	569
183	199168	100	815	550
184	199507	119	838	591
185	207562	100	815	647
186	208598	199	606	667
187	209276	120	782	644
188	209854	100	871	685
189	210791	100	797	576
190	210951	180	808	609
191	211230	160	813	580
192	211489	239	802	593
193	214879	100	739	549
194	215038	120	736	524
195	215257	139	797	571
196	216234	100	795	579
197	216434	219	800	566
198	217331	120	796	588
199	217769	100	802	575
200	217889	159	799	558
201	218926	140	765	557
202	221139	160	799	598
203	221458	179	818	582
204	222455	100	1194	577
205	222614	100	848	610
206	222933	120	808	604
207	223093	100	812	611
208	223531	120	802	590
209	224588	119	801	572
210	225705	159	797	568
211	227539	180	862	561
212	228216	100	769	550
213	228655	120	771	518
214	228795	180	791	525
215	229552	120	778	555
216	229772	140	734	548
217	230908	100	745	584
218	232762	100	804	610
219	233061	160	805	587
220	234098	100	806	583
221	234517	179	788	598
222	235354	120	799	615
223	236431	100	798	608
224	236770	120	801	570
225	236929	120	809	568
226	238085	100	810	581
227	238364	120	804	583
228	238504	100	812	577
229	238624	120	820	595
230	238963	100	795	575
231	239521	120	801	582
232	240338	140	797	553
233	240637	160	780	569
234	240837	199	788	558
235	241056	120	777	560
236	241475	159	782	566
237	242472	100	792	530
238	243149	139	780	532
239	243648	100	767	538
240	243767	120	809	530
241	243927	100	843	542
242	244047	140	818	553
243	244286	140	769	565
244	244465	100	745	561
245	244585	140	750	554
246	244784	140	769	576
247	248353	160	791	610
248	250107	100	813	575
249	250546	120	809	580
250	250706	139	809	574
251	251084	120	801	582
252	251463	120	810	592
253	251623	199	811	582
254	251982	140	803	545
255	252181	120	825	558
256	252540	100	815	563
257	252699	219	806	560
258	253178	120	818	602
259	253616	179	822	606
260	254633	100	813	608
261	254773	120	816	608
262	255351	120	835	600
263	256128	299	809	578
264	257125	159	803	612
265	258481	100	811	576
266	258800	120	799	556
267	260535	139	787	569
268	262468	100	815	580
269	262787	100	800	578
270	264582	100	782	580
271	264722	159	785	582
272	265000	140	793	568
273	265379	199	789	570
274	266237	180	791	584
275	267034	199	784	568
276	267353	140	782	557
277	267752	120	787	600
278	268390	159	804	576
279	268948	139	801	592
280	269307	139	785	590
281	269805	100	811	596
282	270144	100	799	573
283	270264	100	800	581
284	270902	100	790	582
285	271719	100	775	607
286	272656	140	789	537
287	272995	259	767	559
288	273753	140	762	557
289	274650	140	789	553
290	274830	100	803	560
291	275129	100	780	598
292	275507	100	789	590
293	276106	199	773	587
294	276405	120	775	562
295	276883	160	780	576
296	277342	140	796	567
297	277720	120	786	569
298	278139	140	781	549
299	279116	179	806	581
300	280412	100	1054	648
301	280711	100	807	586
302	281508	140	827	624
303	281768	279	807	612
304	282266	120	809	607
305	282844	100	764	537
306	283781	140	799	578
307	284100	140	793	587
308	285097	120	765	577
309	287031	160	845	604
310	287749	100	889	624
311	288187	120	765	586
312	289025	100	878	559
313	289802	180	827	571
314	291138	120	802	613
315	293231	100	727	555
316	293750	139	735	569
317	294029	120	792	586
318	309261	100	810	619
319	309380	140	817	637
320	311334	139	896	608
321	312451	120	849	600
322	312969	100	830	597
323	313308	100	822	591
324	313448	139	822	603
325	314245	140	837	602
326	314644	120	833	592
327	314883	100	864	596
328	316438	180	804	595
329	319529	100	822	612
330	320585	120	840	605
331	320725	140	843	630
332	321682	120	844	596
333	321921	159	851	592
334	323277	120	844	569
335	325530	159	845	592
336	325809	100	848	600
337	326347	120	840	601
338	326826	120	814	586
339	326965	100	828	610
340	327224	120	842	577
341	327384	120	832	580
342	328161	100	808	572
343	328999	100	762	584
344	329358	120	762	611
345	330773	140	790	590
346	331451	120	797	598
347	331770	120	795	620
348	332468	100	790	584
349	332747	219	793	584
350	333305	100	823	540
351	335438	120	810	613
352	335897	100	796	628
353	336017	120	794	608
354	337412	100	800	642
355	340124	100	822	599
356	340682	180	827	599
357	340881	139	824	578
358	341081	139	827	543
359	344709	179	808	578
360	345786	100	838	610
361	349753	160	825	602
362	351986	140	853	588
363	353721	120	762	581
364	354897	159	818	554
365	355794	100	830	613
366	356891	100	749	605
367	358964	100	755	591
368	359283	100	733	619
369	359403	100	725	604
370	359901	100	750	602
371	362732	120	826	589
372	363111	100	808	573
373	363889	140	817	541
374	364267	100	835	555
375	366281	100	820	577
376	366401	120	808	581
377	367836	180	819	605
378	368773	159	823	593
379	369192	159	820	581
380	369710	160	808	609
381	370767	139	802	630
382	371026	140	797	570
383	371505	139	802	574
384	371744	140	810	581
385	371923	100	788	581
386	372920	100	838	571
387	373239	100	871	652
388	374834	100	768	607
389	375951	120	846	610
390	376150	159	806	580
391	377147	100	1423	1170
392	378044	100	803	552
393	378921	100	709	435
394	379739	100	820	561
395	381912	100	803	553
396	382031	159	795	576
397	382829	120	977	608
398	383766	140	788	575
399	383945	199	776	588
400	385341	100	771	539
401	385839	120	791	586
402	386198	140	786	585
403	387753	140	901	500
404	388810	139	760	568
405	389707	120	764	582
406	389907	100	774	563
407	390704	140	766	588
408	391980	100	775	578
409	392957	100	728	628
410	393256	100	744	628
411	393715	140	760	595
412	393914	120	773	599
413	396087	180	771	586
414	398799	100	751	574
415	399217	139	758	583
416	404281	100	847	622
417	404640	100	847	634
418	407850	100	798	687
419	412555	120	881	530
420	412834	200	897	553
