Data properties:
 
Recording date: 9/8/2008
Recording time : 14:18:21:200 (corresponds to time 0)
Study: Alasdair SD
Subject: AlasdairClarke
Recording: AC2
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Timestamp	Found	GazepointX	GazepointY
 
11	None	-1600	-1200
30	None	-1600	-1200
51	None	-1600	-1200
70	Both	882	468
91	Both	892	453
110	Both	886	508
130	Both	889	478
150	Both	900	468
170	Both	887	469
190	Both	881	523
210	Both	896	479
230	Both	901	501
249	Both	880	487
269	Both	883	545
289	Both	889	556
309	RightOnly	867	751
329	None	-1600	-1200
349	None	-1600	-1200
369	RightOnly	905	530
389	Both	854	557
409	Both	849	531
429	Both	841	554
449	Both	832	575
469	RightOnly	915	631
489	None	-1600	-1200
509	None	-1600	-1200
529	None	-1600	-1200
548	RightOnly	829	594
568	Both	832	499
588	Both	832	553
608	Both	829	534
628	Both	796	528
648	Both	825	544
668	Both	823	557
688	Both	836	560
708	LeftOnly	789	606
728	Both	817	556
748	Both	810	576
768	Both	822	561
788	Both	823	563
808	Both	827	573
828	Both	829	581
848	Both	828	531
868	Both	821	572
887	Both	808	598
907	Both	833	567
927	Both	817	590
947	Both	826	597
967	Both	792	544
987	Both	833	568
1007	Both	809	575
1027	Both	798	581
1047	Both	822	575
1067	Both	799	562
1087	Both	802	548
1107	Both	791	616
1127	Both	815	592
1147	Both	797	588
1167	Both	796	558
1187	Both	787	550
1206	Both	814	576
1226	Both	801	555
1246	Both	822	570
1266	Both	810	554
1286	Both	798	567
1306	LeftOnly	788	563
1326	Both	830	447
1346	Both	815	501
1366	Both	828	522
1386	Both	842	498
1406	Both	828	520
1426	Both	828	505
1446	Both	828	463
1466	Both	819	486
1486	Both	817	515
1506	Both	815	499
1525	Both	815	559
1545	Both	827	531
1565	Both	810	512
1585	Both	791	604
1605	Both	802	585
1625	Both	800	579
1645	Both	800	568
1665	Both	781	559
1685	Both	796	583
1705	Both	816	537
1725	Both	804	565
1745	Both	810	579
1765	Both	821	585
1785	Both	795	609
1805	Both	819	563
1825	Both	806	614
1844	Both	810	584
1864	Both	814	566
1884	Both	805	571
1904	Both	802	561
1924	Both	799	577
1944	Both	798	548
1964	Both	803	521
1984	Both	785	540
2004	Both	787	624
2024	Both	788	570
2044	Both	805	619
2064	Both	818	586
2084	Both	813	598
2104	Both	791	564
2124	Both	820	555
2144	Both	803	542
2163	Both	809	555
2183	Both	817	612
2203	Both	796	594
2223	Both	805	639
2243	Both	819	602
2263	Both	778	570
2283	Both	833	584
2303	Both	811	588
2323	Both	797	540
2343	Both	734	640
2363	Both	749	625
2383	Both	754	649
2403	Both	746	623
2423	Both	728	640
2443	Both	729	641
2462	Both	743	619
2482	Both	731	623
2502	Both	748	617
2522	Both	726	680
2542	Both	760	614
2562	Both	753	636
2582	Both	744	653
2602	Both	748	626
2622	Both	751	659
2642	Both	748	649
2662	Both	731	646
2682	Both	717	634
2702	Both	748	648
2722	Both	735	658
2742	Both	752	648
2762	Both	749	677
2781	Both	758	668
2801	Both	729	665
2821	Both	738	643
2841	Both	770	655
2861	Both	816	609
2881	Both	818	627
2901	Both	826	603
2921	Both	824	599
2941	Both	820	595
2961	Both	808	615
2981	Both	801	604
3001	Both	814	616
3021	Both	796	607
3041	Both	783	585
3061	Both	804	610
3081	Both	819	590
3100	Both	806	619
3120	Both	715	545
3140	None	-1600	-1200
3160	None	-1600	-1200
3180	None	-1600	-1200
3200	RightOnly	813	663
3220	Both	839	483
3240	Both	808	581
3260	Both	805	537
3280	Both	798	553
3300	Both	806	538
3320	Both	799	612
3340	Both	801	551
3360	Both	811	550
3380	Both	793	575
3400	Both	811	569
3419	Both	816	551
3439	Both	794	571
3459	Both	782	560
3479	Both	812	566
3499	Both	824	572
3519	Both	807	547
3539	Both	798	560
3559	Both	812	551
3579	Both	818	551
3599	Both	809	589
3619	Both	820	620
3639	Both	831	583
3659	Both	797	584
3679	Both	809	601
3699	Both	812	592
3719	Both	813	593
3738	Both	803	613
3758	Both	824	599
3778	Both	815	602
3798	Both	817	606
3818	Both	804	634
3838	Both	805	591
3858	Both	809	595
3878	Both	784	592
3898	Both	803	609
3918	Both	784	600
3938	Both	806	621
3958	Both	819	618
3978	Both	814	614
3998	Both	824	595
4018	Both	810	595
4038	Both	793	623
4057	Both	798	569
4077	Both	805	597
4097	Both	802	595
4117	Both	807	583
4137	Both	815	604
4157	Both	804	606
4177	Both	787	623
4197	Both	812	637
4217	Both	825	589
4237	Both	789	614
4257	Both	803	602
4277	Both	792	603
4297	Both	808	572
4317	Both	802	597
4337	Both	815	602
4356	Both	793	579
4376	Both	830	567
4396	Both	804	610
4416	Both	810	570
4436	Both	820	581
4456	Both	800	590
4476	Both	811	550
4496	Both	806	630
4516	Both	805	578
4536	Both	808	572
4556	Both	806	602
4576	Both	816	594
4596	Both	797	621
4616	Both	805	616
4636	Both	803	576
4656	Both	811	569
4676	Both	799	569
4695	Both	788	547
4715	Both	787	598
4735	Both	800	561
4755	Both	799	580
4775	Both	807	571
4795	Both	795	570
4815	Both	819	572
4835	Both	816	562
4855	Both	804	588
4875	Both	790	594
4895	Both	810	607
4915	Both	807	533
4935	Both	811	609
4955	Both	803	593
4975	Both	800	553
4995	Both	822	598
5014	Both	808	608
5034	Both	817	556
5054	Both	818	566
5074	Both	822	580
5094	Both	812	583
5114	Both	813	619
5134	Both	804	602
5154	Both	798	599
5174	Both	792	604
5194	Both	811	597
5214	Both	804	589
5234	Both	802	570
5254	Both	801	631
5274	Both	832	575
5294	Both	810	580
5313	Both	792	607
5333	Both	820	613
