Data properties:
 
Recording date: 9/9/2008
Recording time : 9:53:22:748 (corresponds to time 0)
Study: Alasdair SD
Subject: AlasdairClarke
Recording: AC7
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

33	ShowSlide	4	1	0	Image: fixcross.jpg
2034	ShowSlide	4	2	0	Image: _beta=1.65_r=350_phi=270_seed=11.png
2235	ShowSlide	4	3	0	Image: mask.jpg
2736	ShowSlide	4	4	0	Blank image
2965	Keyboard	3	37	0	Left
2972	ShowSlide	4	5	0	Image: fixcross.jpg
4973	ShowSlide	4	6	0	Image: _beta=1.6_r=350_phi=180_seed=7.png
5174	ShowSlide	4	7	0	Image: mask.jpg
5674	ShowSlide	4	8	0	Blank image
6116	Keyboard	3	39	0	Right
6125	ShowSlide	4	9	0	Image: fixcross.jpg
8126	ShowSlide	4	10	0	Image: _beta=1.6_r=TA_seed=3.png
8327	ShowSlide	4	11	0	Image: mask.jpg
8827	ShowSlide	4	12	0	Blank image
9236	Keyboard	3	39	0	Right
9247	ShowSlide	4	13	0	Image: fixcross.jpg
11247	ShowSlide	4	14	0	Image: _beta=1.65_r=TA_seed=16.png
11449	ShowSlide	4	15	0	Image: mask.jpg
11950	ShowSlide	4	16	0	Blank image
12388	Keyboard	3	39	0	Right
12390	ShowSlide	4	17	0	Blank image
13572	Keyboard	3	13	0	
13583	ShowSlide	4	18	0	Image: fixcross.jpg
15584	ShowSlide	4	19	0	Image: _beta=1.6_r=100_phi=225_seed=3.png
15785	ShowSlide	4	20	0	Image: mask.jpg
16285	ShowSlide	4	21	0	Blank image
16804	Keyboard	3	39	0	Right
16811	ShowSlide	4	22	0	Image: fixcross.jpg
18811	ShowSlide	4	23	0	Image: _beta=1.7_r=200_phi=45_seed=24.png
19012	ShowSlide	4	24	0	Image: mask.jpg
19512	ShowSlide	4	25	0	Blank image
19972	Keyboard	3	37	0	Left
19974	ShowSlide	4	26	0	Image: fixcross.jpg
21975	ShowSlide	4	27	0	Image: _beta=1.7_r=350_phi=90_seed=30.png
22176	ShowSlide	4	28	0	Image: mask.jpg
22676	ShowSlide	4	29	0	Blank image
23652	Keyboard	3	37	0	Left
23654	ShowSlide	4	30	0	Image: fixcross.jpg
25654	ShowSlide	4	31	0	Image: _beta=1.6_r=200_phi=225_seed=3.png
25855	ShowSlide	4	32	0	Image: mask.jpg
26356	ShowSlide	4	33	0	Blank image
26980	Keyboard	3	39	0	Right
26989	ShowSlide	4	34	0	Blank image
28212	Keyboard	3	13	0	
28214	ShowSlide	4	35	0	Image: fixcross.jpg
30216	ShowSlide	4	36	0	Image: _beta=1.7_r=TA_seed=27.png
30417	ShowSlide	4	37	0	Image: mask.jpg
30918	ShowSlide	4	38	0	Blank image
32564	Keyboard	3	39	0	Right
32572	ShowSlide	4	39	0	Image: fixcross.jpg
34572	ShowSlide	4	40	0	Image: _beta=1.7_r=250_phi=225_seed=29.png
34774	ShowSlide	4	41	0	Image: mask.jpg
35275	ShowSlide	4	42	0	Blank image
36564	Keyboard	3	39	0	Right
36575	ShowSlide	4	43	0	Image: fixcross.jpg
38575	ShowSlide	4	44	0	Image: _beta=1.65_r=300_phi=0_seed=20.png
38777	ShowSlide	4	45	0	Image: mask.jpg
39278	ShowSlide	4	46	0	Blank image
39748	Keyboard	3	39	0	Right
39750	ShowSlide	4	47	0	Image: fixcross.jpg
41751	ShowSlide	4	48	0	Image: _beta=1.65_r=TA_seed=19.png
41952	ShowSlide	4	49	0	Image: mask.jpg
42453	ShowSlide	4	50	0	Blank image
42804	Keyboard	3	39	0	Right
42807	ShowSlide	4	51	0	Blank image
43683	Keyboard	3	13	0	
43688	ShowSlide	4	52	0	Image: fixcross.jpg
45688	ShowSlide	4	53	0	Image: _beta=1.65_r=200_phi=315_seed=11.png
45890	ShowSlide	4	54	0	Image: mask.jpg
46391	ShowSlide	4	55	0	Blank image
47475	Keyboard	3	37	0	Left
47487	ShowSlide	4	56	0	Image: fixcross.jpg
49488	ShowSlide	4	57	0	Image: _beta=1.7_r=150_phi=180_seed=22.png
49689	ShowSlide	4	58	0	Image: mask.jpg
50190	ShowSlide	4	59	0	Blank image
