Data properties:
 
Recording date: 10/1/2008
Recording time : 12:11:48:228 (corresponds to time 0)
Study: SD Experiment
Subject: LM
Recording: LM14
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

31	ShowSlide	4	1	0	Image: breakrest.jpg
917	Keyboard	3	37	0	Left
924	ShowSlide	4	2	0	Image: fixcross.jpg
2925	ShowSlide	4	3	0	Image: _beta=1.6_r=350_phi=270_seed=8.png
3126	ShowSlide	4	4	0	Image: mask.jpg
3629	ShowSlide	4	5	0	Image: respdot.jpg
4085	Keyboard	3	39	0	Right
4089	ShowSlide	4	6	0	Image: fixcross.jpg
6089	ShowSlide	4	7	0	Image: _beta=1.65_r=150_phi=225_seed=15.png
6291	ShowSlide	4	8	0	Image: mask.jpg
6794	ShowSlide	4	9	0	Image: respdot.jpg
7429	Keyboard	3	37	0	Left
7437	ShowSlide	4	10	0	Image: fixcross.jpg
9438	ShowSlide	4	11	0	Image: _beta=1.6_r=450_phi=270_seed=9.png
9640	ShowSlide	4	12	0	Image: mask.jpg
10144	ShowSlide	4	13	0	Image: respdot.jpg
11173	Keyboard	3	39	0	Right
11184	ShowSlide	4	14	0	Image: fixcross.jpg
13184	ShowSlide	4	15	0	Image: _beta=1.7_r=250_phi=315_seed=23.png
13386	ShowSlide	4	16	0	Image: mask.jpg
13889	ShowSlide	4	17	0	Image: respdot.jpg
14421	Keyboard	3	39	0	Right
14432	ShowSlide	4	18	0	Image: breakrest.jpg
15349	Keyboard	3	39	0	Right
15355	ShowSlide	4	19	0	Image: fixcross.jpg
17356	ShowSlide	4	20	0	Image: _beta=1.7_r=200_phi=0_seed=30.png
17558	ShowSlide	4	21	0	Image: mask.jpg
18060	ShowSlide	4	22	0	Image: respdot.jpg
18661	Keyboard	3	39	0	Right
18671	ShowSlide	4	23	0	Image: fixcross.jpg
20672	ShowSlide	4	24	0	Image: _beta=1.65_r=150_phi=0_seed=20.png
20873	ShowSlide	4	25	0	Image: mask.jpg
21375	ShowSlide	4	26	0	Image: respdot.jpg
21845	Keyboard	3	37	0	Left
21847	ShowSlide	4	27	0	Image: fixcross.jpg
23847	ShowSlide	4	28	0	Image: _beta=1.7_r=150_phi=45_seed=29.png
24049	ShowSlide	4	29	0	Image: mask.jpg
24551	ShowSlide	4	30	0	Image: respdot.jpg
24933	Keyboard	3	39	0	Right
24937	ShowSlide	4	31	0	Image: fixcross.jpg
26938	ShowSlide	4	32	0	Image: _beta=1.65_r=150_phi=90_seed=18.png
27140	ShowSlide	4	33	0	Image: mask.jpg
27642	ShowSlide	4	34	0	Image: respdot.jpg
28181	Keyboard	3	37	0	Left
28185	ShowSlide	4	35	0	Image: breakrest.jpg
28981	Keyboard	3	37	0	Left
28989	ShowSlide	4	36	0	Image: fixcross.jpg
30991	ShowSlide	4	37	0	Image: _beta=1.6_r=200_phi=270_seed=1.png
31192	ShowSlide	4	38	0	Image: mask.jpg
31695	ShowSlide	4	39	0	Image: respdot.jpg
32213	Keyboard	3	39	0	Right
32219	ShowSlide	4	40	0	Image: fixcross.jpg
34219	ShowSlide	4	41	0	Image: _beta=1.6_r=200_phi=45_seed=1.png
34420	ShowSlide	4	42	0	Image: mask.jpg
34924	ShowSlide	4	43	0	Image: respdot.jpg
35301	Keyboard	3	39	0	Right
35310	ShowSlide	4	44	0	Image: fixcross.jpg
37311	ShowSlide	4	45	0	Image: _beta=1.6_r=450_phi=45_seed=9.png
37512	ShowSlide	4	46	0	Image: mask.jpg
38015	ShowSlide	4	47	0	Image: respdot.jpg
38549	Keyboard	3	39	0	Right
38550	ShowSlide	4	48	0	Image: fixcross.jpg
40550	ShowSlide	4	49	0	Image: _beta=1.6_r=150_phi=0_seed=8.png
40751	ShowSlide	4	50	0	Image: mask.jpg
41254	ShowSlide	4	51	0	Image: respdot.jpg
41621	Keyboard	3	39	0	Right
41625	ShowSlide	4	52	0	Image: breakrest.jpg
42437	Keyboard	3	39	0	Right
42441	ShowSlide	4	53	0	Image: fixcross.jpg
44442	ShowSlide	4	54	0	Image: _beta=1.6_r=TA_seed=3.png
44643	ShowSlide	4	55	0	Image: mask.jpg
45146	ShowSlide	4	56	0	Image: respdot.jpg
45477	Keyboard	3	39	0	Right
45488	ShowSlide	4	57	0	Image: fixcross.jpg
47489	ShowSlide	4	58	0	Image: _beta=1.6_r=TA_seed=3.png
47690	ShowSlide	4	59	0	Image: mask.jpg
48193	ShowSlide	4	60	0	Image: respdot.jpg
48500	Keyboard	3	39	0	Right
48502	ShowSlide	4	61	0	Image: fixcross.jpg
50502	ShowSlide	4	62	0	Image: _beta=1.65_r=250_phi=180_seed=20.png
50705	ShowSlide	4	63	0	Image: mask.jpg
51207	ShowSlide	4	64	0	Image: respdot.jpg
51732	Keyboard	3	37	0	Left
51743	ShowSlide	4	65	0	Image: fixcross.jpg
53744	ShowSlide	4	66	0	Image: _beta=1.65_r=350_phi=135_seed=20.png
53946	ShowSlide	4	67	0	Image: mask.jpg
54449	ShowSlide	4	68	0	Image: respdot.jpg
54852	Keyboard	3	39	0	Right
54863	ShowSlide	4	69	0	Image: breakrest.jpg
