Data properties:
 
Recording date: 10/1/2008
Recording time : 14:06:06:470 (corresponds to time 0)
Study: SD Experiment
Subject: LM
Recording: LM18
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 30
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	1531	179	751	634
2	2309	100	753	590
3	2767	100	753	616
4	3565	120	763	618
5	4023	100	762	597
6	4143	120	767	590
7	4303	139	748	586
8	4462	179	766	586
9	5200	179	761	600
10	5519	219	755	600
11	6376	140	755	595
12	7233	140	765	599
13	7492	100	756	611
14	8489	160	763	598
15	8948	319	750	602
16	9446	259	743	598
17	10025	100	744	579
18	10962	159	770	610
19	11420	140	766	616
20	12058	120	755	620
21	12377	120	757	600
22	12576	100	753	599
23	12696	140	757	620
24	13095	100	755	615
25	13454	179	769	618
26	13733	140	765	612
27	13972	140	759	615
28	15148	100	761	637
29	15687	179	757	620
30	16404	120	756	595
31	17042	139	760	598
32	17441	100	764	599
33	17820	120	766	582
34	18119	180	763	616
35	18498	100	746	612
36	18737	159	752	622
37	19096	100	769	593
38	19515	120	758	609
39	21050	100	759	614
40	21249	199	756	614
41	21628	140	753	630
42	21847	120	755	626
43	22027	100	749	611
44	22445	219	749	603
45	22764	180	754	607
46	23024	120	748	615
47	23323	100	749	622
48	24359	140	772	624
49	24559	180	759	628
50	24997	100	765	610
51	25237	100	755	618
52	25615	120	775	611
53	26134	120	764	602
54	27450	199	766	593
55	28187	259	767	602
56	28666	120	772	601
57	29104	140	768	633
58	30360	120	756	642
59	30580	140	751	594
60	30959	100	749	591
61	31297	100	746	637
62	32793	120	741	621
63	33491	120	757	597
64	33829	160	764	598
65	34288	199	761	609
66	34507	180	752	602
67	34707	100	746	612
68	35026	179	755	595
69	35225	140	760	580
70	35424	100	757	597
71	36222	100	783	603
72	36720	140	764	582
73	36880	100	762	592
74	37299	179	767	552
75	38136	160	766	613
76	38594	100	762	598
77	38894	140	748	601
78	39133	100	758	597
79	39252	159	767	602
80	39532	120	770	583
81	40269	100	774	593
82	40648	319	772	530
83	41346	379	768	592
84	43738	100	767	601
85	44177	120	765	602
86	44516	120	748	618
87	44815	140	753	609
88	45134	180	768	615
89	46031	120	784	598
