Data properties:
 
Recording date: 9/17/2008
Recording time : 14:10:43:777 (corresponds to time 0)
Study: SD Experiment
Subject: LM
Recording: LMT2
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Timestamp	Found	GazepointX	GazepointY
 
16	None	-1600	-1200
36	None	-1600	-1200
56	None	-1600	-1200
76	Both	919	847
96	Both	920	839
116	Both	938	860
136	Both	936	855
156	Both	930	857
176	Both	931	853
196	Both	729	727
215	Both	667	649
236	Both	659	619
255	Both	653	636
275	Both	654	662
295	Both	660	651
315	Both	671	676
335	Both	645	639
355	Both	744	649
375	Both	746	634
395	Both	776	624
415	Both	777	624
435	Both	776	643
455	Both	771	642
475	Both	764	665
495	Both	780	628
514	Both	773	638
534	Both	779	663
554	None	-1600	-1200
574	None	-1600	-1200
594	None	-1600	-1200
614	None	-1600	-1200
634	None	-1600	-1200
654	None	-1600	-1200
674	None	-1600	-1200
694	None	-1600	-1200
714	None	-1600	-1200
734	Both	748	487
754	Both	767	564
774	Both	757	577
794	Both	771	602
814	Both	772	585
834	Both	772	559
853	Both	740	626
873	Both	748	594
893	Both	746	607
913	Both	750	593
933	Both	748	621
953	Both	751	607
973	Both	754	634
993	Both	758	619
1013	Both	744	628
1033	Both	739	616
1053	Both	766	610
1073	Both	751	613
1093	Both	756	605
1113	Both	751	627
1133	Both	731	596
1153	Both	747	598
1172	Both	760	621
1192	Both	757	622
1212	Both	747	624
1232	Both	750	616
1252	Both	737	624
1272	Both	746	624
1292	Both	761	637
1312	Both	752	620
1332	Both	755	642
1352	Both	761	644
1372	Both	752	616
1392	Both	748	642
1412	Both	763	640
1432	Both	765	637
1452	Both	752	639
1471	Both	759	643
1491	Both	756	650
1511	Both	765	637
1531	Both	769	646
1551	Both	744	638
1571	Both	759	652
1591	Both	753	648
1611	Both	755	634
1631	Both	758	650
1651	Both	767	646
1671	Both	769	652
1691	Both	761	655
1711	Both	759	662
1731	Both	756	637
1751	Both	747	636
1771	Both	767	648
1791	Both	758	643
1810	Both	748	641
1830	Both	758	637
1850	Both	764	624
1870	Both	755	646
1890	Both	767	630
1910	Both	766	623
1930	Both	754	634
1950	Both	760	622
1970	Both	753	624
1990	Both	763	623
2010	Both	757	634
2030	Both	765	639
2050	Both	751	639
2070	Both	764	636
2090	Both	750	633
2109	Both	764	649
2129	Both	764	653
2149	Both	749	640
2169	None	-1600	-1200
2189	None	-1600	-1200
2209	None	-1600	-1200
2229	None	-1600	-1200
2249	None	-1600	-1200
2269	None	-1600	-1200
2289	None	-1600	-1200
2309	None	-1600	-1200
2329	None	-1600	-1200
2349	RightOnly	797	617
2369	Both	699	584
2389	Both	699	616
2409	Both	738	605
2429	Both	748	628
2448	Both	744	625
2468	Both	736	626
2488	Both	737	628
2508	Both	732	628
2528	Both	730	627
2548	Both	753	692
2568	Both	765	674
2588	Both	743	628
2608	Both	755	682
2628	Both	749	647
2648	Both	746	643
2668	Both	753	660
2688	Both	752	658
2708	Both	745	669
2728	Both	755	661
2747	Both	763	662
2767	Both	763	661
2787	Both	755	658
2807	Both	758	658
2827	Both	746	673
2847	Both	748	647
2867	Both	760	664
2887	Both	757	671
2907	Both	756	675
2927	Both	771	654
2947	Both	752	662
2967	Both	786	975
2987	None	-1600	-1200
3007	None	-1600	-1200
3027	None	-1600	-1200
3047	None	-1600	-1200
3066	None	-1600	-1200
3086	None	-1600	-1200
3106	None	-1600	-1200
3126	Both	754	567
3146	RightOnly	825	665
3166	Both	767	597
3186	Both	775	636
3206	Both	787	671
3226	Both	801	687
3246	Both	789	649
3266	Both	787	674
3286	Both	823	684
3306	Both	794	683
3326	Both	782	687
3346	Both	774	632
3366	LeftOnly	1765	1330
3385	None	-1600	-1200
3405	None	-1600	-1200
3425	None	-1600	-1200
3445	None	-1600	-1200
3465	None	-1600	-1200
3485	None	-1600	-1200
3505	None	-1600	-1200
3525	None	-1600	-1200
3545	None	-1600	-1200
3565	None	-1600	-1200
3585	None	-1600	-1200
3605	None	-1600	-1200
3625	None	-1600	-1200
3645	None	-1600	-1200
3665	None	-1600	-1200
3685	None	-1600	-1200
3704	None	-1600	-1200
3724	None	-1600	-1200
3744	None	-1600	-1200
