Data properties:
 
Recording date: 9/17/2008
Recording time : 14:10:43:777 (corresponds to time 0)
Study: SD Experiment
Subject: LM
Recording: LMT2
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

38	ShowSlide	4	1	0	Image: breakrest.jpg
6534	Keyboard	3	37	0	Left
6542	ShowSlide	4	2	0	Image: fixcross.jpg
8543	ShowSlide	4	3	0	Image: _beta=1.65_r=150_phi=45_seed=14.png
8745	ShowSlide	4	4	0	Image: mask.jpg
9248	ShowSlide	4	5	0	Image: respdot.jpg
9941	Keyboard	3	39	0	Right
9945	ShowSlide	4	6	0	Image: fixcross.jpg
11945	ShowSlide	4	7	0	Image: _beta=1.65_r=TA_seed=20.png
12147	ShowSlide	4	8	0	Image: mask.jpg
12649	ShowSlide	4	9	0	Image: respdot.jpg
13269	Keyboard	3	39	0	Right
13281	ShowSlide	4	10	0	Image: fixcross.jpg
15282	ShowSlide	4	11	0	Image: _beta=1.7_r=350_phi=90_seed=22.png
15483	ShowSlide	4	12	0	Image: mask.jpg
15986	ShowSlide	4	13	0	Image: respdot.jpg
16741	Keyboard	3	39	0	Right
16746	ShowSlide	4	14	0	Image: fixcross.jpg
18747	ShowSlide	4	15	0	Image: _beta=1.6_r=100_phi=135_seed=5.png
18948	ShowSlide	4	16	0	Image: mask.jpg
19451	ShowSlide	4	17	0	Image: respdot.jpg
20437	Keyboard	3	39	0	Right
20445	ShowSlide	4	18	0	Image: breakrest.jpg
23669	Keyboard	3	39	0	Right
23678	ShowSlide	4	19	0	Image: fixcross.jpg
25679	ShowSlide	4	20	0	Image: _beta=1.65_r=350_phi=180_seed=17.png
25881	ShowSlide	4	21	0	Image: mask.jpg
26382	ShowSlide	4	22	0	Image: respdot.jpg
27173	Keyboard	3	39	0	Right
27176	ShowSlide	4	23	0	Image: fixcross.jpg
29177	ShowSlide	4	24	0	Image: _beta=1.6_r=50_phi=0_seed=3.png
29379	ShowSlide	4	25	0	Image: mask.jpg
29880	ShowSlide	4	26	0	Image: respdot.jpg
30597	Keyboard	3	39	0	Right
30600	ShowSlide	4	27	0	Image: fixcross.jpg
32601	ShowSlide	4	28	0	Image: _beta=1.7_r=250_phi=315_seed=24.png
32802	ShowSlide	4	29	0	Image: mask.jpg
33303	ShowSlide	4	30	0	Image: respdot.jpg
33957	Keyboard	3	39	0	Right
33969	ShowSlide	4	31	0	Image: fixcross.jpg
35970	ShowSlide	4	32	0	Image: _beta=1.7_r=300_phi=270_seed=22.png
36171	ShowSlide	4	33	0	Image: mask.jpg
36672	ShowSlide	4	34	0	Image: respdot.jpg
37525	Keyboard	3	39	0	Right
37527	ShowSlide	4	35	0	Image: breakrest.jpg
38933	Keyboard	3	39	0	Right
38944	ShowSlide	4	36	0	Image: fixcross.jpg
40945	ShowSlide	4	37	0	Image: _beta=1.6_r=450_phi=0_seed=7.png
41146	ShowSlide	4	38	0	Image: mask.jpg
41649	ShowSlide	4	39	0	Image: respdot.jpg
41957	Keyboard	3	39	0	Right
41958	ShowSlide	4	40	0	Image: fixcross.jpg
43959	ShowSlide	4	41	0	Image: _beta=1.7_r=450_phi=180_seed=23.png
44160	ShowSlide	4	42	0	Image: mask.jpg
44663	ShowSlide	4	43	0	Image: respdot.jpg
45253	Keyboard	3	39	0	Right
45262	ShowSlide	4	44	0	Image: fixcross.jpg
47263	ShowSlide	4	45	0	Image: _beta=1.65_r=TA_seed=16.png
47465	ShowSlide	4	46	0	Image: mask.jpg
47967	ShowSlide	4	47	0	Image: respdot.jpg
48693	Keyboard	3	39	0	Right
48697	ShowSlide	4	48	0	Image: fixcross.jpg
50698	ShowSlide	4	49	0	Image: _beta=1.7_r=50_phi=225_seed=22.png
50899	ShowSlide	4	50	0	Image: mask.jpg
51402	ShowSlide	4	51	0	Image: respdot.jpg
51813	Keyboard	3	37	0	Left
51816	ShowSlide	4	52	0	Image: breakrest.jpg
53141	Keyboard	3	37	0	Left
53148	ShowSlide	4	53	0	Image: fixcross.jpg
55148	ShowSlide	4	54	0	Image: _beta=1.65_r=TA_seed=15.png
55350	ShowSlide	4	55	0	Image: mask.jpg
55853	ShowSlide	4	56	0	Image: respdot.jpg
56452	Keyboard	3	39	0	Right
56463	ShowSlide	4	57	0	Image: fixcross.jpg
58464	ShowSlide	4	58	0	Image: _beta=1.7_r=400_phi=270_seed=25.png
58665	ShowSlide	4	59	0	Image: mask.jpg
59168	ShowSlide	4	60	0	Image: respdot.jpg
59764	Keyboard	3	39	0	Right
59767	ShowSlide	4	61	0	Image: fixcross.jpg
61767	ShowSlide	4	62	0	Image: _beta=1.7_r=TA_seed=23.png
61968	ShowSlide	4	63	0	Image: mask.jpg
62471	ShowSlide	4	64	0	Image: respdot.jpg
63028	Keyboard	3	39	0	Right
63038	ShowSlide	4	65	0	Image: fixcross.jpg
65039	ShowSlide	4	66	0	Image: _beta=1.6_r=200_phi=225_seed=1.png
65241	ShowSlide	4	67	0	Image: mask.jpg
65744	ShowSlide	4	68	0	Image: respdot.jpg
66276	Keyboard	3	39	0	Right
66287	ShowSlide	4	69	0	Image: breakrest.jpg
69668	Keyboard	3	39	0	Right
69679	ShowSlide	4	70	0	Image: fixcross.jpg
71679	ShowSlide	4	71	0	Image: _beta=1.7_r=250_phi=315_seed=29.png
71882	ShowSlide	4	72	0	Image: mask.jpg
72383	ShowSlide	4	73	0	Image: respdot.jpg
73860	Keyboard	3	39	0	Right
73863	ShowSlide	4	74	0	Image: fixcross.jpg
75864	ShowSlide	4	75	0	Image: _beta=1.6_r=200_phi=90_seed=6.png
76065	ShowSlide	4	76	0	Image: mask.jpg
76568	ShowSlide	4	77	0	Image: respdot.jpg
77044	Keyboard	3	39	0	Right
77048	ShowSlide	4	78	0	Image: fixcross.jpg
79048	ShowSlide	4	79	0	Image: _beta=1.65_r=50_phi=135_seed=16.png
79251	ShowSlide	4	80	0	Image: mask.jpg
79753	ShowSlide	4	81	0	Image: respdot.jpg
80116	Keyboard	3	37	0	Left
80127	ShowSlide	4	82	0	Image: fixcross.jpg
82128	ShowSlide	4	83	0	Image: _beta=1.65_r=300_phi=315_seed=19.png
82330	ShowSlide	4	84	0	Image: mask.jpg
82831	ShowSlide	4	85	0	Image: respdot.jpg
83220	Keyboard	3	39	0	Right
83224	ShowSlide	4	86	0	Image: breakrest.jpg
86164	Keyboard	3	39	0	Right
86167	ShowSlide	4	87	0	Image: fixcross.jpg
88168	ShowSlide	4	88	0	Image: _beta=1.6_r=150_phi=45_seed=6.png
88369	ShowSlide	4	89	0	Image: mask.jpg
88871	ShowSlide	4	90	0	Image: respdot.jpg
89108	Keyboard	3	39	0	Right
89117	ShowSlide	4	91	0	Image: fixcross.jpg
91117	ShowSlide	4	92	0	Image: _beta=1.6_r=450_phi=180_seed=4.png
91318	ShowSlide	4	93	0	Image: mask.jpg
91820	ShowSlide	4	94	0	Image: respdot.jpg
92468	Keyboard	3	39	0	Right
92475	ShowSlide	4	95	0	Image: fixcross.jpg
94476	ShowSlide	4	96	0	Image: _beta=1.65_r=TA_seed=15.png
94678	ShowSlide	4	97	0	Image: mask.jpg
95180	ShowSlide	4	98	0	Image: respdot.jpg
95860	Keyboard	3	39	0	Right
95866	ShowSlide	4	99	0	Image: fixcross.jpg
97867	ShowSlide	4	100	0	Image: _beta=1.65_r=150_phi=90_seed=14.png
98068	ShowSlide	4	101	0	Image: mask.jpg
98570	ShowSlide	4	102	0	Image: respdot.jpg
99267	Keyboard	3	37	0	Left
99274	ShowSlide	4	103	0	Image: breakrest.jpg
104467	Keyboard	3	37	0	Left
104478	ShowSlide	4	104	0	Image: fixcross.jpg
106479	ShowSlide	4	105	0	Image: _beta=1.7_r=350_phi=135_seed=22.png
106680	ShowSlide	4	106	0	Image: mask.jpg
107184	ShowSlide	4	107	0	Image: respdot.jpg
107811	Keyboard	3	37	0	Left
107816	ShowSlide	4	108	0	Image: fixcross.jpg
109817	ShowSlide	4	109	0	Image: _beta=1.65_r=450_phi=0_seed=15.png
110019	ShowSlide	4	110	0	Image: mask.jpg
110522	ShowSlide	4	111	0	Image: respdot.jpg
111011	Keyboard	3	39	0	Right
111016	ShowSlide	4	112	0	Image: fixcross.jpg
113016	ShowSlide	4	113	0	Image: _beta=1.6_r=350_phi=90_seed=2.png
113217	ShowSlide	4	114	0	Image: mask.jpg
113720	ShowSlide	4	115	0	Image: respdot.jpg
114147	Keyboard	3	39	0	Right
114159	ShowSlide	4	116	0	Image: fixcross.jpg
116160	ShowSlide	4	117	0	Image: _beta=1.6_r=250_phi=45_seed=8.png
116361	ShowSlide	4	118	0	Image: mask.jpg
116864	ShowSlide	4	119	0	Image: respdot.jpg
117219	Keyboard	3	39	0	Right
117224	ShowSlide	4	120	0	Image: breakrest.jpg
117971	Keyboard	3	39	0	Right
117974	ShowSlide	4	121	0	Image: fixcross.jpg
119974	ShowSlide	4	122	0	Image: _beta=1.65_r=250_phi=90_seed=15.png
120176	ShowSlide	4	123	0	Image: mask.jpg
120679	ShowSlide	4	124	0	Image: respdot.jpg
121075	Keyboard	3	39	0	Right
121086	ShowSlide	4	125	0	Image: fixcross.jpg
123087	ShowSlide	4	126	0	Image: _beta=1.65_r=100_phi=135_seed=18.png
123289	ShowSlide	4	127	0	Image: mask.jpg
123791	ShowSlide	4	128	0	Image: respdot.jpg
124163	Keyboard	3	37	0	Left
124165	ShowSlide	4	129	0	Image: fixcross.jpg
126166	ShowSlide	4	130	0	Image: _beta=1.65_r=TA_seed=18.png
126368	ShowSlide	4	131	0	Image: mask.jpg
126871	ShowSlide	4	132	0	Image: respdot.jpg
127379	Keyboard	3	39	0	Right
127384	ShowSlide	4	133	0	Image: fixcross.jpg
129385	ShowSlide	4	134	0	Image: _beta=1.6_r=300_phi=270_seed=5.png
129586	ShowSlide	4	135	0	Image: mask.jpg
130088	ShowSlide	4	136	0	Image: respdot.jpg
130547	Keyboard	3	37	0	Left
130556	ShowSlide	4	137	0	Image: breakrest.jpg
134387	Keyboard	3	37	0	Left
134389	ShowSlide	4	138	0	Image: fixcross.jpg
136390	ShowSlide	4	139	0	Image: _beta=1.7_r=200_phi=0_seed=23.png
136592	ShowSlide	4	140	0	Image: mask.jpg
137094	ShowSlide	4	141	0	Image: respdot.jpg
137571	Keyboard	3	39	0	Right
137575	ShowSlide	4	142	0	Image: fixcross.jpg
139576	ShowSlide	4	143	0	Image: _beta=1.65_r=50_phi=225_seed=11.png
139778	ShowSlide	4	144	0	Image: mask.jpg
140281	ShowSlide	4	145	0	Image: respdot.jpg
140707	Keyboard	3	37	0	Left
140708	ShowSlide	4	146	0	Image: fixcross.jpg
142709	ShowSlide	4	147	0	Image: _beta=1.6_r=200_phi=0_seed=8.png
142910	ShowSlide	4	148	0	Image: mask.jpg
143413	ShowSlide	4	149	0	Image: respdot.jpg
143746	Keyboard	3	39	0	Right
143754	ShowSlide	4	150	0	Image: fixcross.jpg
145755	ShowSlide	4	151	0	Image: _beta=1.65_r=350_phi=225_seed=15.png
145957	ShowSlide	4	152	0	Image: mask.jpg
146459	ShowSlide	4	153	0	Image: respdot.jpg
147138	Keyboard	3	39	0	Right
147142	ShowSlide	4	154	0	Image: breakrest.jpg
149970	Keyboard	3	39	0	Right
149977	ShowSlide	4	155	0	Image: fixcross.jpg
151978	ShowSlide	4	156	0	Image: _beta=1.7_r=250_phi=270_seed=27.png
152179	ShowSlide	4	157	0	Image: mask.jpg
152681	ShowSlide	4	158	0	Image: respdot.jpg
153026	Keyboard	3	37	0	Left
153034	ShowSlide	4	159	0	Image: fixcross.jpg
155035	ShowSlide	4	160	0	Image: _beta=1.65_r=350_phi=45_seed=15.png
155236	ShowSlide	4	161	0	Image: mask.jpg
155738	ShowSlide	4	162	0	Image: respdot.jpg
156098	Keyboard	3	39	0	Right
156102	ShowSlide	4	163	0	Image: fixcross.jpg
158103	ShowSlide	4	164	0	Image: _beta=1.7_r=250_phi=315_seed=30.png
158304	ShowSlide	4	165	0	Image: mask.jpg
158806	ShowSlide	4	166	0	Image: respdot.jpg
159522	Keyboard	3	39	0	Right
159525	ShowSlide	4	167	0	Image: fixcross.jpg
161074	Keyboard	3	39	0	Right
161526	ShowSlide	4	168	0	Image: _beta=1.7_r=100_phi=45_seed=30.png
161727	ShowSlide	4	169	0	Image: mask.jpg
162229	ShowSlide	4	170	0	Image: respdot.jpg
163170	Keyboard	3	39	0	Right
163180	ShowSlide	4	171	0	Image: breakrest.jpg
164242	Keyboard	3	39	0	Right
164254	ShowSlide	4	172	0	Image: fixcross.jpg
166254	ShowSlide	4	173	0	Image: _beta=1.6_r=150_phi=315_seed=3.png
166456	ShowSlide	4	174	0	Image: mask.jpg
166959	ShowSlide	4	175	0	Image: respdot.jpg
167394	Keyboard	3	39	0	Right
167398	ShowSlide	4	176	0	Image: fixcross.jpg
169398	ShowSlide	4	177	0	Image: _beta=1.65_r=TA_seed=17.png
169599	ShowSlide	4	178	0	Image: mask.jpg
170102	ShowSlide	4	179	0	Image: respdot.jpg
171554	Keyboard	3	39	0	Right
171563	ShowSlide	4	180	0	Image: fixcross.jpg
173563	ShowSlide	4	181	0	Image: _beta=1.6_r=450_phi=315_seed=10.png
173764	ShowSlide	4	182	0	Image: mask.jpg
174267	ShowSlide	4	183	0	Image: respdot.jpg
174834	Keyboard	3	39	0	Right
174836	ShowSlide	4	184	0	Image: fixcross.jpg
176836	ShowSlide	4	185	0	Image: _beta=1.6_r=TA_seed=5.png
177038	ShowSlide	4	186	0	Image: mask.jpg
177540	ShowSlide	4	187	0	Image: respdot.jpg
178146	Keyboard	3	39	0	Right
178148	ShowSlide	4	188	0	Image: breakrest.jpg
188305	Keyboard	3	37	0	Left
188308	ShowSlide	4	189	0	Image: fixcross.jpg
190309	ShowSlide	4	190	0	Image: _beta=1.7_r=300_phi=270_seed=23.png
190511	ShowSlide	4	191	0	Image: mask.jpg
191014	ShowSlide	4	192	0	Image: respdot.jpg
191297	Keyboard	3	37	0	Left
191303	ShowSlide	4	193	0	Image: fixcross.jpg
193304	ShowSlide	4	194	0	Image: _beta=1.7_r=TA_seed=24.png
193504	ShowSlide	4	195	0	Image: mask.jpg
194007	ShowSlide	4	196	0	Image: respdot.jpg
195313	Keyboard	3	39	0	Right
195316	ShowSlide	4	197	0	Image: fixcross.jpg
197317	ShowSlide	4	198	0	Image: _beta=1.65_r=200_phi=225_seed=20.png
197519	ShowSlide	4	199	0	Image: mask.jpg
198022	ShowSlide	4	200	0	Image: respdot.jpg
198849	Keyboard	3	39	0	Right
198858	ShowSlide	4	201	0	Image: fixcross.jpg
200859	ShowSlide	4	202	0	Image: _beta=1.7_r=200_phi=270_seed=26.png
201061	ShowSlide	4	203	0	Image: mask.jpg
201564	ShowSlide	4	204	0	Image: respdot.jpg
