Data properties:
 
Recording date: 10/9/2008
Recording time : 14:33:38:598 (corresponds to time 0)
Study: SD Experiment
Subject: MY
Recording: MY16
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

128	ShowSlide	4	1	0	Image: breakrest.jpg
1622	Keyboard	3	13	0	
1631	ShowSlide	4	2	0	Image: fixcross.jpg
3632	ShowSlide	4	3	0	Image: _beta=1.6_r=200_phi=315_seed=9.png
3833	ShowSlide	4	4	0	Image: mask.jpg
4333	ShowSlide	4	5	0	Image: respdot.jpg
4950	Keyboard	3	37	0	Left
4954	ShowSlide	4	6	0	Image: fixcross.jpg
6955	ShowSlide	4	7	0	Image: _beta=1.7_r=200_phi=270_seed=27.png
7159	ShowSlide	4	8	0	Image: mask.jpg
7653	ShowSlide	4	9	0	Image: respdot.jpg
7750	Keyboard	3	37	0	Left
7757	ShowSlide	4	10	0	Image: fixcross.jpg
9758	ShowSlide	4	11	0	Image: _beta=1.6_r=150_phi=45_seed=7.png
9961	ShowSlide	4	12	0	Image: mask.jpg
10464	ShowSlide	4	13	0	Image: respdot.jpg
10582	Keyboard	3	39	0	Right
10589	ShowSlide	4	14	0	Image: fixcross.jpg
12590	ShowSlide	4	15	0	Image: _beta=1.7_r=100_phi=225_seed=24.png
12793	ShowSlide	4	16	0	Image: mask.jpg
13288	ShowSlide	4	17	0	Image: respdot.jpg
13301	Keyboard	3	37	0	Left
13315	ShowSlide	4	18	0	Image: breakrest.jpg
14149	Keyboard	3	13	0	
14152	ShowSlide	4	19	0	Image: fixcross.jpg
16152	ShowSlide	4	20	0	Image: _beta=1.7_r=300_phi=315_seed=23.png
16353	ShowSlide	4	21	0	Image: mask.jpg
16855	ShowSlide	4	22	0	Image: respdot.jpg
17141	Keyboard	3	39	0	Right
17144	ShowSlide	4	23	0	Image: fixcross.jpg
19144	ShowSlide	4	24	0	Image: _beta=1.65_r=200_phi=180_seed=18.png
19349	ShowSlide	4	25	0	Image: mask.jpg
19733	Keyboard	3	39	0	Right
19851	ShowSlide	4	26	0	Image: respdot.jpg
20117	Keyboard	3	39	0	Right
20129	ShowSlide	4	27	0	Image: fixcross.jpg
22130	ShowSlide	4	28	0	Image: _beta=1.65_r=100_phi=225_seed=14.png
22333	ShowSlide	4	29	0	Image: mask.jpg
22836	ShowSlide	4	30	0	Image: respdot.jpg
23221	Keyboard	3	39	0	Right
23232	ShowSlide	4	31	0	Image: fixcross.jpg
25232	ShowSlide	4	32	0	Image: _beta=1.7_r=150_phi=315_seed=27.png
25436	ShowSlide	4	33	0	Image: mask.jpg
25939	ShowSlide	4	34	0	Image: respdot.jpg
26133	Keyboard	3	37	0	Left
26139	ShowSlide	4	35	0	Image: breakrest.jpg
27077	Keyboard	3	13	0	
27083	ShowSlide	4	36	0	Image: fixcross.jpg
29084	ShowSlide	4	37	0	Image: _beta=1.6_r=TA_seed=9.png
29287	ShowSlide	4	38	0	Image: mask.jpg
29781	ShowSlide	4	39	0	Image: respdot.jpg
29813	Keyboard	3	39	0	Right
29823	ShowSlide	4	40	0	Image: fixcross.jpg
31824	ShowSlide	4	41	0	Image: _beta=1.65_r=450_phi=315_seed=14.png
32025	ShowSlide	4	42	0	Image: mask.jpg
32453	Keyboard	3	39	0	Right
32529	ShowSlide	4	43	0	Image: respdot.jpg
33045	Keyboard	3	39	0	Right
33053	ShowSlide	4	44	0	Image: fixcross.jpg
35054	ShowSlide	4	45	0	Image: _beta=1.7_r=400_phi=90_seed=29.png
35255	ShowSlide	4	46	0	Image: mask.jpg
35758	ShowSlide	4	47	0	Image: respdot.jpg
35797	Keyboard	3	39	0	Right
35799	ShowSlide	4	48	0	Image: fixcross.jpg
37800	ShowSlide	4	49	0	Image: _beta=1.65_r=250_phi=180_seed=18.png
38001	ShowSlide	4	50	0	Image: mask.jpg
38505	ShowSlide	4	51	0	Image: respdot.jpg
38645	Keyboard	3	37	0	Left
38650	ShowSlide	4	52	0	Image: breakrest.jpg
39253	Keyboard	3	13	0	
39262	ShowSlide	4	53	0	Image: fixcross.jpg
41263	ShowSlide	4	54	0	Image: _beta=1.65_r=150_phi=135_seed=14.png
41467	ShowSlide	4	55	0	Image: mask.jpg
41971	ShowSlide	4	56	0	Image: respdot.jpg
42117	Keyboard	3	37	0	Left
42120	ShowSlide	4	57	0	Image: fixcross.jpg
