Data properties:
 
Recording date: 9/18/2008
Recording time : 14:11:06:159 (corresponds to time 0)
Study: SD Experiment
Subject: MY
Recording: MY2
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 30
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	174	140	843	677
2	373	100	520	1107
3	533	160	783	614
4	712	658	800	638
5	1410	1316	804	677
6	2746	140	815	639
7	3065	160	820	584
8	3284	259	797	583
9	3563	319	815	550
10	3902	259	814	546
11	4181	140	806	587
12	4401	180	813	545
13	4600	359	814	543
14	5078	578	816	552
15	5677	658	798	586
16	6454	140	794	604
17	6713	399	795	572
18	7152	718	798	557
19	7890	678	796	608
20	8587	120	796	605
21	8986	857	796	589
22	9863	279	795	582
23	10282	1116	801	602
24	11418	638	805	601
25	12076	259	801	617
26	12355	219	799	606
27	12595	638	797	585
28	13253	498	800	581
29	13771	1236	800	597
30	15027	339	798	607
31	15386	778	799	617
32	16363	259	809	605
33	16642	100	820	603
34	16761	558	810	602
35	17340	439	801	590
36	17798	259	797	598
37	18137	2213	793	609
38	20370	160	778	577
39	20569	419	787	595
40	21008	139	792	603
41	21168	159	789	614
42	21347	1316	794	620
43	22683	259	792	625
44	22962	379	799	611
45	23500	159	787	607
46	23759	159	793	612
47	23939	100	799	593
48	24058	558	798	604
49	24637	259	804	612
50	25015	100	799	593
51	25255	718	806	618
52	26012	319	811	636
53	26391	219	815	609
54	26630	319	812	600
55	27049	100	826	609
56	27169	159	813	594
57	27468	219	812	615
58	27707	219	810	617
59	27966	259	809	595
60	28245	180	807	606
61	28485	678	796	613
62	29182	897	797	634
63	30099	877	803	656
64	30997	100	788	642
65	31116	179	798	663
66	31375	499	799	660
67	31894	538	803	663
68	32911	518	798	583
69	33588	180	796	556
70	33788	379	798	547
71	34207	1057	800	582
72	35303	120	793	590
73	36061	219	792	602
74	36380	778	794	556
75	37197	219	796	580
76	37456	439	796	574
77	37915	219	787	591
78	38174	160	788	584
79	38353	837	797	595
80	39310	1256	806	580
81	40586	2193	796	571
82	42799	319	795	572
83	43158	538	798	596
84	43816	140	818	622
85	43976	239	799	627
86	44275	658	809	621
87	44953	558	805	617
88	45531	459	806	608
89	46009	279	794	610
90	46308	239	799	612
91	46587	379	804	611
92	47046	718	806	611
93	47784	319	806	613
94	48162	279	811	594
95	48461	618	796	602
96	49100	419	795	601
97	49558	1176	795	600
98	50754	140	795	594
99	50914	100	793	571
100	51033	399	793	582
101	51452	419	800	585
102	52030	140	811	592
103	52190	1176	799	599
104	53446	199	800	571
105	53785	279	817	579
106	54403	100	818	528
107	54522	618	810	561
108	55160	458	802	595
109	55699	379	798	600
110	56097	139	806	579
111	56277	160	782	591
112	56516	100	792	607
113	56656	678	790	612
114	57373	140	797	599
115	57533	638	795	612
116	58191	698	799	563
117	58909	598	805	592
118	59626	100	765	628
119	59846	140	823	618
120	60085	100	794	617
121	60244	120	804	636
122	60464	339	801	620
123	60823	120	801	606
124	60962	179	834	609
125	61161	140	829	630
126	61321	159	830	648
127	61560	498	810	616
128	62079	1037	803	583
129	63135	199	802	579
130	63355	279	804	584
131	63713	120	801	594
132	63853	399	805	593
133	64272	100	814	570
134	64411	379	810	545
135	64830	199	803	525
136	65069	638	811	551
137	65747	239	805	542
138	66006	219	812	540
139	66285	100	815	534
140	66405	478	808	561
141	66923	120	816	540
142	67063	299	815	556
143	67482	100	811	558
144	67601	179	814	566
145	67801	100	809	561
146	67920	339	815	542
147	68279	259	813	536
148	68558	598	815	539
149	69176	538	810	546
150	69734	877	811	551
151	70632	917	814	550
152	71569	159	811	600
153	72207	179	796	572
154	72466	160	814	560
155	72645	439	804	541
156	73104	538	802	533
157	73662	439	811	559
158	74121	997	803	579
159	75137	778	813	568
160	76015	758	811	594
161	76792	199	812	594
162	77012	598	809	616
163	77630	558	802	583
164	78307	578	803	541
165	78926	339	815	542
166	79364	219	824	547
167	79623	219	822	566
168	79863	937	805	567
169	80820	199	809	565
170	81039	159	810	575
171	81218	419	804	600
172	81756	219	797	606
173	81996	439	806	580
174	82474	159	805	582
175	82654	578	792	576
176	83252	439	786	591
177	83710	857	804	593
178	84707	339	808	585
179	85146	139	811	560
180	85305	139	804	548
181	85485	120	812	557
182	85724	319	809	538
183	86063	797	804	530
184	86880	339	809	565
185	87399	319	807	554
186	87857	180	810	568
187	88057	120	815	571
188	88196	1435	818	595
189	89731	598	810	607
190	90349	179	814	586
191	90648	319	810	586
192	91007	239	805	597
193	91266	140	807	595
194	91426	219	807	611
195	91665	299	816	605
