Data properties:
 
Recording date: 9/18/2008
Recording time : 14:34:27:614 (corresponds to time 0)
Study: SD Experiment
Subject: MY
Recording: MY4
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Timestamp	Found	GazepointX	GazepointY
 
0	None	-1600	-1200
20	None	-1600	-1200
40	None	-1600	-1200
60	None	-1600	-1200
80	Both	799	637
100	Both	797	640
120	Both	778	638
140	Both	796	653
160	Both	796	668
180	Both	795	647
199	Both	805	656
219	Both	801	667
239	Both	803	678
259	Both	802	644
279	Both	806	648
299	Both	800	677
319	Both	821	670
339	Both	804	640
359	Both	789	622
379	Both	804	623
399	Both	800	605
419	Both	804	607
439	Both	805	605
459	Both	789	632
479	Both	805	607
498	Both	815	619
518	Both	798	614
538	Both	809	630
558	Both	805	596
578	Both	807	611
598	Both	813	601
618	Both	806	601
638	Both	792	628
658	Both	801	611
678	Both	802	601
698	Both	809	603
718	Both	812	602
738	Both	813	631
758	Both	805	621
778	Both	805	627
798	Both	789	626
817	Both	810	633
837	Both	800	630
857	Both	791	645
877	Both	800	629
897	Both	805	655
917	Both	804	639
937	Both	788	642
957	Both	807	651
977	Both	801	651
997	Both	800	663
1017	Both	806	631
1037	Both	809	653
1057	Both	810	661
1077	Both	806	639
1097	Both	803	655
1117	Both	800	671
1136	Both	804	660
1156	Both	799	655
1176	Both	796	675
1196	Both	805	672
1216	Both	807	670
1236	Both	801	654
1256	Both	806	662
1276	Both	806	671
1296	Both	814	656
1316	Both	810	669
1336	Both	815	656
1356	Both	806	658
1376	Both	815	657
1396	Both	814	676
1416	Both	808	670
1436	Both	812	652
1455	Both	802	664
1475	Both	804	654
1495	Both	800	637
1515	Both	814	649
1535	Both	805	642
1555	Both	812	649
1575	Both	811	660
1595	Both	809	651
1615	Both	801	649
1635	Both	794	653
1655	Both	791	647
1675	Both	796	650
1695	Both	803	661
1715	Both	809	654
1735	Both	800	659
1754	Both	808	660
1774	Both	807	651
1794	Both	803	646
1814	Both	816	675
1834	Both	820	651
1854	Both	804	654
1874	Both	792	654
1894	Both	812	658
1914	Both	801	650
1934	Both	811	639
1954	Both	819	635
1974	Both	804	640
1994	Both	808	638
2014	Both	800	609
2034	Both	806	590
2054	Both	821	609
2074	Both	815	592
2093	Both	811	599
2113	Both	811	597
2133	Both	814	587
2153	Both	814	593
2173	Both	809	597
2193	Both	804	569
2213	Both	810	586
2233	Both	818	582
2253	Both	805	580
