Data properties:
 
Recording date: 9/23/2008
Recording time : 10:43:44:652 (corresponds to time 0)
Study: SD Experiment
Subject: MY
Recording: My9
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

53	ShowSlide	4	1	0	Image: breakrest.jpg
1265	Keyboard	3	13	0	
1266	ShowSlide	4	2	0	Image: fixcross.jpg
3268	ShowSlide	4	3	0	Image: _beta=1.65_r=250_phi=270_seed=11.png
3471	ShowSlide	4	4	0	Image: mask.jpg
3965	ShowSlide	4	5	0	Image: respdot.jpg
4225	Keyboard	3	39	0	Right
4233	ShowSlide	4	6	0	Image: fixcross.jpg
6234	ShowSlide	4	7	0	Image: _beta=1.6_r=100_phi=315_seed=10.png
6435	ShowSlide	4	8	0	Image: mask.jpg
6932	ShowSlide	4	9	0	Image: respdot.jpg
6992	Keyboard	3	37	0	Left
6995	ShowSlide	4	10	0	Image: fixcross.jpg
8997	ShowSlide	4	11	0	Image: _beta=1.7_r=250_phi=225_seed=24.png
9199	ShowSlide	4	12	0	Image: mask.jpg
9702	ShowSlide	4	13	0	Image: respdot.jpg
9952	Keyboard	3	37	0	Left
9958	ShowSlide	4	14	0	Image: fixcross.jpg
11960	ShowSlide	4	15	0	Image: _beta=1.7_r=TA_seed=29.png
12164	ShowSlide	4	16	0	Image: mask.jpg
12666	ShowSlide	4	17	0	Image: respdot.jpg
12720	Keyboard	3	39	0	Right
12726	ShowSlide	4	18	0	Image: breakrest.jpg
13184	Keyboard	3	13	0	
13187	ShowSlide	4	19	0	Image: fixcross.jpg
15189	ShowSlide	4	20	0	Image: _beta=1.65_r=350_phi=180_seed=15.png
15384	ShowSlide	4	21	0	Image: mask.jpg
15888	ShowSlide	4	22	0	Image: respdot.jpg
16336	Keyboard	3	39	0	Right
16347	ShowSlide	4	23	0	Image: fixcross.jpg
18348	ShowSlide	4	24	0	Image: _beta=1.7_r=TA_seed=22.png
18551	ShowSlide	4	25	0	Image: mask.jpg
19054	ShowSlide	4	26	0	Image: respdot.jpg
19520	Keyboard	3	39	0	Right
19532	ShowSlide	4	27	0	Image: fixcross.jpg
21533	ShowSlide	4	28	0	Image: _beta=1.7_r=400_phi=0_seed=24.png
21737	ShowSlide	4	29	0	Image: mask.jpg
22241	ShowSlide	4	30	0	Image: respdot.jpg
22560	Keyboard	3	39	0	Right
22562	ShowSlide	4	31	0	Image: fixcross.jpg
24563	ShowSlide	4	32	0	Image: _beta=1.6_r=TA_seed=2.png
24765	ShowSlide	4	33	0	Image: mask.jpg
25216	Keyboard	3	39	0	Right
25269	ShowSlide	4	34	0	Image: respdot.jpg
26080	Keyboard	3	39	0	Right
26082	ShowSlide	4	35	0	Image: breakrest.jpg
26880	Keyboard	3	13	0	
26885	ShowSlide	4	36	0	Image: fixcross.jpg
28887	ShowSlide	4	37	0	Image: _beta=1.7_r=TA_seed=28.png
29089	ShowSlide	4	38	0	Image: mask.jpg
29593	ShowSlide	4	39	0	Image: respdot.jpg
29920	Keyboard	3	39	0	Right
29926	ShowSlide	4	40	0	Image: fixcross.jpg
31926	ShowSlide	4	41	0	Image: _beta=1.65_r=150_phi=315_seed=13.png
32121	ShowSlide	4	42	0	Image: mask.jpg
32624	ShowSlide	4	43	0	Image: respdot.jpg
33040	Keyboard	3	39	0	Right
33051	ShowSlide	4	44	0	Image: fixcross.jpg
35054	ShowSlide	4	45	0	Image: _beta=1.6_r=150_phi=315_seed=9.png
35256	ShowSlide	4	46	0	Image: mask.jpg
35758	ShowSlide	4	47	0	Image: respdot.jpg
35984	Keyboard	3	39	0	Right
35992	ShowSlide	4	48	0	Image: fixcross.jpg
