Data properties:
 
Recording date: 9/17/2008
Recording time : 12:00:07:487 (corresponds to time 0)
Study: SD Experiment
Subject: MY
Recording: MYT2
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Timestamp	Found	GazepointX	GazepointY
 
1	None	-1600	-1200
21	None	-1600	-1200
41	None	-1600	-1200
61	None	-1600	-1200
81	Both	772	519
100	Both	774	481
120	Both	766	488
140	Both	775	494
160	Both	770	501
180	Both	764	512
200	Both	778	503
220	Both	786	516
240	Both	756	507
260	Both	775	533
280	Both	787	499
300	Both	779	502
320	Both	768	506
340	Both	790	494
360	Both	778	494
380	Both	781	519
400	Both	772	503
419	Both	770	517
439	Both	778	528
459	Both	774	502
479	Both	783	511
499	Both	782	498
519	Both	784	509
539	Both	788	493
559	Both	780	485
579	Both	803	457
599	Both	799	477
619	Both	799	456
639	Both	817	493
659	Both	813	521
679	Both	808	507
699	Both	817	506
719	Both	811	525
738	Both	800	517
758	Both	795	503
778	Both	806	510
798	Both	799	515
818	Both	804	495
838	Both	810	503
858	Both	811	501
878	Both	799	510
898	Both	785	541
918	Both	799	569
938	Both	787	561
958	Both	780	559
978	Both	788	578
998	Both	774	575
1018	Both	776	581
1038	Both	796	598
1057	Both	794	595
1077	Both	790	563
1097	Both	787	577
1117	Both	799	583
1137	Both	791	585
1157	Both	803	598
1177	Both	777	568
1197	Both	783	572
1217	Both	790	598
1237	Both	784	582
1257	Both	802	642
1277	Both	793	624
1297	Both	798	632
1317	Both	794	632
1337	Both	790	609
1357	Both	784	615
1376	Both	787	614
1396	Both	788	618
1416	Both	792	608
1436	Both	782	602
1456	Both	790	624
1476	Both	795	606
1496	Both	797	615
1516	Both	805	612
1536	Both	800	605
1556	Both	821	630
1576	Both	805	648
1596	Both	810	635
1616	Both	789	627
1636	Both	805	634
1656	Both	802	639
1675	Both	809	643
1695	Both	800	620
1715	Both	808	635
1735	Both	807	621
1755	Both	806	626
1775	Both	811	634
1795	Both	802	642
1815	Both	811	610
1835	Both	798	623
1855	Both	795	617
1875	Both	808	629
1895	Both	793	613
1915	Both	803	612
1935	Both	800	620
1955	Both	798	613
1975	Both	822	653
1995	Both	800	633
2014	Both	803	628
2034	Both	809	624
2054	Both	788	614
2074	Both	784	608
2094	Both	796	604
2114	Both	799	609
2134	Both	790	598
2154	Both	792	608
2174	Both	791	600
2194	Both	792	603
2214	Both	796	582
2234	Both	784	587
2254	Both	790	595
2274	Both	782	601
2294	Both	788	599
2314	Both	813	614
2333	Both	800	607
2353	Both	797	601
2373	Both	796	595
2393	Both	803	610
2413	Both	784	605
2433	Both	786	594
2453	Both	778	607
2473	Both	794	612
2493	Both	781	606
2513	Both	783	593
2533	Both	781	613
2553	Both	801	606
2573	Both	812	620
2593	Both	813	590
2613	Both	811	608
2633	Both	797	623
2652	Both	811	626
2672	Both	811	643
2692	Both	814	634
2712	Both	809	630
2732	Both	826	623
2752	Both	797	634
2772	Both	802	615
2792	Both	793	593
2812	Both	809	591
2832	Both	802	615
2852	Both	795	592
2872	Both	792	595
2892	Both	791	593
2912	Both	779	591
2932	Both	794	599
2951	Both	807	601
2971	Both	803	585
2991	Both	799	583
3011	Both	791	604
3031	Both	793	619
3051	Both	801	629
3071	Both	793	653
3091	Both	814	646
