Data properties:
 
Recording date: 9/17/2008
Recording time : 11:40:38:346 (corresponds to time 0)
Study: SD Experiment
Subject: MY
Recording: MYT
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

47	ShowSlide	4	1	0	Image: breakrest.jpg
6730	Keyboard	3	13	0	
6739	ShowSlide	4	2	0	Image: fixcross.jpg
8740	ShowSlide	4	3	0	Image: _beta=1.65_r=150_phi=45_seed=14.png
8941	ShowSlide	4	4	0	Image: mask.jpg
9445	ShowSlide	4	5	0	Image: respdot.jpg
11913	Keyboard	3	39	0	Right
11926	ShowSlide	4	6	0	Image: fixcross.jpg
13926	ShowSlide	4	7	0	Image: _beta=1.65_r=TA_seed=20.png
14127	ShowSlide	4	8	0	Image: mask.jpg
14630	ShowSlide	4	9	0	Image: respdot.jpg
17193	Keyboard	3	39	0	Right
17197	ShowSlide	4	10	0	Image: fixcross.jpg
19198	ShowSlide	4	11	0	Image: _beta=1.7_r=350_phi=90_seed=22.png
19399	ShowSlide	4	12	0	Image: mask.jpg
19901	ShowSlide	4	13	0	Image: respdot.jpg
21865	Keyboard	3	39	0	Right
21877	ShowSlide	4	14	0	Image: fixcross.jpg
23878	ShowSlide	4	15	0	Image: _beta=1.6_r=100_phi=135_seed=5.png
24078	ShowSlide	4	16	0	Image: mask.jpg
24581	ShowSlide	4	17	0	Image: respdot.jpg
28089	Keyboard	3	39	0	Right
28100	ShowSlide	4	18	0	Image: breakrest.jpg
108535	Keyboard	3	13	0	
108548	ShowSlide	4	19	0	Image: fixcross.jpg
110548	ShowSlide	4	20	0	Image: _beta=1.65_r=350_phi=180_seed=17.png
110750	ShowSlide	4	21	0	Image: mask.jpg
111253	ShowSlide	4	22	0	Image: respdot.jpg
112455	Keyboard	3	39	0	Right
112465	ShowSlide	4	23	0	Image: fixcross.jpg
114466	ShowSlide	4	24	0	Image: _beta=1.6_r=50_phi=0_seed=3.png
114667	ShowSlide	4	25	0	Image: mask.jpg
115170	ShowSlide	4	26	0	Image: respdot.jpg
115751	Keyboard	3	39	0	Right
115760	ShowSlide	4	27	0	Image: fixcross.jpg
117761	ShowSlide	4	28	0	Image: _beta=1.7_r=250_phi=315_seed=24.png
117962	ShowSlide	4	29	0	Image: mask.jpg
118465	ShowSlide	4	30	0	Image: respdot.jpg
118855	Keyboard	3	39	0	Right
118862	ShowSlide	4	31	0	Image: fixcross.jpg
120863	ShowSlide	4	32	0	Image: _beta=1.7_r=300_phi=270_seed=22.png
121064	ShowSlide	4	33	0	Image: mask.jpg
121566	ShowSlide	4	34	0	Image: respdot.jpg
121751	Keyboard	3	37	0	Left
121755	ShowSlide	4	35	0	Image: breakrest.jpg
139126	Keyboard	3	13	0	
139134	ShowSlide	4	36	0	Image: fixcross.jpg
141135	ShowSlide	4	37	0	Image: _beta=1.6_r=450_phi=0_seed=7.png
141337	ShowSlide	4	38	0	Image: mask.jpg
141840	ShowSlide	4	39	0	Image: respdot.jpg
142310	Keyboard	3	39	0	Right
142322	ShowSlide	4	40	0	Image: fixcross.jpg
144322	ShowSlide	4	41	0	Image: _beta=1.7_r=450_phi=180_seed=23.png
144523	ShowSlide	4	42	0	Image: mask.jpg
145026	ShowSlide	4	43	0	Image: respdot.jpg
145910	Keyboard	3	39	0	Right
145916	ShowSlide	4	44	0	Image: fixcross.jpg
147917	ShowSlide	4	45	0	Image: _beta=1.65_r=TA_seed=16.png
148119	ShowSlide	4	46	0	Image: mask.jpg
148623	ShowSlide	4	47	0	Image: respdot.jpg
150806	Keyboard	3	39	0	Right
