Data properties:
 
Recording date: 9/17/2008
Recording time : 11:40:38:346 (corresponds to time 0)
Study: SD Experiment
Subject: MY
Recording: MYT
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 30
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	259	139	649	528
2	418	698	801	618
3	1136	1396	815	648
4	2551	857	806	627
5	3429	758	804	640
6	4206	100	808	659
7	4326	359	807	647
8	4705	159	811	637
9	4904	120	812	632
10	5044	1555	806	636
11	6619	718	811	648
12	7356	239	791	615
13	7715	259	809	574
14	7994	259	795	578
15	8274	279	801	583
16	8573	259	805	599
17	8852	100	808	613
18	8971	100	803	612
19	9091	459	802	587
20	9569	359	800	590
21	9968	339	802	556
22	10327	259	810	569
23	10606	458	799	604
24	11104	299	803	617
25	11423	259	808	621
26	11782	100	890	630
27	12002	140	824	615
28	12161	160	795	622
29	12341	140	793	613
30	12500	319	797	609
31	12919	319	790	617
32	13377	199	806	637
33	13597	279	806	593
34	13896	159	774	560
35	14075	159	773	540
36	14255	140	808	560
37	14514	359	792	637
38	15012	239	796	586
39	15271	459	796	580
40	15790	159	800	589
41	15969	219	789	593
42	16208	100	799	577
43	16448	738	796	591
44	17205	140	794	599
45	17365	259	802	605
46	17664	120	778	523
47	17803	299	786	497
48	18122	140	780	513
49	18302	159	791	556
50	18481	159	762	532
51	18661	120	776	531
52	18800	718	780	489
53	19538	379	779	521
54	19956	199	771	605
55	20176	439	777	599
56	20674	359	726	581
57	21252	140	780	607
58	21412	658	792	588
59	22090	698	795	584
60	22967	140	777	519
61	23166	219	797	547
62	23465	179	795	611
63	23705	159	765	536
64	23884	139	835	514
65	24163	120	777	550
66	24363	120	773	543
67	24502	160	792	615
68	24801	419	788	594
69	25320	279	798	581
70	25619	558	795	599
71	26237	100	789	605
72	26436	279	794	598
73	26735	419	802	604
74	27194	140	796	602
75	27353	159	802	602
76	27553	100	803	594
77	27732	120	816	557
78	27871	279	791	599
79	28190	638	805	622
80	102834	120	782	837
81	106722	140	815	813
82	106941	160	850	704
83	107221	1017	854	645
84	108257	259	722	436
85	108736	239	850	486
86	108995	100	843	506
87	109115	419	792	541
88	109613	160	729	579
89	109792	179	819	523
90	110012	179	780	508
91	110231	100	771	434
92	110470	299	809	427
93	110789	319	807	518
94	111288	638	824	610
95	111946	179	807	630
96	112245	140	826	613
97	112464	279	812	616
98	113142	100	752	404
99	113341	159	805	452
100	113680	120	788	452
101	113860	379	796	503
102	114757	438	819	564
103	115215	558	821	620
104	115794	319	819	587
105	116252	100	794	501
106	116372	120	793	525
107	116730	100	818	481
108	116890	339	802	527
109	117428	379	803	514
110	118006	120	768	532
111	118146	179	782	547
112	118345	120	805	556
113	118545	160	810	569
114	118724	339	823	572
115	119083	179	819	545
