Data properties:
 
Recording date: 9/8/2008
Recording time : 14:39:41:138 (corresponds to time 0)
Study: Alasdair SD
Subject: AlasdairClarke
Recording: Part 4
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

18	ShowSlide	4	1	0	Image: fixcross.jpg
2014	ShowSlide	4	2	0	Image: _beta=1.7_r=150_phi=45_seed=30.png
2215	ShowSlide	4	3	0	Image: mask.jpg
2416	ShowSlide	4	4	0	Blank image
2665	Keyboard	3	37	0	Left
2674	ShowSlide	4	5	0	Image: fixcross.jpg
3193	Keyboard	3	13	0	
4676	ShowSlide	4	6	0	Image: _beta=1.7_r=150_phi=225_seed=26.png
4879	ShowSlide	4	7	0	Image: mask.jpg
5079	ShowSlide	4	8	0	Blank image
5257	Keyboard	3	37	0	Left
5262	ShowSlide	4	9	0	Image: fixcross.jpg
7263	ShowSlide	4	10	0	Image: _beta=1.6_r=200_phi=180_seed=10.png
7464	ShowSlide	4	11	0	Image: mask.jpg
7665	ShowSlide	4	12	0	Blank image
7897	Keyboard	3	37	0	Left
7902	ShowSlide	4	13	0	Image: fixcross.jpg
9903	ShowSlide	4	14	0	Image: _beta=1.7_r=200_phi=225_seed=29.png
10105	ShowSlide	4	15	0	Image: mask.jpg
10305	ShowSlide	4	16	0	Blank image
10633	Keyboard	3	37	0	Left
10638	ShowSlide	4	17	0	Blank image
11545	Keyboard	3	13	0	
11551	ShowSlide	4	18	0	Image: fixcross.jpg
13552	ShowSlide	4	19	0	Image: _beta=1.7_r=TA_seed=29.png
13754	ShowSlide	4	20	0	Image: mask.jpg
13954	ShowSlide	4	21	0	Blank image
14297	Keyboard	3	39	0	Right
14298	ShowSlide	4	22	0	Image: fixcross.jpg
16300	ShowSlide	4	23	0	Image: _beta=1.6_r=200_phi=135_seed=9.png
16502	ShowSlide	4	24	0	Image: mask.jpg
16702	ShowSlide	4	25	0	Blank image
17001	Keyboard	3	39	0	Right
17003	ShowSlide	4	26	0	Image: fixcross.jpg
19004	ShowSlide	4	27	0	Image: _beta=1.65_r=350_phi=45_seed=18.png
19207	ShowSlide	4	28	0	Image: mask.jpg
19408	ShowSlide	4	29	0	Blank image
19769	Keyboard	3	39	0	Right
19773	ShowSlide	4	30	0	Image: fixcross.jpg
21774	ShowSlide	4	31	0	Image: _beta=1.65_r=50_phi=180_seed=16.png
21976	ShowSlide	4	32	0	Image: mask.jpg
22177	ShowSlide	4	33	0	Blank image
22409	Keyboard	3	37	0	Left
22414	ShowSlide	4	34	0	Blank image
23321	Keyboard	3	13	0	
23327	ShowSlide	4	35	0	Image: fixcross.jpg
25329	ShowSlide	4	36	0	Image: _beta=1.7_r=250_phi=315_seed=25.png
25530	ShowSlide	4	37	0	Image: mask.jpg
25731	ShowSlide	4	38	0	Blank image
26057	Keyboard	3	39	0	Right
26065	ShowSlide	4	39	0	Image: fixcross.jpg
28066	ShowSlide	4	40	0	Image: _beta=1.6_r=50_phi=180_seed=7.png
28267	ShowSlide	4	41	0	Image: mask.jpg
28467	ShowSlide	4	42	0	Blank image
29049	Keyboard	3	39	0	Right
29058	ShowSlide	4	43	0	Image: fixcross.jpg
31059	ShowSlide	4	44	0	Image: _beta=1.7_r=50_phi=180_seed=28.png
31260	ShowSlide	4	45	0	Image: mask.jpg
31461	ShowSlide	4	46	0	Blank image
31657	Keyboard	3	37	0	Left
31665	ShowSlide	4	47	0	Image: fixcross.jpg
33667	ShowSlide	4	48	0	Image: _beta=1.65_r=50_phi=90_seed=12.png
33869	ShowSlide	4	49	0	Image: mask.jpg
34069	ShowSlide	4	50	0	Blank image
34281	Keyboard	3	37	0	Left
34283	ShowSlide	4	51	0	Blank image
34953	Keyboard	3	13	0	
34960	ShowSlide	4	52	0	Image: fixcross.jpg
36962	ShowSlide	4	53	0	Image: _beta=1.65_r=400_phi=270_seed=12.png
37164	ShowSlide	4	54	0	Image: mask.jpg
37365	ShowSlide	4	55	0	Blank image
37624	Keyboard	3	37	0	Left
37633	ShowSlide	4	56	0	Image: fixcross.jpg
39636	ShowSlide	4	57	0	Image: _beta=1.65_r=TA_seed=14.png
39831	ShowSlide	4	58	0	Image: mask.jpg
40031	ShowSlide	4	59	0	Blank image
40456	Keyboard	3	39	0	Right
40460	ShowSlide	4	60	0	Image: fixcross.jpg
42464	ShowSlide	4	61	0	Image: _beta=1.65_r=200_phi=0_seed=17.png
42658	ShowSlide	4	62	0	Image: mask.jpg
42859	ShowSlide	4	63	0	Blank image
43480	Keyboard	3	39	0	Right
43482	ShowSlide	4	64	0	Image: fixcross.jpg
45483	ShowSlide	4	65	0	Image: _beta=1.65_r=350_phi=45_seed=13.png
45685	ShowSlide	4	66	0	Image: mask.jpg
45885	ShowSlide	4	67	0	Blank image
46280	Keyboard	3	39	0	Right
46282	ShowSlide	4	68	0	Blank image
47128	Keyboard	3	13	0	
47131	ShowSlide	4	69	0	Image: fixcross.jpg
49132	ShowSlide	4	70	0	Image: _beta=1.6_r=100_phi=135_seed=2.png
49334	ShowSlide	4	71	0	Image: mask.jpg
49534	ShowSlide	4	72	0	Blank image
49848	Keyboard	3	39	0	Right
49857	ShowSlide	4	73	0	Image: fixcross.jpg
51858	ShowSlide	4	74	0	Image: _beta=1.65_r=400_phi=180_seed=11.png
52060	ShowSlide	4	75	0	Image: mask.jpg
52261	ShowSlide	4	76	0	Blank image
52744	Keyboard	3	39	0	Right
52755	ShowSlide	4	77	0	Image: fixcross.jpg
54756	ShowSlide	4	78	0	Image: _beta=1.6_r=100_phi=135_seed=1.png
54959	ShowSlide	4	79	0	Image: mask.jpg
55159	ShowSlide	4	80	0	Blank image
55432	Keyboard	3	37	0	Left
55439	ShowSlide	4	81	0	Image: fixcross.jpg
57441	ShowSlide	4	82	0	Image: _beta=1.6_r=350_phi=270_seed=10.png
57643	ShowSlide	4	83	0	Image: mask.jpg
57843	ShowSlide	4	84	0	Blank image
58344	Keyboard	3	39	0	Right
58349	ShowSlide	4	85	0	Blank image
59352	Keyboard	3	13	0	
59359	ShowSlide	4	86	0	Image: fixcross.jpg
61360	ShowSlide	4	87	0	Image: _beta=1.65_r=200_phi=45_seed=18.png
61562	ShowSlide	4	88	0	Image: mask.jpg
61762	ShowSlide	4	89	0	Blank image
62072	Keyboard	3	37	0	Left
62074	ShowSlide	4	90	0	Image: fixcross.jpg
64075	ShowSlide	4	91	0	Image: _beta=1.65_r=250_phi=90_seed=18.png
64277	ShowSlide	4	92	0	Image: mask.jpg
64478	ShowSlide	4	93	0	Blank image
64728	Keyboard	3	37	0	Left
64736	ShowSlide	4	94	0	Image: fixcross.jpg
66738	ShowSlide	4	95	0	Image: _beta=1.6_r=100_phi=225_seed=2.png
66939	ShowSlide	4	96	0	Image: mask.jpg
67139	ShowSlide	4	97	0	Blank image
67384	Keyboard	3	37	0	Left
67386	ShowSlide	4	98	0	Image: fixcross.jpg
69387	ShowSlide	4	99	0	Image: _beta=1.7_r=100_phi=0_seed=24.png
69588	ShowSlide	4	100	0	Image: mask.jpg
69789	ShowSlide	4	101	0	Blank image
69992	Keyboard	3	37	0	Left
69993	ShowSlide	4	102	0	Blank image
72648	Keyboard	3	13	0	
72657	ShowSlide	4	103	0	Image: fixcross.jpg
74659	ShowSlide	4	104	0	Image: _beta=1.7_r=100_phi=0_seed=28.png
74861	ShowSlide	4	105	0	Image: mask.jpg
75061	ShowSlide	4	106	0	Blank image
75272	Keyboard	3	37	0	Left
75276	ShowSlide	4	107	0	Image: fixcross.jpg
77277	ShowSlide	4	108	0	Image: _beta=1.65_r=TA_seed=20.png
77479	ShowSlide	4	109	0	Image: mask.jpg
77680	ShowSlide	4	110	0	Blank image
