Data properties:
 
Recording date: 02/05/2008
Recording time : 13:35:41:578 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: ED
Recording: EB3
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

47	ShowSlide	4	1	0	Image: fixcross.jpg
2042	ShowSlide	4	2	0	Image: RMS=0.9_beta=1.6_r=100_seed=11.png
2816	Keyboard	3	32	0	Space
2823	ShowSlide	4	3	0	Image: fixcross.jpg
4823	ShowSlide	4	4	0	Image: RMS=1.1_beta=1.6_r=100_seed=17.png
5360	Keyboard	3	32	0	Space
5369	ShowSlide	4	5	0	Image: fixcross.jpg
7370	ShowSlide	4	6	0	Image: RMS=1.1_beta=1.7_r=100_seed=46.png
7904	Keyboard	3	32	0	Space
7916	ShowSlide	4	7	0	Image: fixcross.jpg
9917	ShowSlide	4	8	0	Image: RMS=1.1_beta=1.65_r=100_seed=25.png
10400	Keyboard	3	32	0	Space
10416	ShowSlide	4	9	0	Image: fixcross.jpg
12416	ShowSlide	4	10	0	Image: RMS=1.1_beta=1.65_r=350_seed=30.png
13968	Keyboard	3	32	0	Space
13979	ShowSlide	4	11	0	Image: fixcross.jpg
15979	ShowSlide	4	12	0	Image: RMS=0.9_beta=1.6_r=225_seed=12.png
17152	Keyboard	3	32	0	Space
17166	ShowSlide	4	13	0	Image: fixcross.jpg
19166	ShowSlide	4	14	0	Image: RMS=1.1_beta=1.65_r=100_seed=36.png
19696	Keyboard	3	32	0	Space
19697	ShowSlide	4	15	0	Image: fixcross.jpg
21698	ShowSlide	4	16	0	Image: RMS=1.1_beta=1.6_r=225_seed=13.png
24128	Keyboard	3	32	0	Space
24135	ShowSlide	4	17	0	Image: fixcross.jpg
26135	ShowSlide	4	18	0	Image: RMS=0.9_beta=1.6_r=225_seed=13.png
26879	Keyboard	3	32	0	Space
26885	ShowSlide	4	19	0	Image: fixcross.jpg
28885	ShowSlide	4	20	0	Image: RMS=0.9_beta=1.7_r=350_seed=59.png
29759	Keyboard	3	32	0	Space
29775	ShowSlide	4	21	0	Image: fixcross.jpg
31775	ShowSlide	4	22	0	Image: RMS=1.1_beta=1.65_r=100_seed=24.png
32479	Keyboard	3	32	0	Space
