Data properties:
 
Recording date: 02/05/2008
Recording time : 13:42:54:500 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: ED
Recording: EB4
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 50
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	134	100	860	493
2	253	140	765	554
3	612	638	834	513
4	1469	538	830	530
5	2028	279	894	460
6	2347	239	630	474
7	2606	479	558	486
8	3343	100	850	461
9	3463	618	804	479
10	4101	199	711	437
11	4320	797	836	493
12	5138	119	695	525
13	5277	578	607	695
14	6095	1176	816	511
15	7291	618	850	536
16	7929	159	766	528
17	8108	279	705	869
18	8407	239	526	361
19	8686	159	848	344
20	8866	339	913	340
21	9524	1116	803	463
22	10660	658	821	437
23	11338	179	749	527
24	11557	219	527	505
25	11816	179	502	824
26	12036	259	673	179
27	12315	159	734	234
28	12494	319	788	235
29	13033	179	818	386
30	13232	1057	798	464
31	14309	558	838	527
32	14907	359	930	600
33	15624	1216	805	458
34	16860	219	860	286
35	17100	259	786	367
36	17379	219	872	209
37	17638	259	1097	515
38	17937	299	851	663
39	18256	279	1042	852
40	18555	219	706	887
41	18814	160	593	381
42	19014	239	702	895
43	19273	299	616	910
44	20050	179	752	536
45	20250	897	805	467
46	21167	239	823	414
47	21426	279	848	370
48	21745	179	1020	191
49	21964	578	439	510
50	22782	1037	802	480
51	23838	259	796	459
52	24117	479	817	439
53	24636	419	931	518
54	25313	638	801	473
55	25971	399	860	523
56	26390	738	816	434
57	27147	219	740	429
58	27387	100	791	515
59	27506	319	712	645
60	27865	419	969	580
61	28324	199	877	1001
62	28583	239	603	507
63	28882	159	844	189
64	29081	159	583	596
65	29261	857	602	491
66	30437	259	769	424
67	30716	937	828	494
68	31673	279	799	497
69	31972	239	831	466
70	32311	120	938	684
71	32451	199	984	654
72	33128	120	762	422
73	33288	199	805	524
74	33507	1196	824	501
75	34843	339	721	391
76	35481	259	797	461
77	35760	538	829	506
78	36318	937	784	450
79	37275	179	697	429
80	37475	479	583	445
81	38272	1017	805	514
82	39309	1894	786	417
83	41402	479	801	493
84	41900	538	796	444
85	42459	259	750	387
86	42738	140	672	404
87	42917	159	613	654
88	43097	598	608	741
89	43934	1136	801	509
90	45090	219	804	397
91	45330	419	779	442
92	45768	179	702	481
93	45987	837	418	533
94	47104	1675	805	483
95	48798	239	634	424
96	49078	259	472	768
97	49357	738	714	780
98	50314	1814	805	515
99	52247	558	850	199
100	53005	1794	807	472
101	54919	558	838	815
102	55716	1575	807	492
103	57311	279	758	437
104	57610	239	719	567
105	57869	319	613	723
106	58228	140	934	859
107	58408	439	577	713
108	58906	279	886	285
109	59305	199	1000	135
110	59544	299	1256	672
111	59863	259	1156	836
112	60142	100	1039	861
113	60282	299	792	347
114	60621	179	553	429
115	60820	140	467	478
116	61000	299	948	180
117	61339	339	807	213
118	61697	319	643	359
119	62036	359	517	208
120	62455	239	490	767
121	62734	219	468	949
122	62993	319	922	842
123	63352	279	1034	587
124	63651	179	1078	423
125	63870	379	872	698
126	64269	419	742	751
127	64728	279	752	515
128	65027	160	748	478
129	65226	359	1007	492
130	65605	279	1062	134
131	65924	379	930	109
132	66323	279	760	201
133	66741	299	1227	438
134	67100	279	554	464
135	67399	179	675	351
136	67599	179	629	365
137	67818	279	479	143
138	68137	279	1085	44
139	68456	459	768	253
140	68954	319	769	734
141	69313	239	1036	733
142	69592	259	664	1028
143	70031	259	1244	763
144	70310	199	1190	793
145	70549	379	765	529
146	70948	339	597	629
147	71307	678	667	597
148	72483	877	818	501
149	73380	259	696	453
150	73659	458	802	493
151	74158	159	651	874
152	74337	558	692	949
153	75434	259	778	560
154	75713	1336	815	495
155	77068	239	771	399
156	77347	259	720	843
157	77627	538	843	954
158	78424	1794	815	520
159	80298	598	897	630
160	81235	618	847	515
161	81873	1017	813	528
162	82910	419	780	393
163	83627	538	805	460
164	84186	319	798	511
165	84525	977	801	435
166	85521	159	820	520
167	85721	459	928	660
168	86498	917	808	533
169	87435	877	822	516
170	88332	140	801	512
171	88512	897	643	719
172	89728	1894	820	510
173	91662	279	618	185
174	91981	180	982	648
175	92200	658	483	346
176	93476	1495	816	505
177	94991	159	701	517
178	95171	239	920	489
179	95569	259	953	195
180	95868	299	849	69
181	96207	139	599	396
182	96387	459	763	132
183	97224	1236	801	466
184	98480	199	859	450
185	98699	279	786	479
186	98998	159	776	725
187	99178	578	861	695
188	100035	1754	797	469
189	101809	518	699	448
190	102687	299	828	468
191	103006	1176	779	437
192	104202	239	839	431
193	104481	379	624	893
194	104900	219	706	187
195	105139	140	864	108
196	105298	299	712	131
197	105637	120	969	215
198	105797	279	1153	89
199	106116	658	760	311
200	107252	937	793	438
201	108209	1336	756	395
202	109824	1256	795	454
203	111100	179	823	372
204	111299	259	790	433
205	111578	100	665	449
206	111698	538	774	641
207	112515	937	804	499
208	113472	797	807	452
209	114309	159	576	350
210	114489	319	584	317
211	115087	718	801	484
212	115825	399	815	532
213	116243	618	816	431
214	116901	140	534	326
215	117061	339	458	308
216	117619	837	789	471
217	118476	299	813	508
218	118795	678	794	408
219	119493	139	600	275
220	119672	259	667	101
221	120051	478	716	75
222	120729	159	829	419
223	120908	1256	801	473
224	122184	239	762	460
225	122444	179	808	489
226	122663	179	985	735
227	122882	199	505	945
228	123580	957	806	471
229	124557	578	793	377
230	125275	498	885	642
231	126132	578	812	497
232	126730	499	889	519
233	127248	259	789	460
234	127527	339	823	429
235	127886	100	759	294
236	128026	159	605	766
237	128205	279	524	817
238	128524	199	998	801
