Data properties:
 
Recording date: 02/05/2008
Recording time : 11:11:29:015 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: AM
Recording: AM1
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 50
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	304	399	757	675
2	1241	120	851	790
3	1380	179	790	585
4	1799	239	1321	713
5	2098	100	718	564
6	2357	279	735	441
7	2696	219	776	353
8	3055	279	691	236
9	3374	1037	1139	704
10	4451	439	808	616
11	4909	199	992	599
12	5148	897	830	602
13	6066	399	831	591
14	6484	140	916	600
15	6644	698	683	530
16	7361	359	761	527
17	7740	219	750	486
18	7979	1356	794	503
19	9355	160	616	465
20	9554	140	1010	678
21	9714	558	916	616
22	10292	239	844	596
23	10551	319	790	518
24	10890	1495	907	612
25	12405	159	860	484
26	12585	777	825	464
27	13621	160	774	263
28	13801	1416	813	438
29	15256	698	566	472
30	15974	299	620	475
31	16452	179	836	431
32	16652	299	679	400
33	16971	279	604	414
34	17270	259	716	420
35	17549	359	798	436
36	17928	120	514	451
37	18087	140	865	485
38	18247	538	785	490
39	18845	159	1507	501
40	19044	738	801	527
41	19802	977	803	445
42	20818	738	1040	743
43	21755	219	779	359
44	22015	219	876	488
45	22274	159	978	900
46	22473	179	859	572
47	22673	439	1020	703
48	23131	339	968	793
49	23490	359	739	781
50	23889	199	728	379
51	24108	179	786	429
52	24507	1096	784	450
53	25623	279	750	367
54	25922	399	643	421
55	26361	179	1064	479
56	26660	618	829	187
57	27298	120	863	248
58	27617	199	775	403
59	27856	160	1014	209
60	28195	219	1553	359
61	28534	100	810	228
62	28653	259	908	234
63	28933	678	842	195
64	29650	199	514	230
65	29910	199	1174	204
66	30149	339	600	774
67	30627	199	456	906
68	30866	159	682	985
69	31046	339	723	1001
70	31584	120	1412	639
71	31744	100	1963	516
72	32043	100	1840	713
73	32162	120	1940	506
74	32461	199	849	628
75	32700	319	788	578
76	33040	399	886	564
77	33498	618	679	243
78	34136	100	739	277
79	34315	518	1688	396
80	34993	179	641	400
81	35193	199	834	422
82	35412	498	758	268
83	35930	279	699	232
84	36229	259	652	198
85	36548	299	1059	582
86	36887	279	437	621
87	37206	179	463	924
88	37425	239	1106	992
89	37705	120	1083	683
90	37844	339	1002	555
91	38223	219	990	271
92	38462	139	954	399
93	38642	219	1164	249
94	38881	239	1172	132
95	39160	419	448	183
96	39599	239	424	452
97	39858	279	639	614
98	40177	259	816	801
99	40476	319	538	863
100	40835	259	1142	762
101	41134	558	1019	420
102	41732	159	871	658
103	41911	219	947	547
104	42170	239	1063	236
105	42449	239	941	342
106	42709	678	961	410
107	43426	279	1159	187
108	43745	199	653	246
109	43985	120	650	260
110	44144	239	451	285
111	44423	159	481	825
112	44623	319	906	781
113	44981	399	760	941
114	45420	538	1082	1038
115	45998	279	320	1070
116	46317	558	406	849
117	46935	239	1182	904
118	47194	718	1090	680
119	47952	239	1057	460
120	48211	259	964	431
121	48510	459	1194	195
122	49008	399	563	214
123	49427	399	415	320
124	49846	359	339	431
125	50245	179	612	400
126	50783	279	635	1867
127	51102	279	1281	1885
128	51441	538	761	758
129	51999	219	664	632
130	52298	259	1293	1965
131	52577	359	1264	1894
132	53036	259	968	762
133	53315	239	1137	846
134	53574	120	1119	660
135	53734	159	1152	415
136	53913	179	1188	229
137	54132	199	1015	514
138	54351	399	984	423
139	54810	299	1226	1051
140	55149	160	878	910
141	55328	399	1230	1005
142	55767	279	810	775
143	56066	179	738	872
144	56285	199	731	402
145	56525	997	728	1026
146	57701	179	720	489
147	57960	199	1552	699
148	58319	239	1791	669
149	58658	698	806	569
150	59376	239	783	585
151	59635	159	570	690
152	59814	518	509	727
153	60831	120	1805	648
154	61349	159	573	618
155	61529	578	784	582
156	62127	299	700	644
157	62446	658	590	713
158	63124	139	668	691
159	63343	219	1619	555
160	63602	359	768	632
161	63981	339	824	592
162	64360	319	611	676
163	64699	159	544	659
164	64878	279	649	592
165	65177	120	597	651
166	65317	558	754	682
167	66114	219	1905	814
168	66373	399	1941	809
169	66812	120	1931	824
170	67031	179	750	739
171	67230	219	699	615
172	67470	239	775	538
173	67749	259	828	426
174	68028	219	701	440
175	68287	199	583	303
176	68526	219	980	505
177	68785	439	955	409
178	69264	179	1079	599
179	69463	239	993	803
180	69742	299	520	668
181	70081	259	649	926
182	70380	199	808	961
183	70659	359	1069	123
184	71058	379	622	133
185	71477	399	443	353
186	71915	399	1169	279
187	72334	319	986	329
188	72673	219	1153	404
189	72932	419	940	404
190	73391	339	1103	768
191	73750	399	1020	784
192	74188	319	482	801
193	74547	359	462	459
194	74926	219	407	471
195	75185	259	434	255
196	75484	279	900	366
197	75783	279	894	207
198	76102	459	1213	171
199	76620	459	462	483
200	77219	159	617	658
201	77418	319	949	422
202	77797	279	1094	582
203	78096	199	1012	631
204	78315	359	1251	642
205	78734	199	982	822
206	78973	159	593	780
207	79152	678	676	868
208	79850	159	569	944
209	80050	199	505	1088
210	80289	259	1223	967
211	80568	658	1167	1081
212	81266	299	1161	589
213	81605	239	1138	268
214	81864	199	1106	224
215	82103	239	676	135
216	82382	339	385	238
217	82741	219	452	336
218	83000	259	680	402
219	83299	219	810	318
220	83578	279	1205	196
221	83897	239	1162	556
222	84156	459	1089	420
223	84635	299	950	412
224	84974	698	1135	578
225	85711	479	472	571
226	86210	439	748	659
227	86668	339	485	727
228	87067	199	1089	740
229	87286	1156	959	777
230	88822	199	2213	398
231	89101	439	864	597
232	89559	239	795	601
233	89838	678	937	598
234	90636	738	715	497
235	91593	120	1554	524
236	91832	100	1846	653
237	92031	379	748	497
238	92430	179	661	413
239	92629	279	797	415
240	92928	498	706	428
241	93447	120	616	460
242	93606	179	523	220
243	93806	179	477	160
244	94005	179	535	133
245	94224	299	1005	526
246	94563	179	1190	291
247	94763	299	1209	163
248	95121	279	854	831
249	95460	279	364	690
250	95779	179	376	914
251	95999	299	1164	950
252	96338	239	1146	801
253	96617	199	613	871
254	96836	120	614	843
255	96976	598	755	1039
256	98092	159	558	641
257	98271	678	790	619
258	98969	279	726	649
259	99308	239	860	1006
260	99567	239	821	916
261	99826	219	746	989
262	100066	419	782	1023
263	100564	100	1316	741
264	100724	199	1914	675
265	100983	279	813	670
266	101282	319	787	586
267	101641	159	841	708
268	101820	199	846	521
269	102159	379	842	504
270	102578	120	665	524
271	102737	140	737	766
272	102897	339	679	825
273	103515	399	808	452
274	103933	439	837	551
275	104392	319	732	441
276	104731	219	839	482
277	104970	339	768	450
278	105349	279	657	570
279	105827	259	965	141
280	106126	299	1120	739
281	106465	199	1050	859
282	106685	199	1180	897
283	106924	259	422	900
284	107223	259	446	384
285	107522	179	636	410
286	107741	319	939	162
287	108100	239	1266	201
288	108379	259	1062	521
289	108678	219	925	627
290	108917	379	922	752
291	109336	339	1081	967
292	109735	239	345	967
293	110014	100	393	809
294	110134	219	345	622
295	110393	219	564	1118
296	110632	179	546	947
297	110871	419	468	287
298	111330	339	962	271
299	111709	259	669	448
300	112028	359	1157	164
301	112406	219	1181	275
302	112646	219	1100	396
303	112885	219	1084	497
304	113124	299	997	614
305	113443	419	1145	668
306	113902	359	1181	966
307	114280	120	1239	882
308	114440	140	1268	1157
309	114599	279	1243	1110
310	114898	219	1304	1030
311	115177	259	1190	275
312	115457	259	1252	228
313	115756	239	1129	550
314	116015	160	1034	586
315	116214	299	1005	210
316	116553	239	532	247
317	116832	259	829	220
318	117131	259	498	618
319	117410	299	458	727
320	117729	379	678	487
321	118128	100	800	648
322	118268	937	438	779
323	119504	120	1647	622
324	119683	199	658	597
325	119902	638	784	595
326	120560	299	842	577
327	120879	439	780	593
328	121338	439	848	676
329	122075	120	1045	578
330	122235	399	783	577
331	122654	618	853	572
332	123292	678	843	638
333	124009	179	669	634
334	124229	199	692	321
335	124468	299	1049	717
336	124807	279	1140	892
337	125126	259	445	953
338	125445	259	521	148
339	125764	259	1110	274
340	126043	319	1151	327
341	126402	239	731	292
342	126681	399	907	942
343	127099	199	930	984
344	127339	219	1213	930
345	127618	279	1222	254
346	127917	259	1248	154
347	128196	299	888	330
348	128535	259	502	897
349	128814	259	852	850
350	129133	279	1179	942
351	129532	399	1191	688
352	129970	279	862	722
353	130289	459	911	1036
354	130788	259	521	755
355	131206	219	505	217
356	131466	359	1213	258
357	131864	239	1276	593
358	132123	139	1277	655
359	132303	399	1139	196
360	132741	179	782	363
361	132961	299	682	747
362	133280	179	702	874
363	133499	359	1236	983
364	133898	159	1101	645
365	134097	259	875	1011
366	134396	199	1116	728
367	134616	120	1059	800
368	134755	578	1079	678
369	135513	199	2183	484
370	136191	618	899	593
371	136828	299	1037	606
372	137147	279	1134	622
373	137466	179	922	563
374	137666	159	895	479
375	137845	219	959	324
376	138104	319	1146	752
377	138443	139	1128	865
378	138643	359	1181	216
379	139061	259	643	789
380	139360	618	566	967
381	140218	100	1377	476
382	140776	459	851	631
383	141274	259	756	560
384	141553	479	809	592
385	142072	160	616	609
386	142271	159	560	359
387	142451	638	488	448
388	143308	179	1759	617
389	143527	259	1889	784
390	143826	758	1732	572
391	144663	160	1636	440
392	144883	379	701	549
393	145281	100	593	517
394	145421	160	480	343
395	145620	179	927	259
396	145820	778	894	211
397	146617	239	857	208
398	147096	120	1621	468
399	147534	179	1613	429
400	147774	439	816	425
401	148232	239	923	366
402	148491	239	832	392
403	148750	279	764	274
404	149049	219	884	203
405	149309	379	583	600
406	149727	179	1074	639
407	149967	259	1098	136
408	150246	319	1115	244
409	150604	259	1078	946
410	150884	259	946	817
411	151163	179	945	966
412	151382	159	1270	1071
413	151601	219	535	1051
414	151861	399	1252	1050
415	152279	179	1262	938
416	152518	319	1180	246
417	152897	319	464	244
418	153256	279	442	866
419	153555	957	510	658
420	154731	179	2712	707
421	154991	199	914	522
422	155230	359	787	554
423	155768	120	283	567
424	155947	219	746	569
425	156386	219	1056	476
426	156645	219	642	511
427	156884	638	693	597
428	157542	578	784	616
429	158200	359	860	541
430	158599	299	1328	624
431	158938	558	807	577
432	159536	259	571	506
433	159855	120	644	921
434	159995	419	635	851
435	160632	239	1666	638
436	160912	139	1906	747
437	161151	598	805	597
438	162088	439	741	587
439	162546	100	614	742
440	162686	139	911	618
441	162845	498	939	586
442	163424	199	1966	708
443	163643	199	1962	806
444	163942	179	929	596
445	164161	1176	794	560
446	165377	598	585	556
447	165995	140	657	579
448	166155	199	783	577
449	166893	1156	786	555
450	168168	199	650	385
451	168408	159	928	754
452	168587	538	981	832
453	169405	139	1347	599
454	169584	379	761	594
455	170003	140	906	372
