Data properties:
 
Recording date: 31/03/2008
Recording time : 11:07:23:808 (corresponds to time 0)
Study: AlasdairTPOnlyRoughness
Subject: MY
Recording: my1
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 50
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	52	159	531	627
2	231	199	688	554
3	470	638	789	545
4	1128	259	796	542
5	1407	259	788	527
6	1706	199	717	707
7	1926	598	762	651
8	2564	319	386	814
9	2902	259	408	1037
10	3261	179	1066	708
11	3501	339	718	353
12	3859	219	812	285
13	4099	159	636	341
14	4298	279	429	520
15	4617	239	377	265
16	4916	339	1115	228
17	5275	100	1123	253
18	5414	279	1024	630
19	5733	259	965	913
20	6013	139	830	839
21	6192	1236	1133	701
22	7468	339	842	648
23	7847	618	900	363
24	8485	578	823	515
25	9143	359	904	506
26	9541	100	1001	567
27	9681	1156	691	524
28	11036	1715	777	477
29	12771	1156	909	621
30	13947	140	800	575
31	14286	1076	793	536
32	15403	259	845	397
33	15682	219	769	434
34	15941	120	820	571
35	16080	1116	817	452
36	17376	499	793	415
37	17895	379	790	494
38	18293	558	802	373
39	18872	279	801	442
40	19190	957	563	462
41	20347	219	702	484
42	20606	758	776	515
43	21403	219	697	321
44	21742	1575	765	455
45	23517	319	717	470
46	23856	399	775	520
47	24274	498	712	482
48	24793	359	789	496
49	25191	339	697	483
50	25550	299	786	536
51	25889	797	1040	762
52	26886	1435	885	589
53	28361	199	739	566
54	28600	199	790	546
55	28900	598	729	790
56	30036	219	748	515
57	30275	219	792	508
58	30534	718	746	662
59	31292	618	801	369
60	31950	140	737	447
61	32129	1236	853	108
62	33425	738	777	575
63	34203	658	764	340
64	34880	359	775	472
65	35279	140	863	669
66	35439	120	881	732
67	35598	1017	720	959
68	36675	299	744	449
69	36994	419	780	519
70	37452	1196	779	316
71	38668	100	697	394
72	38808	1276	663	168
73	40124	1455	777	402
74	41599	578	765	498
75	42197	299	638	286
76	42536	179	1146	335
77	42755	219	1096	577
78	42995	139	950	496
79	43174	299	744	808
80	43513	140	606	844
81	43672	419	449	1003
82	44171	299	495	240
83	44530	339	383	663
84	44908	319	1073	203
85	45267	159	904	283
86	45467	339	515	158
87	45845	239	706	463
88	46124	359	625	537
89	46503	120	749	411
90	46643	299	921	379
91	47042	239	973	462
92	47321	319	1251	122
93	47680	259	1113	526
94	47979	259	1108	821
95	48636	1037	738	970
96	49952	1774	764	457
97	51766	279	700	784
98	52085	957	528	714
99	53282	319	672	455
100	53621	817	790	503
101	54458	259	627	521
102	54737	359	717	539
103	55116	120	640	712
104	55255	857	596	706
105	56132	718	697	571
106	56870	1156	795	475
107	58066	139	652	654
108	58226	857	731	669
109	59243	498	739	554
110	59960	1455	734	603
111	61436	219	629	559
112	61695	279	524	266
113	62014	259	1134	242
114	62313	199	896	733
115	62552	199	1044	573
116	62771	259	1011	510
117	63070	758	704	943
118	63868	239	411	1007
119	64147	319	1069	990
120	64506	359	953	800
121	65004	459	763	888
122	65483	299	793	932
123	65822	419	624	594
124	66360	279	525	301
125	66699	479	957	138
126	67217	199	1248	131
127	67456	419	874	119
128	67915	279	1012	314
129	68214	199	795	334
130	68433	439	678	369
131	68912	379	1129	496
132	69310	199	1060	540
133	69530	199	835	562
134	69769	259	1001	498
135	70068	439	612	536
136	70546	538	428	544
137	71125	439	693	685
138	71603	459	465	738
139	72102	658	1082	814
140	72779	459	1115	987
141	73278	478	670	1015
142	73796	359	594	844
143	74195	538	402	1040
144	74773	140	419	282
145	74932	140	421	180
146	75112	219	410	185
147	75391	279	1075	90
148	75710	299	935	138
149	76029	259	920	300
150	76328	498	1227	149
151	76886	439	673	198
152	77345	419	577	320
153	77803	259	1065	454
154	78082	359	934	402
155	78541	279	991	447
156	78840	718	1211	527
157	79598	159	945	553
158	79797	199	590	468
159	80016	120	599	479
160	80176	558	414	471
161	80754	279	582	712
162	81073	419	427	653
163	81531	419	787	751
164	81990	538	503	736
165	82548	319	439	752
166	82927	439	1005	860
167	83386	479	770	843
168	83904	199	1004	510
169	84143	140	998	513
170	84343	279	958	882
171	84641	379	761	1017
172	85040	379	673	988
173	85459	359	578	867
174	85858	598	414	1057
175	86516	219	1014	1071
176	86755	498	1211	1066
177	87393	498	1075	796
178	87911	219	1256	777
179	88150	897	1017	844
180	89087	359	1207	236
181	89486	359	1213	111
182	89905	339	1021	257
183	90264	219	966	284
184	90503	339	999	188
185	90862	219	898	111
186	91101	379	653	81
187	91519	299	426	125
188	91839	299	322	114
189	92177	478	387	260
190	92696	618	591	298
191	93354	319	598	207
192	93712	419	953	238
193	94151	439	890	233
194	94610	319	808	128
195	94949	339	1144	272
196	95307	718	1244	251
197	96065	498	941	401
198	96583	299	751	407
199	96922	299	900	314
200	97241	459	945	363
201	97740	518	1136	379
202	98318	259	517	375
203	98597	439	394	384
204	99075	399	638	375
205	99494	239	587	397
206	99753	319	542	637
207	100092	957	403	531
208	101109	259	947	519
209	101408	459	712	544
210	101886	478	604	552
211	102385	877	615	548
212	103302	219	1062	574
213	103561	419	904	565
214	104000	379	898	428
215	104398	279	682	392
216	104717	259	1189	642
217	104996	419	1110	617
218	105495	179	1247	626
219	105834	120	1224	621
220	105993	578	713	700
221	106611	239	916	707
222	106890	299	529	750
223	107229	479	746	616
224	107748	100	489	641
225	107887	498	364	728
226	108426	279	547	814
227	108745	379	347	748
228	109163	778	648	846
229	109961	379	434	881
230	110359	618	419	970
231	111017	399	686	1010
232	111456	479	410	998
233	111954	140	500	1060
234	112114	837	388	1029
235	112971	1475	410	1086
236	114486	279	560	908
237	114785	518	485	842
238	115324	199	362	778
239	115583	538	598	1014
240	116141	459	688	1017
241	116619	857	803	1065
242	117517	279	1139	1057
243	117836	997	970	1033
244	118872	479	1185	1057
245	119371	140	1261	1053
246	119530	279	1248	935
247	119849	359	1159	885
248	120228	499	1105	900
249	120746	419	1045	909
250	121205	458	779	930
251	121683	239	708	888
252	121962	319	776	930
253	122341	179	1051	591
254	122560	538	990	580
255	123119	359	1009	345
256	123517	479	1255	92
257	124036	299	611	119
258	124375	379	450	104
259	124793	419	615	63
260	125232	479	416	59
261	125730	299	350	87
