strategy, trial, beta, ecc, phi, n, x, y 
stochastic, 1, 1.600, 100, 0, 1, 513, 513
stochastic, 1, 1.600, 100, 0, 2, 612, 512
optimal, 1, 1.600, 100, 0, 1, 513, 513
optimal, 1, 1.600, 100, 0, 2, 612, 512
stochastic, 2, 1.650, 100, 0, 1, 512, 513
stochastic, 2, 1.650, 100, 0, 2, 603, 833
stochastic, 2, 1.650, 100, 0, 3, 711, 796
stochastic, 2, 1.650, 100, 0, 4, 263, 930
stochastic, 2, 1.650, 100, 0, 5, 165, 227
stochastic, 2, 1.650, 100, 0, 6, 681, 436
stochastic, 2, 1.650, 100, 0, 7, 746, 287
stochastic, 2, 1.650, 100, 0, 8, 157, 70
stochastic, 2, 1.650, 100, 0, 9, 354, 127
stochastic, 2, 1.650, 100, 0, 10, 40, 167
stochastic, 2, 1.650, 100, 0, 11, 402, 204
stochastic, 2, 1.650, 100, 0, 12, 760, 395
stochastic, 2, 1.650, 100, 0, 13, 669, 241
stochastic, 2, 1.650, 100, 0, 14, 654, 217
stochastic, 2, 1.650, 100, 0, 15, 848, 138
stochastic, 2, 1.650, 100, 0, 16, 623, 764
stochastic, 2, 1.650, 100, 0, 17, 612, 512
optimal, 2, 1.650, 100, 0, 1, 512, 513
optimal, 2, 1.650, 100, 0, 2, 612, 512
stochastic, 3, 1.700, 100, 0, 1, 513, 512
stochastic, 3, 1.700, 100, 0, 2, 698, 440
stochastic, 3, 1.700, 100, 0, 3, 612, 512
optimal, 3, 1.700, 100, 0, 1, 512, 512
optimal, 3, 1.700, 100, 0, 2, 630, 776
optimal, 3, 1.700, 100, 0, 3, 351, 223
optimal, 3, 1.700, 100, 0, 4, 805, 252
optimal, 3, 1.700, 100, 0, 5, 187, 759
optimal, 3, 1.700, 100, 0, 6, 830, 773
optimal, 3, 1.700, 100, 0, 7, 193, 223
optimal, 3, 1.700, 100, 0, 8, 773, 215
optimal, 3, 1.700, 100, 0, 9, 194, 797
optimal, 3, 1.700, 100, 0, 10, 806, 779
optimal, 3, 1.700, 100, 0, 11, 612, 512
stochastic, 4, 1.600, 100, 45, 1, 512, 513
stochastic, 4, 1.600, 100, 45, 2, 764, 782
stochastic, 4, 1.600, 100, 45, 3, 950, 155
stochastic, 4, 1.600, 100, 45, 4, 848, 155
stochastic, 4, 1.600, 100, 45, 5, 1004, 106
stochastic, 4, 1.600, 100, 45, 6, 414, 217
stochastic, 4, 1.600, 100, 45, 7, 486, 111
stochastic, 4, 1.600, 100, 45, 8, 466, 61
stochastic, 4, 1.600, 100, 45, 9, 136, 6
stochastic, 4, 1.600, 100, 45, 10, 52, 56
stochastic, 4, 1.600, 100, 45, 11, 675, 155
stochastic, 4, 1.600, 100, 45, 12, 572, 69
stochastic, 4, 1.600, 100, 45, 13, 572, 197
stochastic, 4, 1.600, 100, 45, 14, 400, 212
stochastic, 4, 1.600, 100, 45, 15, 669, 155
stochastic, 4, 1.600, 100, 45, 16, 735, 164
stochastic, 4, 1.600, 100, 45, 17, 401, 246
stochastic, 4, 1.600, 100, 45, 18, 189, 232
stochastic, 4, 1.600, 100, 45, 19, 756, 157
stochastic, 4, 1.600, 100, 45, 20, 226, 686
stochastic, 4, 1.600, 100, 45, 21, 565, 598
optimal, 4, 1.600, 100, 45, 1, 512, 512
optimal, 4, 1.600, 100, 45, 2, 626, 749
optimal, 4, 1.600, 100, 45, 3, 565, 598
stochastic, 5, 1.650, 100, 45, 1, 512, 512
stochastic, 5, 1.650, 100, 45, 2, 332, 626
stochastic, 5, 1.650, 100, 45, 3, 265, 538
stochastic, 5, 1.650, 100, 45, 4, 277, 332
stochastic, 5, 1.650, 100, 45, 5, 451, 104
stochastic, 5, 1.650, 100, 45, 6, 498, 183
stochastic, 5, 1.650, 100, 45, 7, 678, 231
stochastic, 5, 1.650, 100, 45, 8, 391, 239
stochastic, 5, 1.650, 100, 45, 9, 324, 687
stochastic, 5, 1.650, 100, 45, 10, 218, 727
stochastic, 5, 1.650, 100, 45, 11, 293, 538
stochastic, 5, 1.650, 100, 45, 12, 565, 598
optimal, 5, 1.650, 100, 45, 1, 512, 512
optimal, 5, 1.650, 100, 45, 2, 565, 598
stochastic, 6, 1.700, 100, 45, 1, 512, 513
stochastic, 6, 1.700, 100, 45, 2, 565, 598
optimal, 6, 1.700, 100, 45, 1, 512, 513
optimal, 6, 1.700, 100, 45, 2, 630, 776
optimal, 6, 1.700, 100, 45, 3, 565, 598
stochastic, 7, 1.600, 100, 90, 1, 512, 512
stochastic, 7, 1.600, 100, 90, 2, 312, 557
stochastic, 7, 1.600, 100, 90, 3, 221, 407
stochastic, 7, 1.600, 100, 90, 4, 368, 382
stochastic, 7, 1.600, 100, 90, 5, 256, 579
stochastic, 7, 1.600, 100, 90, 6, 334, 601
stochastic, 7, 1.600, 100, 90, 7, 911, 880
stochastic, 7, 1.600, 100, 90, 8, 461, 779
stochastic, 7, 1.600, 100, 90, 9, 609, 703
stochastic, 7, 1.600, 100, 90, 10, 935, 893
stochastic, 7, 1.600, 100, 90, 11, 587, 700
stochastic, 7, 1.600, 100, 90, 12, 396, 433
stochastic, 7, 1.600, 100, 90, 13, 580, 548
stochastic, 7, 1.600, 100, 90, 14, 506, 672
stochastic, 7, 1.600, 100, 90, 15, 209, 644
stochastic, 7, 1.600, 100, 90, 16, 69, 711
stochastic, 7, 1.600, 100, 90, 17, 249, 388
stochastic, 7, 1.600, 100, 90, 18, 468, 602
optimal, 7, 1.600, 100, 90, 1, 512, 512
optimal, 7, 1.600, 100, 90, 2, 626, 749
optimal, 7, 1.600, 100, 90, 3, 616, 258
optimal, 7, 1.600, 100, 90, 4, 270, 710
optimal, 7, 1.600, 100, 90, 5, 283, 253
optimal, 7, 1.600, 100, 90, 6, 741, 734
optimal, 7, 1.600, 100, 90, 7, 765, 253
optimal, 7, 1.600, 100, 90, 8, 259, 780
optimal, 7, 1.600, 100, 90, 9, 468, 602
stochastic, 8, 1.650, 100, 90, 1, 513, 512
stochastic, 8, 1.650, 100, 90, 2, 617, 668
stochastic, 8, 1.650, 100, 90, 3, 769, 652
stochastic, 8, 1.650, 100, 90, 4, 947, 614
stochastic, 8, 1.650, 100, 90, 5, 731, 404
stochastic, 8, 1.650, 100, 90, 6, 447, 596
stochastic, 8, 1.650, 100, 90, 7, 468, 602
optimal, 8, 1.650, 100, 90, 1, 512, 513
optimal, 8, 1.650, 100, 90, 2, 628, 784
optimal, 8, 1.650, 100, 90, 3, 468, 602
stochastic, 9, 1.700, 100, 90, 1, 512, 512
stochastic, 9, 1.700, 100, 90, 2, 317, 341
stochastic, 9, 1.700, 100, 90, 3, 468, 602
optimal, 9, 1.700, 100, 90, 1, 512, 512
optimal, 9, 1.700, 100, 90, 2, 630, 776
optimal, 9, 1.700, 100, 90, 3, 351, 223
optimal, 9, 1.700, 100, 90, 4, 468, 602
stochastic, 10, 1.600, 100, 135, 1, 513, 512
stochastic, 10, 1.600, 100, 135, 2, 482, 531
stochastic, 10, 1.600, 100, 135, 3, 714, 427
stochastic, 10, 1.600, 100, 135, 4, 331, 571
stochastic, 10, 1.600, 100, 135, 5, 413, 521
optimal, 10, 1.600, 100, 135, 1, 513, 512
