strat, beta, ecc, phi, nfix
stochastic, 1.600000, 100.000000, 0.000000, 2
optimal, 1.600000, 100.000000, 0.000000, 2
stochastic, 1.650000, 100.000000, 0.000000, 17
optimal, 1.650000, 100.000000, 0.000000, 2
stochastic, 1.700000, 100.000000, 0.000000, 3
optimal, 1.700000, 100.000000, 0.000000, 11
stochastic, 1.600000, 100.000000, 45.000000, 21
optimal, 1.600000, 100.000000, 45.000000, 3
stochastic, 1.650000, 100.000000, 45.000000, 12
optimal, 1.650000, 100.000000, 45.000000, 2
stochastic, 1.700000, 100.000000, 45.000000, 2
optimal, 1.700000, 100.000000, 45.000000, 3
stochastic, 1.600000, 100.000000, 90.000000, 18
optimal, 1.600000, 100.000000, 90.000000, 9
stochastic, 1.650000, 100.000000, 90.000000, 7
optimal, 1.650000, 100.000000, 90.000000, 3
stochastic, 1.700000, 100.000000, 90.000000, 3
optimal, 1.700000, 100.000000, 90.000000, 4
stochastic, 1.600000, 100.000000, 135.000000, 5
optimal, 1.600000, 100.000000, 135.000000, 2
stochastic, 1.650000, 100.000000, 135.000000, 8
optimal, 1.650000, 100.000000, 135.000000, 7
stochastic, 1.700000, 100.000000, 135.000000, 2
optimal, 1.700000, 100.000000, 135.000000, 2
stochastic, 1.600000, 100.000000, 180.000000, 3
optimal, 1.600000, 100.000000, 180.000000, 38
stochastic, 1.650000, 100.000000, 180.000000, 7
optimal, 1.650000, 100.000000, 180.000000, 2
stochastic, 1.700000, 100.000000, 180.000000, 2
optimal, 1.700000, 100.000000, 180.000000, 2
stochastic, 1.600000, 100.000000, 225.000000, 18
optimal, 1.600000, 100.000000, 225.000000, 8
stochastic, 1.650000, 100.000000, 225.000000, 2
optimal, 1.650000, 100.000000, 225.000000, 2
stochastic, 1.700000, 100.000000, 225.000000, 2
optimal, 1.700000, 100.000000, 225.000000, 2
stochastic, 1.600000, 100.000000, 270.000000, 20
optimal, 1.600000, 100.000000, 270.000000, 2
stochastic, 1.650000, 100.000000, 270.000000, 2
optimal, 1.650000, 100.000000, 270.000000, 2
stochastic, 1.700000, 100.000000, 270.000000, 2
optimal, 1.700000, 100.000000, 270.000000, 2
stochastic, 1.600000, 100.000000, 315.000000, 2
optimal, 1.600000, 100.000000, 315.000000, 11
stochastic, 1.650000, 100.000000, 315.000000, 6
optimal, 1.650000, 100.000000, 315.000000, 2
stochastic, 1.700000, 100.000000, 315.000000, 2
optimal, 1.700000, 100.000000, 315.000000, 2
stochastic, 1.600000, 225.000000, 0.000000, 6
optimal, 1.600000, 225.000000, 0.000000, 2
stochastic, 1.650000, 225.000000, 0.000000, 2
optimal, 1.650000, 225.000000, 0.000000, 12
